NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Rnase1	102	3.67974853515625	0.048313364	Yes	
row_1	Trem2	140	3.156430244445801	0.100323826	Yes	
row_2	Fth1	289	2.129265069961548	0.10965757	Yes	
row_3	Dusp1	339	1.922605037689209	0.13579902	Yes	
row_4	Klf4	448	1.555465579032898	0.14264189	Yes	
row_5	Ppp1r15a	543	1.344863772392273	0.14842796	Yes	
row_6	Atf3	643	1.106373906135559	0.14865273	Yes	
row_7	C1qa	710	0.9901195168495178	0.15358335	Yes	
row_8	Ece1	739	0.9531703591346741	0.1657676	Yes	
row_9	Cldn4	764	0.9113701581954956	0.1779977	Yes	
row_10	Cdkn1a	861	0.8077004551887512	0.17319615	No	
row_11	Kdm6b	1191	-0.5038514733314514	0.11387729	No	
row_12	Pcbp1	1248	-0.5125232934951782	0.11185947	No	
row_13	Map1lc3a	1273	-0.5156301259994507	0.116597824	No	
row_14	Mapre3	1300	-0.5186164975166321	0.12097413	No	
row_15	Prkaca	1381	-0.5299732685089111	0.11426363	No	
row_16	Tle5	1425	-0.5358816385269165	0.11540881	No	
row_17	Hsp90aa1	1647	-0.5751262307167053	0.08004285	No	
row_18	Pebp1	1685	-0.5810647010803223	0.08329914	No	
row_19	Rbm26	1710	-0.583285927772522	0.08931828	No	
row_20	Emc10	1744	-0.5901260375976562	0.093583286	No	
row_21	Arglu1	2318	-0.6919492483139038	-0.013242093	No	
row_22	Sdc4	2418	-0.7095036506652832	-0.020530466	No	
row_23	Calm3	2555	-0.7371798157691956	-0.03503873	No	
row_24	Selenos	2616	-0.7518745064735413	-0.03336257	No	
row_25	Sod1	2688	-0.765213668346405	-0.033736106	No	
row_26	Bsg	2764	-0.7829715013504028	-0.03461064	No	
row_27	Itm2c	2893	-0.8129000067710876	-0.046011105	No	
row_28	Ifi27	2905	-0.8145292401313782	-0.032893494	No	
row_29	Cirbp	3148	-0.8844494819641113	-0.06679881	No	
row_30	Rbm39	3394	-0.958396315574646	-0.09993213	No	
row_31	Fos	3575	-1.023224949836731	-0.11823415	No	
row_32	Tsc22d1	3676	-1.0661438703536987	-0.118980266	No	
row_33	Xbp1	3997	-1.2457609176635742	-0.16237043	No	
row_34	Btg2	4032	-1.268935203552246	-0.14546421	No	
row_35	Tob1	4038	-1.2726964950561523	-0.122417286	No	
row_36	Ptov1	4177	-1.3888076543807983	-0.1250082	No	
row_37	Lgals3bp	4189	-1.4020253419876099	-0.10076871	No	
row_38	Krt8	4476	-1.778268814086914	-0.12696204	No	
row_39	Cela1	4538	-1.8884458541870117	-0.10397877	No	
row_40	Ccnd2	4672	-2.2652361392974854	-0.08893157	No	
row_41	Ddc	4790	-3.0650277137756348	-0.05539485	No	
row_42	Reg1	4802	-3.2467620372772217	0.0037672864	No	
