NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Plet1	190	2.673874855041504	-0.017831072	No	
row_1	Ly6a	278	2.197474718093872	-0.01780099	No	
row_2	Lcn2	283	2.1627819538116455	-4.3724006E-4	No	
row_3	Fth1	289	2.129265069961548	0.0164319	No	
row_4	Csf2ra	299	2.1078760623931885	0.032271482	No	
row_5	C3	474	1.5019831657409668	0.00796944	No	
row_6	Znrf3	528	1.3751349449157715	0.008294663	No	
row_7	Tmem37	539	1.3556983470916748	0.017587658	No	
row_8	S100a16	569	1.2881932258605957	0.022277353	No	
row_9	Prdx5	601	1.1977466344833374	0.025780661	No	
row_10	Sat1	614	1.1801872253417969	0.033170924	No	
row_11	Osgin1	663	1.0644123554229736	0.03194129	No	
row_12	B2m	794	0.8757144212722778	0.011709135	No	
row_13	Cryab	800	0.8687027096748352	0.017962845	No	
row_14	Gadd45b	804	0.8623006343841553	0.024587361	No	
row_15	Nucb2	893	0.7641772627830505	0.01233502	No	
row_16	H2-Q6	999	0.6499845385551453	-0.0044890675	No	
row_17	H2-D1	1021	0.6317551136016846	-0.0036284858	No	
row_18	Psmb8	1067	0.5894331336021423	-0.008220929	No	
row_19	Rbp1	1091	0.5645802021026611	-0.008350759	No	
row_20	Nupr1	1092	0.5623257160186768	-0.0036153093	No	
row_21	Kdm6b	1191	-0.5038514733314514	-0.020183494	No	
row_22	Cfap298	1200	-0.5058298110961914	-0.017622683	No	
row_23	Ift27	1244	-0.5111361145973206	-0.022449762	No	
row_24	Tmsb4x	1258	-0.5139609575271606	-0.020882271	No	
row_25	Map1lc3a	1273	-0.5156301259994507	-0.019513085	No	
row_26	Eapp	1305	-0.5191555619239807	-0.02172432	No	
row_27	Wiz	1322	-0.5215636491775513	-0.020729883	No	
row_28	Tmem176a	1324	-0.5217586755752563	-0.016548416	No	
row_29	Tmem176b	1326	-0.522173285484314	-0.012363457	No	
row_30	Zfp414	1362	-0.528144359588623	-0.015348432	No	
row_31	Mapk3	1369	-0.5288305878639221	-0.0121692065	No	
row_32	Abl1	1424	-0.5357652902603149	-0.01912483	No	
row_33	Tle5	1425	-0.5358816385269165	-0.014612071	No	
row_34	Dapk3	1439	-0.5389847755432129	-0.012833851	No	
row_35	Mgst1	1519	-0.553851842880249	-0.024946148	No	
row_36	Nectin2	1531	-0.5575768351554871	-0.022586644	No	
row_37	Bcap31	1622	-0.5719100832939148	-0.03688282	No	
row_38	Myo10	1627	-0.5726778507232666	-0.03290963	No	
row_39	Pebp1	1685	-0.5810647010803223	-0.04012086	No	
row_40	Rtf1	1697	-0.583285927772522	-0.03754485	No	
row_41	Rbm26	1710	-0.583285927772522	-0.035181206	No	
row_42	Vps72	1737	-0.5891032218933105	-0.035741597	No	
row_43	Cic	1825	-0.6043475270271301	-0.049127538	No	
row_44	Nr2c2ap	1856	-0.6115058064460754	-0.050348714	No	
row_45	Eif1	1859	-0.6120293140411377	-0.045619417	No	
row_46	Ppp1r35	2003	-0.6367834806442261	-0.07062433	No	
row_47	Ergic1	2053	-0.6442539691925049	-0.07560455	No	
row_48	Atn1	2079	-0.6498371362686157	-0.07544114	No	
row_49	Ubl7	2146	-0.6618456244468689	-0.08388332	No	
row_50	Txn2	2163	-0.6638984680175781	-0.08169026	No	
row_51	Pdcd2	2179	-0.6660533547401428	-0.07926669	No	
row_52	Kpna4	2268	-0.6833147406578064	-0.09219999	No	
row_53	Spag7	2338	-0.6948409676551819	-0.1010014	No	
row_54	Aldh2	2388	-0.7038428783416748	-0.105479814	No	
row_55	2610528J11Rik	2396	-0.7050907611846924	-0.10102863	No	
row_56	Sdc4	2418	-0.7095036506652832	-0.099513315	No	
row_57	Smagp	2447	-0.7174842953681946	-0.09941731	No	
row_58	Selenos	2616	-0.7518745064735413	-0.12876199	No	
row_59	Ndufa9	2646	-0.7581347823143005	-0.12853602	No	
row_60	Sod1	2688	-0.765213668346405	-0.13079874	No	
row_61	Ppa1	2690	-0.7655890583992004	-0.12456394	No	
row_62	Polr3gl	2763	-0.7828038930892944	-0.13326168	No	
row_63	Bsg	2764	-0.7829715013504028	-0.12666813	No	
row_64	Smim19	2821	-0.7947900295257568	-0.13186717	No	
row_65	Ifi27	2905	-0.8145292401313782	-0.14263369	No	
row_66	Gadd45gip1	3033	-0.8499046564102173	-0.16244613	No	
row_67	Gjb1	3084	-0.8662198781967163	-0.16576949	No	
row_68	Zscan26	3092	-0.8682234287261963	-0.15994453	No	
row_69	Cirbp	3148	-0.8844494819641113	-0.16417618	No	
row_70	Gsta3	3234	-0.9097456932067871	-0.17456558	No	
row_71	Paip1	3260	-0.9184701442718506	-0.17213996	No	
row_72	Tmem59	3397	-0.9600679278373718	-0.19293591	No	
row_73	Kdsr	3402	-0.9613426327705383	-0.18568972	No	
row_74	Ssbp3	3427	-0.973520040512085	-0.18258815	No	
row_75	Rita1	3476	-0.9883393049240112	-0.1844584	No	
row_76	Fos	3575	-1.023224949836731	-0.19665284	No	
row_77	Fnbp1l	3600	-1.0339473485946655	-0.19304241	No	
row_78	Tsc22d1	3676	-1.0661438703536987	-0.19999117	Yes	
row_79	Cavin1	3689	-1.0726556777954102	-0.19350643	Yes	
row_80	Thap3	3727	-1.0928864479064941	-0.19216034	Yes	
row_81	Macrod1	3732	-1.094896674156189	-0.18378945	Yes	
row_82	Marf1	3764	-1.10806143283844	-0.18104139	Yes	
row_83	Smco4	3805	-1.1311352252960205	-0.18001026	Yes	
row_84	Dynll2	3904	-1.185383677482605	-0.19083914	Yes	
row_85	Bri3	3905	-1.1863056421279907	-0.18084905	Yes	
row_86	Spry2	3925	-1.199957251548767	-0.1747788	Yes	
row_87	Qsox1	3954	-1.2170305252075195	-0.17047602	Yes	
row_88	Cdc42ep5	4009	-1.25454580783844	-0.17137867	Yes	
row_89	Tcf7l2	4036	-1.271752953529358	-0.16619034	Yes	
row_90	Chd6	4079	-1.3108861446380615	-0.16407022	Yes	
row_91	Zfp787	4105	-1.3329625129699707	-0.15815407	Yes	
row_92	Tmem9	4164	-1.381223440170288	-0.15883937	Yes	
row_93	Nr2f2	4183	-1.3955230712890625	-0.15090989	Yes	
row_94	Lgals3bp	4189	-1.4020253419876099	-0.14016496	Yes	
row_95	Fuz	4198	-1.4077472686767578	-0.13000894	Yes	
row_96	Gstm1	4200	-1.4097791910171509	-0.118349284	Yes	
row_97	Spr	4273	-1.4812709093093872	-0.1211651	Yes	
row_98	Lmo4	4382	-1.6174921989440918	-0.1304787	Yes	
row_99	Tm4sf1	4421	-1.6764841079711914	-0.12443037	Yes	
row_100	Zfp704	4443	-1.725489854812622	-0.114359245	Yes	
row_101	Nav2	4458	-1.7532109022140503	-0.102568164	Yes	
row_102	Gstm2	4466	-1.760682225227356	-0.08922765	Yes	
