NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Dusp1	339	1.922605037689209	-0.014559399	No	
row_1	Dnajb1	453	1.542217493057251	0.0069896327	No	
row_2	Prelid1	751	0.9316416382789612	-0.027815798	No	
row_3	Cfap298	1200	-0.5058298110961914	-0.10666418	No	
row_4	Map1lc3a	1273	-0.5156301259994507	-0.10661374	No	
row_5	Klc3	1412	-0.533897876739502	-0.119827084	No	
row_6	Tle5	1425	-0.5358816385269165	-0.10663901	No	
row_7	Trappc5	1635	-0.5733018517494202	-0.13354237	No	
row_8	Pebp1	1685	-0.5810647010803223	-0.12676655	No	
row_9	Emc10	1744	-0.5901260375976562	-0.12160696	No	
row_10	Ctnnbl1	1854	-0.6114264130592346	-0.12648621	No	
row_11	Rab12	1922	-0.621652364730835	-0.122284815	No	
row_12	Pnrc1	1935	-0.6236505508422852	-0.10652584	No	
row_13	Tex261	2206	-0.6721242666244507	-0.14328802	No	
row_14	Shisa5	2493	-0.7272042632102966	-0.18178198	Yes	
row_15	Mmadhc	2569	-0.7409456372261047	-0.17575885	Yes	
row_16	Selenos	2616	-0.7518745064735413	-0.16335247	Yes	
row_17	Ppa1	2690	-0.7655890583992004	-0.15618935	Yes	
row_18	Bsg	2764	-0.7829715013504028	-0.14851707	Yes	
row_19	Nudt16	2959	-0.8287262916564941	-0.16480248	Yes	
row_20	Ssb	2962	-0.8291305899620056	-0.14093389	Yes	
row_21	Lrig1	3028	-0.8493607640266418	-0.12964435	Yes	
row_22	Sdr39u1	3244	-0.912122368812561	-0.14787748	Yes	
row_23	Alkbh6	3283	-0.9240426421165466	-0.12875539	Yes	
row_24	Ppa2	3287	-0.9254269003868103	-0.10227516	Yes	
row_25	Ilkap	3324	-0.9380629062652588	-0.082324244	Yes	
row_26	Papss2	3416	-0.9685760736465454	-0.07297859	Yes	
row_27	Lsr	3431	-0.9755609035491943	-0.047329664	Yes	
row_28	Pofut1	3507	-0.999709963798523	-0.033726864	Yes	
row_29	Fos	3575	-1.023224949836731	-0.01776268	Yes	
row_30	Cbr1	3607	-1.0348052978515625	0.006067374	Yes	
row_31	Agtrap	3609	-1.0348682403564453	0.03617148	Yes	
row_32	Tsc22d1	3676	-1.0661438703536987	0.053601917	Yes	
row_33	Foxa3	3746	-1.1005616188049316	0.071413286	Yes	
row_34	Erlec1	3766	-1.1082627773284912	0.099903926	Yes	
row_35	Gal3st1	3958	-1.2199523448944092	0.095705464	Yes	
row_36	Bace2	4135	-1.359839916229248	0.098740675	Yes	
row_37	Casz1	4308	-1.5111982822418213	0.10704575	Yes	
