NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100a8	93	3.7879698276519775	0.051669884	Yes	
row_1	S100a9	110	3.6243386268615723	0.116363324	Yes	
row_2	Cybb	173	2.8047313690185547	0.15605529	Yes	
row_3	Srgn	185	2.7151243686676025	0.20472564	Yes	
row_4	Ly6a	278	2.197474718093872	0.22674698	Yes	
row_5	Fcgr2b	280	2.177927255630493	0.2674231	Yes	
row_6	Evi2a	309	2.0479702949523926	0.30001578	Yes	
row_7	Cd44	329	1.9759340286254883	0.33313745	Yes	
row_8	Bcl2a1b	349	1.8761457204818726	0.36438584	Yes	
row_9	Lgals1	400	1.6844379901885986	0.38555545	Yes	
row_10	Syk	459	1.5314842462539673	0.4021815	Yes	
row_11	Lat2	477	1.499066710472107	0.42676923	Yes	
row_12	Fxyd5	489	1.4756077527999878	0.45217076	Yes	
row_13	Apoe	490	1.4751174449920654	0.4798624	Yes	
row_14	Pycard	499	1.4494993686676025	0.5054009	Yes	
row_15	Psap	510	1.414933681488037	0.5298725	Yes	
row_16	Emp3	537	1.364911675453186	0.55006045	Yes	
row_17	Capg	574	1.2634958028793335	0.5662544	Yes	
row_18	Sat1	614	1.1801872253417969	0.5802573	Yes	
row_19	Txn1	743	0.9442817568778992	0.57122797	Yes	
row_20	H2-Ab1	778	0.8949776887893677	0.5809219	Yes	
row_21	B2m	794	0.8757144212722778	0.5942258	Yes	
row_22	Npc2	822	0.8413428068161011	0.60437614	Yes	
row_23	H2-Eb1	976	0.6807833909988403	0.5851745	No	
row_24	H2-D1	1021	0.6317551136016846	0.5878368	No	
row_25	Psmb8	1067	0.5894331336021423	0.5894956	No	
row_26	Ahnak	1090	0.565001904964447	0.59550345	No	
row_27	Ptpn1	1126	0.5341338515281677	0.5982144	No	
row_28	Itgb1	1391	-0.5308902263641357	0.55299664	No	
row_29	Tpt1	1787	-0.5977402329444885	0.4816508	No	
row_30	Fam3c	2384	-0.7027930021286011	0.37026206	No	
row_31	Itm2c	2893	-0.8129000067710876	0.27933493	No	
row_32	Cirbp	3148	-0.8844494819641113	0.24284461	No	
row_33	Fos	3575	-1.023224949836731	0.1730063	No	
row_34	Tnfaip8	3897	-1.1809790134429932	0.12807757	No	
row_35	Zbtb20	4171	-1.3868887424468994	0.097047724	No	
row_36	Tcf4	4599	-2.045736312866211	0.04619547	No	
