NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ppbp	28	5.754017353057861	0.061326183	Yes	
row_1	S100a8	93	3.7879698276519775	0.09212535	Yes	
row_2	S100a9	110	3.6243386268615723	0.1310973	Yes	
row_3	Cybb	173	2.8047313690185547	0.15083213	Yes	
row_4	Slpi	220	2.438925266265869	0.16965559	Yes	
row_5	Il1b	240	2.3511602878570557	0.19312622	Yes	
row_6	Wfdc17	241	2.336684465408325	0.22041935	Yes	
row_7	Ctss	247	2.317308187484741	0.24643573	Yes	
row_8	Lyz1	254	2.3007519245147705	0.27204865	Yes	
row_9	Cd300c2	258	2.2877275943756104	0.2981397	Yes	
row_10	Fcer1g	272	2.2351198196411133	0.32151544	Yes	
row_11	Ctsd	274	2.219188690185547	0.34722608	Yes	
row_12	Ly6a	278	2.197474718093872	0.37226295	Yes	
row_13	Ctsb	288	2.1389875411987305	0.39535618	Yes	
row_14	Fth1	289	2.129265069961548	0.42022657	Yes	
row_15	Mpeg1	346	1.8890211582183838	0.43052617	Yes	
row_16	Lgals1	400	1.6844379901885986	0.43906644	Yes	
row_17	Ifitm1	427	1.6187670230865479	0.4525119	Yes	
row_18	Cfp	433	1.5994794368743896	0.47014385	Yes	
row_19	Lgmn	458	1.5337903499603271	0.48301694	Yes	
row_20	Apoe	490	1.4751174449920654	0.49373412	Yes	
row_21	Creg1	533	1.3688734769821167	0.5008994	Yes	
row_22	Acp5	536	1.365546464920044	0.5164292	Yes	
row_23	Grn	554	1.3280400037765503	0.52836967	Yes	
row_24	Cstb	587	1.2294069528579712	0.53600675	Yes	
row_25	Prdx5	601	1.1977466344833374	0.5472657	Yes	
row_26	Sat1	614	1.1801872253417969	0.5585296	Yes	
row_27	C1qb	615	1.1801130771636963	0.57231367	Yes	
row_28	Rgs10	660	1.067801833152771	0.5755422	Yes	
row_29	Trf	682	1.0331844091415405	0.5831983	Yes	
row_30	Atp1b3	686	1.0275999307632446	0.5945707	Yes	
row_31	C1qa	710	0.9901195168495178	0.60130364	Yes	
row_32	Blvrb	731	0.9623467326164246	0.60834247	Yes	
row_33	Txn1	743	0.9442817568778992	0.617061	Yes	
row_34	Csf1r	747	0.94162917137146	0.62742925	Yes	
row_35	Ctsc	770	0.9068173766136169	0.63339925	Yes	
row_36	C1qc	775	0.9021409153938293	0.6430962	Yes	
row_37	Npc2	822	0.8413428068161011	0.64325947	Yes	
row_38	Ninj1	833	0.8313525319099426	0.650869	Yes	
row_39	Flna	905	0.7552470564842224	0.64477456	No	
row_40	Atp6v0e	942	0.714465320110321	0.6455567	No	
row_41	Msrb1	982	0.6692854166030884	0.6451809	No	
row_42	Slc3a2	1041	0.6127792000770569	0.6401534	No	
row_43	Litaf	1060	0.5990500450134277	0.64336896	No	
row_44	Tmbim4	1103	0.5498530864715576	0.6409679	No	
row_45	Ptpn1	1126	0.5341338515281677	0.64258486	No	
row_46	Gng11	1167	0.5021745562553406	0.6400471	No	
row_47	Tmem176a	1324	-0.5217586755752563	0.6133682	No	
row_48	Tmem176b	1326	-0.522173285484314	0.6192573	No	
row_49	App	1359	-0.527603268623352	0.6186971	No	
row_50	P4hb	1469	-0.5457634925842285	0.6021727	No	
row_51	Plaat3	1505	-0.551872968673706	0.6012657	No	
row_52	Rpp21	1595	-0.5666853785514832	0.5891873	No	
row_53	Mt1	1658	-0.5760812163352966	0.58289087	No	
row_54	Cmtm7	2316	-0.691753089427948	0.45294553	No	
row_55	Aldh2	2388	-0.7038428783416748	0.44625065	No	
row_56	Smagp	2447	-0.7174842953681946	0.4424462	No	
row_57	Sod1	2688	-0.765213668346405	0.40096393	No	
row_58	Fabp5	2745	-0.7780223488807678	0.39828676	No	
row_59	Basp1	4338	-1.5499775409698486	0.081937134	No	
row_60	Selenop	4397	-1.6363760232925415	0.08886559	No	
