NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Krtdap	1	7.385970592498779	0.07847515	Yes	
row_1	Krt6b	3	7.285022258758545	0.15587486	Yes	
row_2	Tgm3	4	7.271212577819824	0.23333754	Yes	
row_3	Lypd3	15	6.487772464752197	0.30035314	Yes	
row_4	Krt16	22	6.108208179473877	0.36416543	Yes	
row_5	Cysrt1	81	3.946650743484497	0.39402556	Yes	
row_6	Plet1	190	2.673874855041504	0.39982218	Yes	
row_7	Slpi	220	2.438925266265869	0.41971242	Yes	
row_8	S100a14	253	2.3010964393615723	0.43750408	Yes	
row_9	Tubb6	357	1.8606326580047607	0.4356874	Yes	
row_10	Apoc1	386	1.7386422157287598	0.44832736	Yes	
row_11	Gsto1	397	1.7005360126495361	0.46434292	Yes	
row_12	Tacstd2	437	1.5745370388031006	0.4729237	Yes	
row_13	Lgals3	447	1.559150218963623	0.4876431	Yes	
row_14	Apoe	490	1.4751174449920654	0.4945345	Yes	
row_15	Zfand5	577	1.2602787017822266	0.48989344	Yes	
row_16	Ccna2	582	1.243382453918457	0.5022993	Yes	
row_17	Cenpa	604	1.1929925680160522	0.5105969	Yes	
row_18	Ehf	698	1.007205605506897	0.50178915	Yes	
row_19	Cks2	729	0.9673761129379272	0.50579244	Yes	
row_20	Cdca3	749	0.9320593476295471	0.5117304	Yes	
row_21	Cldn4	764	0.9113701581954956	0.5184983	Yes	
row_22	Phlda1	766	0.9081060290336609	0.52796257	Yes	
row_23	B2m	794	0.8757144212722778	0.5316196	Yes	
row_24	Gadd45b	804	0.8623006343841553	0.5389152	Yes	
row_25	Spc24	813	0.8532019257545471	0.546324	Yes	
row_26	Cdk1	820	0.8424779772758484	0.5540387	Yes	
row_27	Cxcl16	855	0.8109626173973083	0.5555353	Yes	
row_28	Nfkbia	887	0.7716875076293945	0.55724376	Yes	
row_29	Stx11	889	0.7696690559387207	0.56523323	Yes	
row_30	Nusap1	907	0.7520626783370972	0.5696738	Yes	
row_31	Ovol1	925	0.7295399904251099	0.57387435	Yes	
row_32	Cdca8	929	0.7219634056091309	0.5809354	Yes	
row_33	Incenp	937	0.7181780934333801	0.5871158	Yes	
row_34	Ier3	967	0.6908747553825378	0.5883835	Yes	
row_35	Racgap1	968	0.6891735196113586	0.59572554	Yes	
row_36	H2-D1	1021	0.6317551136016846	0.59153146	Yes	
row_37	Pgk1	1029	0.6241614818572998	0.59671026	Yes	
row_38	Tk1	1045	0.6106894612312317	0.6000649	Yes	
row_39	Dut	1068	0.5885691046714783	0.60171324	Yes	
row_40	Stmn1	1124	0.535702109336853	0.59586567	No	
row_41	Smc4	1134	0.5234740972518921	0.5995516	No	
row_42	Gsta4	1227	-0.5092798471450806	0.58564943	No	
row_43	Selenbp1	1398	-0.5320054292678833	0.5556028	No	
row_44	Tle5	1425	-0.5358816385269165	0.55584955	No	
row_45	Mgst1	1519	-0.553851842880249	0.54221207	No	
row_46	Pebp1	1685	-0.5810647010803223	0.5137385	No	
row_47	Nudc	1766	-0.5938270688056946	0.503258	No	
row_48	Tpt1	1787	-0.5977402329444885	0.50542426	No	
row_49	Pnrc1	1935	-0.6236505508422852	0.48118585	No	
row_50	Ptgr1	2287	-0.6854371428489685	0.41474855	No	
row_51	Sod1	2688	-0.765213668346405	0.33886704	No	
row_52	Ppa1	2690	-0.7655890583992004	0.34681302	No	
row_53	Fabp5	2745	-0.7780223488807678	0.343757	No	
row_54	Pmm1	2876	-0.8090071678161621	0.32506472	No	
row_55	Ifi27	2905	-0.8145292401313782	0.32785982	No	
row_56	Aldh3a1	3207	-0.9014337658882141	0.2742278	No	
row_57	Tsc22d1	3676	-1.0661438703536987	0.18726647	No	
row_58	Gstm1	4200	-1.4097791910171509	0.09241136	No	
row_59	Adh7	4375	-1.6085152626037598	0.0729928	No	
row_60	Shroom3	4545	-1.9040477275848389	0.057773057	No	
