NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Krtdap	1	7.385970592498779	0.14308558	Yes	
row_1	Krt6b	3	7.285022258758545	0.28421268	Yes	
row_2	Tgm3	4	7.271212577819824	0.42528012	Yes	
row_3	Krt16	22	6.108208179473877	0.54024345	Yes	
row_4	Krt14	31	5.553138732910156	0.64631253	Yes	
row_5	Slpi	220	2.438925266265869	0.65447116	Yes	
row_6	Nqo1	301	2.105851173400879	0.67866325	Yes	
row_7	Apoc1	386	1.7386422157287598	0.69489795	Yes	
row_8	Ly6g6c	488	1.47929048538208	0.7025601	Yes	
row_9	Phlda1	766	0.9081060290336609	0.6624818	No	
row_10	B2m	794	0.8757144212722778	0.67384756	No	
row_11	H2-D1	1021	0.6317551136016846	0.6390306	No	
row_12	Gsta4	1227	-0.5092798471450806	0.6062116	No	
row_13	Tpt1	1787	-0.5977402329444885	0.5013742	No	
row_14	Ptgr1	2287	-0.6854371428489685	0.41073552	No	
row_15	Aldh3a1	3207	-0.9014337658882141	0.2368056	No	
row_16	Ces1d	3471	-0.9873997569084167	0.20118171	No	
row_17	Pdzk1ip1	3668	-1.062799096107483	0.18097606	No	
row_18	Gstm1	4200	-1.4097791910171509	0.09772497	No	
row_19	Adh7	4375	-1.6085152626037598	0.09268902	No	
