NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cxcl3	18	6.264815330505371	0.10262093	Yes	
row_1	Serpinb2	89	3.86417293548584	0.15362473	Yes	
row_2	Adam8	138	3.2053418159484863	0.19803338	Yes	
row_3	Cybb	173	2.8047313690185547	0.2385617	Yes	
row_4	Csf2rb	176	2.7656092643737793	0.28510493	Yes	
row_5	Tyrobp	181	2.731733798980713	0.3306555	Yes	
row_6	Srgn	185	2.7151243686676025	0.37613273	Yes	
row_7	Ccl6	187	2.6946818828582764	0.4216803	Yes	
row_8	Pla2g7	195	2.598666191101074	0.4643452	Yes	
row_9	Il1b	240	2.3511602878570557	0.49508452	Yes	
row_10	Plek	252	2.3029944896698	0.5318939	Yes	
row_11	Slc7a11	277	2.1980738639831543	0.5642083	Yes	
row_12	Il1rn	287	2.1464359760284424	0.59877676	Yes	
row_13	Fth1	289	2.129265069961548	0.6347234	Yes	
row_14	Cd52	332	1.9633485078811646	0.6592951	Yes	
row_15	Rgs1	350	1.873571753501892	0.68756044	Yes	
row_16	Cebpb	425	1.6204180717468262	0.6996299	Yes	
row_17	Alox5ap	500	1.4450299739837646	0.7087212	Yes	
row_18	Coro1a	546	1.3403804302215576	0.7220886	Yes	
row_19	Mcl1	969	0.6886014938354492	0.6456993	No	
row_20	Msrb1	982	0.6692854166030884	0.65455925	No	
row_21	Trib1	1112	0.5444695949554443	0.63687897	No	
row_22	Grina	1115	0.5428912043571472	0.64567995	No	
row_23	Tmsb4x	1258	-0.5139609575271606	0.6247682	No	
row_24	Laptm5	2847	-0.8014554977416992	0.3069223	No	
row_25	Tgm2	2996	-0.839097797870636	0.29027912	No	
row_26	Vasp	3174	-0.8914675712585449	0.26847216	No	
row_27	Thbs1	3344	-0.9445730447769165	0.24923675	No	
row_28	Basp1	4338	-1.5499775409698486	0.068292096	No	
row_29	Cd24a	4541	-1.890692114830017	0.058234084	No	
