NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Spp1	69	4.139118194580078	0.014319092	Yes	
row_1	Ccl9	82	3.943756580352783	0.03933658	Yes	
row_2	Hmox1	144	3.1024680137634277	0.048105154	Yes	
row_3	Itgb2	158	2.9367053508758545	0.06587419	Yes	
row_4	Cybb	173	2.8047313690185547	0.082509406	Yes	
row_5	Csf2rb	176	2.7656092643737793	0.10141094	Yes	
row_6	Cd68	177	2.7643678188323975	0.12072708	Yes	
row_7	Tyrobp	181	2.731733798980713	0.13918027	Yes	
row_8	Srgn	185	2.7151243686676025	0.15751739	Yes	
row_9	Ccl6	187	2.6946818828582764	0.17613496	Yes	
row_10	Il1b	240	2.3511602878570557	0.1815585	Yes	
row_11	Wfdc17	241	2.336684465408325	0.19788618	Yes	
row_12	Ctss	247	2.317308187484741	0.21302028	Yes	
row_13	Spi1	250	2.308957815170288	0.22873093	Yes	
row_14	Plek	252	2.3029944896698	0.24461158	Yes	
row_15	Fcgr3	260	2.2814791202545166	0.25907204	Yes	
row_16	Cd53	261	2.270655870437622	0.27493834	Yes	
row_17	Fcer1g	272	2.2351198196411133	0.28843993	Yes	
row_18	Dusp5	275	2.206294298171997	0.3034332	Yes	
row_19	Fcgr2b	280	2.177927255630493	0.31780502	Yes	
row_20	Ctsb	288	2.1389875411987305	0.3312698	Yes	
row_21	Fth1	289	2.129265069961548	0.34614813	Yes	
row_22	Csf2ra	299	2.1078760623931885	0.35897225	Yes	
row_23	Mafb	303	2.1035168170928955	0.37303576	Yes	
row_24	C5ar1	317	2.019378662109375	0.3843949	Yes	
row_25	Pim1	319	2.0113155841827393	0.39823744	Yes	
row_26	Cd44	329	1.9759340286254883	0.4101396	Yes	
row_27	Cd52	332	1.9633485078811646	0.4234353	Yes	
row_28	Ptprc	338	1.9260421991348267	0.4358354	Yes	
row_29	Mpeg1	346	1.8890211582183838	0.44755355	Yes	
row_30	Rgs1	350	1.873571753501892	0.4600103	Yes	
row_31	S100a4	353	1.8670395612716675	0.472633	Yes	
row_32	Emilin2	354	1.8669662475585938	0.48567852	Yes	
row_33	Irf5	394	1.709017038345337	0.48936638	Yes	
row_34	Cfp	433	1.5994794368743896	0.49250048	Yes	
row_35	Lgals3	447	1.559150218963623	0.5006438	Yes	
row_36	Lgmn	458	1.5337903499603271	0.5092448	Yes	
row_37	Lat2	477	1.499066710472107	0.5159101	Yes	
row_38	Fxyd5	489	1.4756077527999878	0.52389294	Yes	
row_39	Apoe	490	1.4751174449920654	0.5342004	Yes	
row_40	Ctsz	493	1.4627196788787842	0.5439979	Yes	
row_41	Alox5ap	500	1.4450299739837646	0.5528253	Yes	
row_42	Tgfbi	502	1.4433257579803467	0.56269896	Yes	
row_43	Plin2	507	1.4312291145324707	0.57185316	Yes	
row_44	Psap	510	1.414933681488037	0.58131677	Yes	
row_45	Rab8b	532	1.369408369064331	0.58644116	Yes	
row_46	Emp3	537	1.364911675453186	0.59513193	Yes	
row_47	Slfn2	544	1.3419831991195679	0.6032393	Yes	
row_48	Coro1a	546	1.3403804302215576	0.6123936	Yes	
row_49	Sdc3	550	1.3347452878952026	0.6210853	Yes	
row_50	Grn	554	1.3280400037765503	0.6297301	Yes	
row_51	Esd	579	1.2534757852554321	0.63340944	Yes	
row_52	Cstb	587	1.2294069528579712	0.6405185	Yes	
row_53	Samhd1	599	1.2007923126220703	0.64658105	Yes	
row_54	Prdx5	601	1.1977466344833374	0.6547387	Yes	
row_55	Kctd12	613	1.1831709146499634	0.66067815	Yes	
row_56	Sat1	614	1.1801872253417969	0.66892475	Yes	
row_57	C1qb	615	1.1801130771636963	0.6771708	Yes	
row_58	Irf7	617	1.174226999282837	0.68516415	Yes	
row_59	Ifrd1	671	1.0484787225723267	0.6812735	Yes	
row_60	Arhgdib	672	1.04845130443573	0.6885996	Yes	
row_61	Csf1r	747	0.94162917137146	0.6795179	Yes	
row_62	Ctsc	770	0.9068173766136169	0.68119824	Yes	
row_63	C1qc	775	0.9021409153938293	0.6866554	Yes	
row_64	H2-Ab1	778	0.8949776887893677	0.69248587	Yes	
row_65	B2m	794	0.8757144212722778	0.69543034	Yes	
row_66	Cd74	811	0.8564395904541016	0.6980285	Yes	
row_67	Npc2	822	0.8413428068161011	0.701791	Yes	
row_68	Ninj1	833	0.8313525319099426	0.70548373	Yes	
row_69	Lcp1	849	0.81288081407547	0.70798916	Yes	
row_70	Cdkn1a	861	0.8077004551887512	0.71130496	Yes	
row_71	Fem1c	878	0.7896661758422852	0.71343654	Yes	
row_72	Ftl1-ps1	879	0.7872769236564636	0.7189377	Yes	
row_73	Mcl1	969	0.6886014938354492	0.7049133	Yes	
row_74	Pkm	970	0.685727059841156	0.7097049	Yes	
row_75	H2-Eb1	976	0.6807833909988403	0.7134037	Yes	
row_76	Msrb1	982	0.6692854166030884	0.7170221	Yes	
row_77	Atox1	997	0.6513577699661255	0.7186106	Yes	
row_78	Ctsa	1010	0.6407181620597839	0.7205479	Yes	
row_79	H2-D1	1021	0.6317551136016846	0.7228459	Yes	
row_80	Ddit3	1038	0.6157854199409485	0.7237625	Yes	
row_81	Slc3a2	1041	0.6127792000770569	0.7276211	Yes	
row_82	Litaf	1060	0.5990500450134277	0.7279974	Yes	
row_83	Psmb8	1067	0.5894331336021423	0.7308463	Yes	
row_84	Sdcbp	1122	0.5364283919334412	0.72316605	No	
row_85	Ptpn1	1126	0.5341338515281677	0.7262634	No	
row_86	Rilpl2	1127	0.533093273639679	0.7299884	No	
row_87	Tmsb4x	1258	-0.5139609575271606	0.7060665	No	
row_88	Vps37b	1274	-0.5157648921012878	0.7064958	No	
row_89	Calm1	1839	-0.6073464751243591	0.5913746	No	
row_90	Por	1937	-0.6239916086196899	0.5752057	No	
row_91	Ly6e	2739	-0.7752938866615295	0.41109926	No	
row_92	Laptm5	2847	-0.8014554977416992	0.39405394	No	
row_93	Got1	3326	-0.9385582804679871	0.29944813	No	
row_94	Thbs1	3344	-0.9445730447769165	0.3024505	No	
row_95	Tgif1	4179	-1.3908588886260986	0.13566124	No	
