NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sprr2f	24	6.058446884155273	0.04192447	No	
row_1	Serpinb11	106	3.6584718227386475	0.053126648	No	
row_2	Plat	188	2.6900391578674316	0.05681311	No	
row_3	Plet1	190	2.673874855041504	0.07735205	No	
row_4	Ptn	221	2.4287869930267334	0.08983444	No	
row_5	Ltf	264	2.2497050762176514	0.098380335	No	
row_6	Lcn2	283	2.1627819538116455	0.111345015	No	
row_7	Mif	323	1.9909502267837524	0.11851946	No	
row_8	Gsto1	397	1.7005360126495361	0.11622447	No	
row_9	Ifitm1	427	1.6187670230865479	0.12263275	No	
row_10	C3	474	1.5019831657409668	0.124526896	No	
row_11	Tgfbi	502	1.4433257579803467	0.12999807	No	
row_12	Txn1	743	0.9442817568778992	0.08639259	No	
row_13	S100g	796	0.873476505279541	0.08213573	No	
row_14	Spc24	813	0.8532019257545471	0.08536159	No	
row_15	1810037I17Rik	857	0.8104421496391296	0.082525566	No	
row_16	Siva1	892	0.765146791934967	0.08124803	No	
row_17	Dut	1068	0.5885691046714783	0.04867652	No	
row_18	Snrpf	1089	0.5658404231071472	0.04882336	No	
row_19	Stmn1	1124	0.535702109336853	0.04576517	No	
row_20	Ndufb6	1150	0.5123386979103088	0.044435676	No	
row_21	Anpep	1162	0.5043854117393494	0.0460156	No	
row_22	Anxa4	1225	-0.5087966322898865	0.03680633	No	
row_23	Brk1	1247	-0.512202799320221	0.03632468	No	
row_24	Anapc13	1293	-0.5179886817932129	0.030794553	No	
row_25	Pfdn2	1298	-0.5186164975166321	0.03397049	No	
row_26	Tmem176a	1324	-0.5217586755752563	0.032714102	No	
row_27	Tmem176b	1326	-0.522173285484314	0.036554314	No	
row_28	Hnrnpc	1347	-0.525111973285675	0.036385074	No	
row_29	Mphosph8	1399	-0.5320054292678833	0.029690383	No	
row_30	Tle5	1425	-0.5358816385269165	0.028543603	No	
row_31	Ndufv2	1437	-0.5385595560073853	0.03038874	No	
row_32	Dtymk	1507	-0.5519320964813232	0.020028662	No	
row_33	Mgst1	1519	-0.553851842880249	0.02199248	No	
row_34	Mt1	1658	-0.5760812163352966	-0.0028236492	No	
row_35	Sf3b5	1659	-0.5761438608169556	0.0016476356	No	
row_36	Dpy30	1664	-0.5773853063583374	0.0052796584	No	
row_37	Cyb5r3	1675	-0.5792728662490845	0.0076529854	No	
row_38	Sftpd	1715	-0.5836427807807922	0.0039057268	No	
row_39	Wfdc2	1725	-0.5874937176704407	0.0065550776	No	
row_40	Suclg1	1762	-0.5933454036712646	0.0035197907	No	
row_41	Tpt1	1787	-0.5977402329444885	0.0030653	No	
row_42	Micos13	1804	-0.601001501083374	0.004333912	No	
row_43	Pdlim4	1851	-0.6101900935173035	-6.928891E-4	No	
row_44	Coa3	1871	-0.6138742566108704	3.8952363E-5	No	
row_45	Rad23a	1946	-0.6259302496910095	-0.01080797	No	
row_46	Acadl	2030	-0.6406283974647522	-0.02345084	No	
row_47	Alad	2165	-0.6642358899116516	-0.04673393	No	
row_48	Rbbp7	2243	-0.6793486475944519	-0.05780296	No	
row_49	Ivns1abp	2272	-0.683590829372406	-0.058440086	No	
row_50	Ndufa7	2344	-0.6959860324859619	-0.06810665	No	
row_51	Hat1	2351	-0.697456955909729	-0.063967235	No	
row_52	Polr2e	2361	-0.6991472840309143	-0.060451373	No	
row_53	Cib1	2552	-0.736947774887085	-0.095054716	No	
row_54	Krtcap2	2586	-0.7444137334823608	-0.09628093	No	
row_55	Stx18	2623	-0.7526852488517761	-0.09807963	No	
row_56	Polr2i	2682	-0.7642911076545715	-0.10445719	No	
row_57	2510002D24Rik	2723	-0.7714663147926331	-0.10695903	No	
row_58	Bola1	2805	-0.7909772992134094	-0.11801063	No	
row_59	Ciao2a	2807	-0.7910563349723816	-0.1120837	No	
row_60	Iah1	2825	-0.7956942319869995	-0.10951636	No	
row_61	Smim22	2845	-0.8011403679847717	-0.1073312	No	
row_62	Sfxn1	2864	-0.8058028817176819	-0.10489763	No	
row_63	Timm8b	2968	-0.8312134146690369	-0.12030591	No	
row_64	Rpa3	2978	-0.8360520005226135	-0.11572757	No	
row_65	Gtf3c6	2983	-0.837345540523529	-0.110078074	No	
row_66	Id1	3000	-0.8401774764060974	-0.106953286	No	
row_67	Yipf1	3121	-0.8770825862884521	-0.12561339	No	
row_68	Spint2	3189	-0.8951176404953003	-0.13288566	No	
row_69	Atp1a1	3251	-0.9162605404853821	-0.1387205	No	
row_70	Ndufb8	3274	-0.9217610955238342	-0.13623591	No	
row_71	Gstm5	3294	-0.9271585941314697	-0.13307276	No	
row_72	Fkbp4	3332	-0.9400688409805298	-0.13362946	No	
row_73	Slc1a5	3499	-0.9965901374816895	-0.16112441	No	
row_74	Nudt14	3503	-0.9983234405517578	-0.15401338	No	
row_75	Kctd14	3533	-1.00841224193573	-0.15234189	No	
row_76	Aamdc	3547	-1.0133278369903564	-0.14723666	No	
row_77	Bcam	3563	-1.0180453062057495	-0.14251927	No	
row_78	Rnf128	3580	-1.0254052877426147	-0.13795698	No	
row_79	Cenpx	3601	-1.0345436334609985	-0.13417268	No	
row_80	Mt2	3612	-1.0353108644485474	-0.12826017	No	
row_81	Srsf3	3744	-1.0998139381408691	-0.14752619	No	
row_82	Pigr	3833	-1.1485016345977783	-0.15728873	No	
row_83	Dynll2	3904	-1.185383677482605	-0.16294499	No	
row_84	Mid1ip1	3910	-1.190380334854126	-0.15476792	No	
row_85	Adi1	3913	-1.1917235851287842	-0.14594375	No	
row_86	Dcxr	3966	-1.2240132093429565	-0.14748019	No	
row_87	Gtf2a2	4156	-1.373749017715454	-0.17692928	No	
row_88	Gstm1	4200	-1.4097791910171509	-0.17511404	No	
row_89	Cystm1	4215	-1.4235997200012207	-0.16703703	No	
row_90	Fermt1	4276	-1.4837502241134644	-0.16825552	No	
row_91	Tmem158	4387	-1.6236804723739624	-0.17899926	Yes	
row_92	Sox9	4412	-1.6637428998947144	-0.17118081	Yes	
row_93	Tspan8	4446	-1.740329623222351	-0.16467802	Yes	
row_94	Gstm2	4466	-1.760682225227356	-0.15504614	Yes	
row_95	Krt8	4476	-1.778268814086914	-0.14315552	Yes	
row_96	Krt19	4510	-1.8365012407302856	-0.13590637	Yes	
row_97	Sult1d1	4523	-1.849958896636963	-0.124096066	Yes	
row_98	Cd24a	4541	-1.890692114830017	-0.11303076	Yes	
row_99	Paics	4553	-1.9226977825164795	-0.10044373	Yes	
row_100	Muc1	4556	-1.934914231300354	-0.08585187	Yes	
row_101	Echdc2	4557	-1.9363524913787842	-0.0708244	Yes	
row_102	Cbx6	4569	-1.9641401767730713	-0.057915743	Yes	
row_103	Cited4	4587	-2.0162453651428223	-0.04587606	Yes	
row_104	Bcat1	4607	-2.061152696609497	-0.033912312	Yes	
row_105	Cfi	4653	-2.1920952796936035	-0.026450181	Yes	
row_106	Cxcl17	4691	-2.3592641353607178	-0.015992912	Yes	
row_107	Gstm7	4760	-2.7180545330047607	-0.009330119	Yes	
row_108	Clu	4775	-2.815666913986206	0.009550317	Yes	
