NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Gngt2	273	2.2347705364227295	0.053661987	Yes	
row_1	Fth1	289	2.129265069961548	0.1558129	Yes	
row_2	Jup	565	1.292714238166809	0.16248222	Yes	
row_3	Cldn5	902	0.7582709789276123	0.13003029	Yes	
row_4	Nrp2	1001	0.6487566828727722	0.1417059	Yes	
row_5	Fgl2	1019	0.6336725950241089	0.16949669	Yes	
row_6	Rab11a	1095	0.5600599050521851	0.1815747	Yes	
row_7	Gng11	1167	0.5021745562553406	0.19162345	Yes	
row_8	Timp3	1480	-0.5480008721351624	0.15377136	No	
row_9	Cyb5r3	1675	-0.5792728662490845	0.14202826	No	
row_10	Aplp2	3500	-0.9968302249908447	-0.1883709	No	
row_11	Fxyd6	3769	-1.1093547344207764	-0.18930997	No	
row_12	Serpine2	3936	-1.205466628074646	-0.16426486	No	
row_13	Selenop	4397	-1.6363760232925415	-0.17911407	No	
row_14	Tm4sf1	4421	-1.6764841079711914	-0.10101446	No	
row_15	Txnip	4471	-1.7709074020385742	-0.02365859	No	
row_16	Cavin2	4560	-1.943688154220581	0.05412152	No	
