NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Serpinb11	106	3.6584718227386475	0.06958772	No	
row_1	Ltf	264	2.2497050762176514	0.09320676	No	
row_2	Mif	323	1.9909502267837524	0.1310109	No	
row_3	Ifitm1	427	1.6187670230865479	0.1500875	No	
row_4	Tgfbi	502	1.4433257579803467	0.17082113	No	
row_5	S100g	796	0.873476505279541	0.13153824	No	
row_6	Siva1	892	0.765146791934967	0.13088416	No	
row_7	Dut	1068	0.5885691046714783	0.10909814	No	
row_8	Rbp1	1091	0.5645802021026611	0.11865891	No	
row_9	Stmn1	1124	0.535702109336853	0.12540755	No	
row_10	Tmem176a	1324	-0.5217586755752563	0.096935034	No	
row_11	Tmem176b	1326	-0.522173285484314	0.10981766	No	
row_12	Mgst1	1519	-0.553851842880249	0.083611436	No	
row_13	Mt1	1658	-0.5760812163352966	0.06923837	No	
row_14	Tpt1	1787	-0.5977402329444885	0.057496436	No	
row_15	Ivns1abp	2272	-0.683590829372406	-0.026430158	No	
row_16	Gas6	2372	-0.7005298137664795	-0.029539505	No	
row_17	Krtcap2	2586	-0.7444137334823608	-0.055353187	No	
row_18	Stx18	2623	-0.7526852488517761	-0.043999795	No	
row_19	Iah1	2825	-0.7956942319869995	-0.066022076	No	
row_20	Gstm5	3294	-0.9271585941314697	-0.14050117	No	
row_21	Kctd14	3533	-1.00841224193573	-0.16491643	No	
row_22	Mt2	3612	-1.0353108644485474	-0.15524742	No	
row_23	Id3	3653	-1.0551836490631104	-0.13714531	No	
row_24	Pigr	3833	-1.1485016345977783	-0.14572847	No	
row_25	Gstm1	4200	-1.4097791910171509	-0.18680896	Yes	
row_26	Mgp	4278	-1.4843425750732422	-0.16567342	Yes	
row_27	Gstm2	4466	-1.760682225227356	-0.16057906	Yes	
row_28	Sult1d1	4523	-1.849958896636963	-0.12589209	Yes	
row_29	Echdc2	4557	-1.9363524913787842	-0.08423646	Yes	
row_30	Gstm7	4760	-2.7180545330047607	-0.058271933	Yes	
row_31	Clu	4775	-2.815666913986206	0.009396462	Yes	
