NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ccl9	82	3.943756580352783	0.01318477	Yes	
row_1	Trem2	140	3.156430244445801	0.025559869	Yes	
row_2	Hmox1	144	3.1024680137634277	0.048922036	Yes	
row_3	Lpl	149	3.043780565261841	0.0716191	Yes	
row_4	Cybb	173	2.8047313690185547	0.08845459	Yes	
row_5	Cd68	177	2.7643678188323975	0.10920175	Yes	
row_6	Tyrobp	181	2.731733798980713	0.12969652	Yes	
row_7	Ccl6	187	2.6946818828582764	0.14948231	Yes	
row_8	C3ar1	205	2.530904531478882	0.16546707	Yes	
row_9	Il1b	240	2.3511602878570557	0.17647132	Yes	
row_10	Wfdc17	241	2.336684465408325	0.1945442	Yes	
row_11	Ctss	247	2.317308187484741	0.21141124	Yes	
row_12	Spi1	250	2.308957815170288	0.22884727	Yes	
row_13	Plek	252	2.3029944896698	0.24644837	Yes	
row_14	Fcgr3	260	2.2814791202545166	0.2626159	Yes	
row_15	Cd53	261	2.270655870437622	0.28017807	Yes	
row_16	Sirpa	268	2.2417197227478027	0.2962493	Yes	
row_17	Fcer1g	272	2.2351198196411133	0.31290305	Yes	
row_18	Ctsd	274	2.219188690185547	0.32985595	Yes	
row_19	Fcgr2b	280	2.177927255630493	0.34564495	Yes	
row_20	Il1rn	287	2.1464359760284424	0.3609792	Yes	
row_21	Ctsb	288	2.1389875411987305	0.377523	Yes	
row_22	Fth1	289	2.129265069961548	0.3939916	Yes	
row_23	Mafb	303	2.1035168170928955	0.40751556	Yes	
row_24	Cd52	332	1.9633485078811646	0.41678748	Yes	
row_25	Mpeg1	346	1.8890211582183838	0.4286524	Yes	
row_26	Bcl2a1b	349	1.8761457204818726	0.44274092	Yes	
row_27	Rgs1	350	1.873571753501892	0.45723188	Yes	
row_28	Hexb	384	1.7422534227371216	0.4637378	Yes	
row_29	Cfp	433	1.5994794368743896	0.46597153	Yes	
row_30	Lgals3	447	1.559150218963623	0.4752851	Yes	
row_31	Lgmn	458	1.5337903499603271	0.48503616	Yes	
row_32	Mrc1	471	1.5052329301834106	0.4941439	Yes	
row_33	Lipa	473	1.5036863088607788	0.50556284	Yes	
row_34	Apoe	490	1.4751174449920654	0.5135929	Yes	
row_35	Ctsz	493	1.4627196788787842	0.5244838	Yes	
row_36	Alox5ap	500	1.4450299739837646	0.5343931	Yes	
row_37	Plin2	507	1.4312291145324707	0.54419565	Yes	
row_38	Psap	510	1.414933681488037	0.55471694	Yes	
row_39	Pltp	523	1.3909838199615479	0.562941	Yes	
row_40	Creg1	533	1.3688734769821167	0.57162774	Yes	
row_41	Coro1a	546	1.3403804302215576	0.57946044	Yes	
row_42	Sdc3	550	1.3347452878952026	0.5891503	Yes	
row_43	Grn	554	1.3280400037765503	0.5987883	Yes	
row_44	Cstb	587	1.2294069528579712	0.6015389	Yes	
row_45	Ier5	609	1.1864962577819824	0.6062807	Yes	
row_46	Kctd12	613	1.1831709146499634	0.61479825	Yes	
row_47	Sat1	614	1.1801872253417969	0.6239263	Yes	
row_48	C1qb	615	1.1801130771636963	0.6330538	Yes	
row_49	Atf3	643	1.106373906135559	0.63590866	Yes	
row_50	Rgs10	660	1.067801833152771	0.6407884	Yes	
row_51	Trf	682	1.0331844091415405	0.6443444	Yes	
row_52	C1qa	710	0.9901195168495178	0.6463002	Yes	
row_53	Blvrb	731	0.9623467326164246	0.6495195	Yes	
row_54	Csf1r	747	0.94162917137146	0.65363455	Yes	
row_55	Ctsc	770	0.9068173766136169	0.656002	Yes	
row_56	C1qc	775	0.9021409153938293	0.6621347	Yes	
row_57	H2-Ab1	778	0.8949776887893677	0.6686345	Yes	
row_58	B2m	794	0.8757144212722778	0.6722397	Yes	
row_59	Cd74	811	0.8564395904541016	0.67548466	Yes	
row_60	Npc2	822	0.8413428068161011	0.67988	Yes	
row_61	Ninj1	833	0.8313525319099426	0.6841981	Yes	
row_62	Lcp1	849	0.81288081407547	0.6873174	Yes	
row_63	Cxcl16	855	0.8109626173973083	0.6925337	Yes	
row_64	Cdkn1a	861	0.8077004551887512	0.6977248	Yes	
row_65	Ier3	967	0.6908747553825378	0.68089306	No	
row_66	Mcl1	969	0.6886014938354492	0.68600774	No	
row_67	H2-Eb1	976	0.6807833909988403	0.6900061	No	
row_68	Ctsa	1010	0.6407181620597839	0.6879923	No	
row_69	H2-D1	1021	0.6317551136016846	0.6907666	No	
row_70	Dab2	1031	0.6231649518013	0.69368565	No	
row_71	Ehd4	1053	0.6073976159095764	0.69394845	No	
row_72	Psmb8	1067	0.5894331336021423	0.69576186	No	
row_73	Sdcbp	1122	0.5364283919334412	0.68850636	No	
row_74	Tmsb4x	1258	-0.5139609575271606	0.6639705	No	
row_75	Tmem176a	1324	-0.5217586755752563	0.6542784	No	
row_76	Tmem176b	1326	-0.522173285484314	0.6581059	No	
row_77	Calm1	1839	-0.6073464751243591	0.5546724	No	
row_78	Snx2	2321	-0.6925004124641418	0.45844457	No	
row_79	Nfkbiz	2566	-0.7401129603385925	0.41263774	No	
row_80	Ly6e	2739	-0.7752938866615295	0.38230896	No	
row_81	Laptm5	2847	-0.8014554977416992	0.36591005	No	
row_82	Asah1	3425	-0.9724121689796448	0.25157258	No	
row_83	Lgals3bp	4189	-1.4020253419876099	0.10127598	No	
row_84	Selenop	4397	-1.6363760232925415	0.070215374	No	
row_85	Tlr2	4716	-2.444685459136963	0.021964114	No	
