NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Il1r2	32	5.303426742553711	0.07394566	Yes	
row_1	Tyrobp	181	2.731733798980713	0.08450864	Yes	
row_2	Srgn	185	2.7151243686676025	0.12516649	Yes	
row_3	Ccl6	187	2.6946818828582764	0.16593207	Yes	
row_4	Il1b	240	2.3511602878570557	0.19080022	Yes	
row_5	Wfdc17	241	2.336684465408325	0.22633146	Yes	
row_6	Ctss	247	2.317308187484741	0.2605216	Yes	
row_7	Spi1	250	2.308957815170288	0.29521263	Yes	
row_8	Plek	252	2.3029944896698	0.33002228	Yes	
row_9	Cd53	261	2.270655870437622	0.36287516	Yes	
row_10	Fcer1g	272	2.2351198196411133	0.3947691	Yes	
row_11	Fth1	289	2.129265069961548	0.42379767	Yes	
row_12	Pim1	319	2.0113155841827393	0.4483119	Yes	
row_13	Cd52	332	1.9633485078811646	0.47565475	Yes	
row_14	Mpeg1	346	1.8890211582183838	0.5016581	Yes	
row_15	Bcl2a1b	349	1.8761457204818726	0.5297679	Yes	
row_16	Rgs1	350	1.873571753501892	0.5582571	Yes	
row_17	Lgals3	447	1.559150218963623	0.56187314	Yes	
row_18	Lgmn	458	1.5337903499603271	0.5831028	Yes	
row_19	Fxyd5	489	1.4756077527999878	0.5992619	Yes	
row_20	Ctsz	493	1.4627196788787842	0.62087584	Yes	
row_21	Alox5ap	500	1.4450299739837646	0.641593	Yes	
row_22	Psap	510	1.414933681488037	0.6612246	Yes	
row_23	Coro1a	546	1.3403804302215576	0.67428094	Yes	
row_24	Arhgdib	672	1.04845130443573	0.66406196	Yes	
row_25	Ctsc	770	0.9068173766136169	0.6575495	Yes	
row_26	H2-Ab1	778	0.8949776887893677	0.66969335	Yes	
row_27	Gm2a	789	0.8810043334960938	0.68099684	Yes	
row_28	B2m	794	0.8757144212722778	0.6934756	Yes	
row_29	Cd74	811	0.8564395904541016	0.7031498	Yes	
row_30	Lcp1	849	0.81288081407547	0.70776653	Yes	
row_31	Cxcl16	855	0.8109626173973083	0.7190514	Yes	
row_32	Cdkn1a	861	0.8077004551887512	0.7302867	Yes	
row_33	Mcl1	969	0.6886014938354492	0.71836317	Yes	
row_34	H2-Eb1	976	0.6807833909988403	0.72745925	Yes	
row_35	Atox1	997	0.6513577699661255	0.73317784	Yes	
row_36	H2-D1	1021	0.6317551136016846	0.7379705	Yes	
row_37	Lsp1	1023	0.6293749809265137	0.7473314	Yes	
row_38	Psmb8	1067	0.5894331336021423	0.7472946	No	
row_39	Rilpl2	1127	0.533093273639679	0.7430525	No	
row_40	Tmsb4x	1258	-0.5139609575271606	0.72365963	No	
row_41	Calm1	1839	-0.6073464751243591	0.61150515	No	
row_42	Laptm5	2847	-0.8014554977416992	0.41293433	No	
