NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
DESCARTES_ORGANOGENESIS_HEPATOCYTES	DESCARTES_ORGANOGENESIS_HEPATOCYTES	Details ...	174	-0.4162854	-2.615865	0.0	0.0	0.0	1084	tags=48%, list=22%, signal=60%	
DESCARTES_ORGANOGENESIS_SCHWANN_CELL_PRECURSOR	DESCARTES_ORGANOGENESIS_SCHWANN_CELL_PRECURSOR	Details ...	24	-0.41918522	-1.6248821	0.026086956	0.23419803	0.631	509	tags=38%, list=11%, signal=42%	
DESCARTES_ORGANOGENESIS_EPENDYMAL_CELL	DESCARTES_ORGANOGENESIS_EPENDYMAL_CELL	Details ...	18	-0.43894556	-1.5926913	0.03869654	0.19906928	0.711	809	tags=56%, list=17%, signal=67%	
DESCARTES_ORGANOGENESIS_SENSORY_NEURONS	DESCARTES_ORGANOGENESIS_SENSORY_NEURONS	Details ...	23	-0.37501156	-1.4687128	0.06949807	0.34199435	0.944	662	tags=35%, list=14%, signal=40%	
DESCARTES_ORGANOGENESIS_MYOCYTES	DESCARTES_ORGANOGENESIS_MYOCYTES	Details ...	18	-0.40572447	-1.467047	0.07692308	0.2775065	0.945	501	tags=39%, list=10%, signal=43%	
TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_DUCTAL_CELL_AGEING	TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_DUCTAL_CELL_AGEING	Details ...	112	-0.20896935	-1.1918238	0.15451895	1.0	1.0	1146	tags=30%, list=24%, signal=39%	
TABULA_MURIS_SENIS_LARGE_INTESTINE_LARGE_INTESTINE_GOBLET_CELL_AGEING	TABULA_MURIS_SENIS_LARGE_INTESTINE_LARGE_INTESTINE_GOBLET_CELL_AGEING	Details ...	255	-0.17035066	-1.1595203	0.15129152	1.0	1.0	1125	tags=26%, list=23%, signal=32%	
ZHANG_UTERUS_C13_EPITHELIAL1_CELL	ZHANG_UTERUS_C13_EPITHELIAL1_CELL	Details ...	109	-0.19160017	-1.1380994	0.2392473	1.0	1.0	435	tags=17%, list=9%, signal=18%	
TABULA_MURIS_SENIS_LARGE_INTESTINE_SECRETORY_CELL_AGEING	TABULA_MURIS_SENIS_LARGE_INTESTINE_SECRETORY_CELL_AGEING	Details ...	251	-0.16540597	-1.1032928	0.23461539	1.0	1.0	1324	tags=29%, list=27%, signal=38%	
DESCARTES_ORGANOGENESIS_CHONDROCYTE_PROGENITORS	DESCARTES_ORGANOGENESIS_CHONDROCYTE_PROGENITORS	Details ...	15	-0.31416836	-1.0721089	0.378	1.0	1.0	736	tags=40%, list=15%, signal=47%	
