NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ZHANG_UTERUS_C12_MONOCYTE	ZHANG_UTERUS_C12_MONOCYTE	Details ...	96	0.7308463	3.6548057	0.0	0.0	0.0	1067	tags=88%, list=22%, signal=110%	
ZHANG_UTERUS_C5_MACROPHAGE	ZHANG_UTERUS_C5_MACROPHAGE	Details ...	86	0.6977248	3.4042451	0.0	0.0	0.0	861	tags=76%, list=18%, signal=90%	
DESCARTES_ORGANOGENESIS_WHITE_BLOOD_CELLS	DESCARTES_ORGANOGENESIS_WHITE_BLOOD_CELLS	Details ...	217	0.56712943	3.318962	0.0	0.0	0.0	811	tags=56%, list=17%, signal=64%	
ZHANG_UTERUS_C9_DENDRITIC_CELL	ZHANG_UTERUS_C9_DENDRITIC_CELL	Details ...	43	0.7473314	3.1662974	0.0	0.0	0.0	1023	tags=88%, list=21%, signal=111%	
TABULA_MURIS_SENIS_MARROW_GRANULOCYTOPOIETIC_CELL_AGEING	TABULA_MURIS_SENIS_MARROW_GRANULOCYTOPOIETIC_CELL_AGEING	Details ...	43	0.7304758	3.087987	0.0	0.0	0.0	982	tags=84%, list=20%, signal=104%	
TABULA_MURIS_SENIS_LUNG_ALVEOLAR_MACROPHAGE_AGEING	TABULA_MURIS_SENIS_LUNG_ALVEOLAR_MACROPHAGE_AGEING	Details ...	78	0.6052836	3.0157342	0.0	0.0	0.0	1090	tags=72%, list=23%, signal=91%	
TABULA_MURIS_SENIS_SPLEEN_MACROPHAGE_AGEING	TABULA_MURIS_SENIS_SPLEEN_MACROPHAGE_AGEING	Details ...	61	0.650869	2.9857597	0.0	0.0	0.0	833	tags=64%, list=17%, signal=76%	
TABULA_MURIS_SENIS_KIDNEY_MACROPHAGE_AGEING	TABULA_MURIS_SENIS_KIDNEY_MACROPHAGE_AGEING	Details ...	54	0.6421502	2.8822973	0.0	0.0	0.0	686	tags=61%, list=14%, signal=70%	
TABULA_MURIS_SENIS_MARROW_PROMONOCYTE_AGEING	TABULA_MURIS_SENIS_MARROW_PROMONOCYTE_AGEING	Details ...	29	0.7385114	2.8322394	0.0	0.0	0.0	499	tags=62%, list=10%, signal=69%	
TABULA_MURIS_SENIS_HEART_AND_AORTA_LEUKOCYTE_AGEING	TABULA_MURIS_SENIS_HEART_AND_AORTA_LEUKOCYTE_AGEING	Details ...	45	0.6418905	2.791916	0.0	0.0	0.0	609	tags=53%, list=13%, signal=60%	
ZHANG_UTERUS_C10_STROMAL2_RETNLG_HIGH_CELL	ZHANG_UTERUS_C10_STROMAL2_RETNLG_HIGH_CELL	Details ...	30	0.7220886	2.7879689	0.0	0.0	0.0	546	tags=63%, list=11%, signal=71%	
TABULA_MURIS_SENIS_TONGUE_BASAL_CELL_OF_EPIDERMIS_AGEING	TABULA_MURIS_SENIS_TONGUE_BASAL_CELL_OF_EPIDERMIS_AGEING	Details ...	61	0.60171324	2.7639241	0.0	0.0	0.0	1068	tags=66%, list=22%, signal=83%	
TABULA_MURIS_SENIS_MARROW_HEMATOPOIETIC_PRECURSOR_CELL_AGEING	TABULA_MURIS_SENIS_MARROW_HEMATOPOIETIC_PRECURSOR_CELL_AGEING	Details ...	42	0.64473647	2.7626686	0.0	0.0	0.0	1023	tags=76%, list=21%, signal=96%	
TABULA_MURIS_SENIS_MARROW_NAIVE_T_CELL_AGEING	TABULA_MURIS_SENIS_MARROW_NAIVE_T_CELL_AGEING	Details ...	19	0.7743935	2.6618109	0.0	0.0	0.0	489	tags=68%, list=10%, signal=76%	
TABULA_MURIS_SENIS_MARROW_GRANULOCYTE_AGEING	TABULA_MURIS_SENIS_MARROW_GRANULOCYTE_AGEING	Details ...	28	0.7130401	2.6599073	0.0	0.0	0.0	601	tags=64%, list=12%, signal=73%	
TABULA_MURIS_SENIS_LUNG_INTERMEDIATE_MONOCYTE_AGEING	TABULA_MURIS_SENIS_LUNG_INTERMEDIATE_MONOCYTE_AGEING	Details ...	102	0.5072102	2.5893676	0.0	0.0	0.0	587	tags=36%, list=12%, signal=40%	
TABULA_MURIS_SENIS_AORTA_PROFESSIONAL_ANTIGEN_PRESENTING_CELL_AGEING	TABULA_MURIS_SENIS_AORTA_PROFESSIONAL_ANTIGEN_PRESENTING_CELL_AGEING	Details ...	50	0.567125	2.5049465	0.0	0.0	0.0	887	tags=60%, list=18%, signal=73%	
TABULA_MURIS_SENIS_SPLEEN_B_CELL_AGEING	TABULA_MURIS_SENIS_SPLEEN_B_CELL_AGEING	Details ...	37	0.60437614	2.4969926	0.0	0.0	0.0	822	tags=62%, list=17%, signal=74%	
TABULA_MURIS_SENIS_TONGUE_KERATINOCYTE_AGEING	TABULA_MURIS_SENIS_TONGUE_KERATINOCYTE_AGEING	Details ...	20	0.7025601	2.4771996	0.0	0.0	0.0	488	tags=45%, list=10%, signal=50%	
TABULA_MURIS_SENIS_LUNG_NON_CLASSICAL_MONOCYTE_AGEING	TABULA_MURIS_SENIS_LUNG_NON_CLASSICAL_MONOCYTE_AGEING	Details ...	18	0.72283965	2.471832	0.0	0.0	0.0	811	tags=78%, list=17%, signal=93%	
TABULA_MURIS_SENIS_BRAIN_MYELOID_MICROGLIAL_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_MYELOID_MICROGLIAL_CELL_AGEING		105	0.48283082	2.4664836	0.0	0.0	0.0	861	tags=47%, list=18%, signal=56%	
TABULA_MURIS_SENIS_MARROW_MACROPHAGE_AGEING	TABULA_MURIS_SENIS_MARROW_MACROPHAGE_AGEING		54	0.52674466	2.3875592	0.0	6.136364E-5	0.001	770	tags=46%, list=16%, signal=54%	
