NAME	TITLE	SCORE	
Krt13		7.531387	
Krtdap		7.3859706	
Klk14		7.3004355	
Krt6b		7.2850223	
Tgm3		7.2712126	
Calml3		7.130482	
Klk10		6.990361	
Klk13		6.950146	
Cnfn		6.9224396	
Tmprss11g		6.7863116	
2300002M23Rik		6.642036	
Tmprss11b		6.6381593	
Crct1		6.636958	
Clca3b		6.6067634	
Arg1		6.570444	
Lypd3		6.4877725	
Nccrp1		6.4842877	
Sprr2d		6.3113074	
Cxcl3		6.2648153	
Abca12		6.2464366	
Gm9573		6.2324567	
Sprr3		6.1510253	
Krt16		6.108208	
Tgm1		6.0852118	
Sprr2f		6.058447	
Prss27		6.009107	
Gsdmc		5.9568734	
Ecm1		5.7940784	
Ppbp		5.7540174	
Krt6a		5.7091117	
Alox12b		5.6548104	
Krt14		5.5531387	
Il1r2		5.3034267	
Dsg3		5.3006215	
Krt17		5.250462	
Gjb2		5.217422	
Il1f9		5.2044573	
Sprr1a		5.1659827	
Fam25c		5.1121006	
Pbp2		4.983949	
Ppfia3		4.95496	
Gsdmc2		4.8961835	
Pglyrp4		4.8139305	
Pitx1		4.781528	
Lgals7		4.7623544	
Clec2g		4.738642	
Psca		4.7165947	
Upk1b		4.643485	
Aldh1a3		4.5735493	
Elovl4		4.5377293	
Defb1		4.4894137	
Elf5		4.4892826	
Cldn1		4.4772277	
Clca2		4.4538035	
Skint3		4.403978	
S100a7a		4.3666735	
Duoxa1		4.360694	
Pkp1		4.358149	
Krt5		4.3532553	
Xlr4a		4.340678	
Prss22		4.326765	
Ifit1bl1		4.307532	
Phyhip		4.2811694	
Mmp12		4.267108	
Spink5		4.2263074	
Gpnmb		4.2227716	
Ankk1		4.222676	
Slc5a9		4.1936955	
Wfdc5		4.1921	
Spp1		4.139118	
Csta1		4.1269126	
Tgm5		4.120513	
Mreg		4.1091003	
Ephx3		4.107876	
Tmprss11e		4.094123	
Chil4		4.09335	
Ctsl		4.064238	
Cpe		4.0240445	
Gdpd2		4.009496	
Emp1		4.0073347	
Cyp4f39		3.9540312	
Cysrt1		3.9466507	
Ccl9		3.9437566	
Tnfaip2		3.933354	
Saa3		3.9289734	
Sprr2h		3.9085672	
Dhrs9		3.8978407	
Tprg		3.8860726	
Rnase2b		3.8710926	
Serpinb2		3.864173	
Klk11		3.8606327	
Adgrf4		3.8541193	
4833423E24Rik		3.797536	
S100a8		3.7879698	
Chit1		3.7830362	
Car12		3.7432005	
Aqp3		3.7232375	
Grhl3		3.696822	
Rhov		3.6946988	
Npy		3.691024	
Slc6a14		3.6877728	
Cxcl5		3.684902	
Rnase1		3.6797485	
Tm4sf19		3.6675591	
Tmem45a		3.6628108	
Pinlyp		3.6606398	
Serpinb11		3.6584718	
Pou3f1		3.6391065	
Dapl1		3.6362805	
Fgd3		3.630886	
S100a9		3.6243386	
Ctsk		3.6155758	
Dmkn		3.6020243	
Duox1		3.6011386	
Mmp9		3.5777059	
Arc		3.568227	
Prdm1		3.5584342	
Vsig10l		3.536808	
Trim29		3.5212047	
Il1a		3.4966693	
Stac2		3.478051	
Barx2		3.4240065	
Rdh12		3.3807485	
Bex1		3.3797479	
Csf3r		3.3731248	
Nmb		3.3639624	
Cst6		3.3601305	
Zfp185		3.303213	
Acpp		3.2993572	
Ankrd35		3.2597582	
Odaph		3.2557006	
Clec4d		3.2539992	
Itgam		3.2502315	
Tmem40		3.2476559	
Hopx		3.2437944	
Hk3		3.2226758	
Plpp1		3.2082279	
Nipal4		3.205768	
Adam8		3.2053418	
Evpl		3.1739364	
Trem2		3.1564302	
Gjb6		3.1423643	
Flrt2		3.1269128	
Fat2		3.1093295	
Hmox1		3.102468	
Mamdc2		3.0938175	
Foxc1		3.0724444	
Igsf6		3.055983	
Vnn1		3.0474303	
Lpl		3.0437806	
Acsbg1		3.01392	
Gja1		3.0057728	
Pthlh		3.0004492	
Gm14137		2.9917612	
Col17a1		2.9915786	
Mall		2.9825678	
Prom2		2.9610345	
Trp53inp2		2.960495	
Itgb2		2.9367054	
Cd84		2.9357886	
Cd300lf		2.934856	
Gna15		2.913476	
Slc5a1		2.9110312	
Mxd1		2.891759	
Tmprss13		2.8891096	
Krt4		2.87948	
Krt80		2.864595	
Gpr87		2.8462222	
Slc37a2		2.8429787	
Slc11a1		2.826105	
Itgax		2.8256254	
Ada		2.8227065	
Abca1		2.8094504	
Cybb		2.8047314	
Rcn1		2.7915537	
Ammecr1		2.7738316	
Csf2rb		2.7656093	
Cd68		2.7643678	
Cd109		2.7580075	
Slc26a4		2.7386422	
Cdh3		2.7318847	
Tyrobp		2.7317338	
Duoxa2		2.7285886	
Htra1		2.7276232	
Npl		2.7235353	
Srgn		2.7151244	
Hvcn1		2.7099595	
Ccl6		2.694682	
Plat		2.6900392	
Trp63		2.6852028	
Plet1		2.6738749	
Tnc		2.6715279	
Slc25a48		2.6478767	
Fermt3		2.642166	
Kctd1		2.6261675	
Pla2g7		2.5986662	
Msr1		2.5866392	
Spns2		2.5741982	
Melk		2.5741065	
Cd36		2.5672147	
Rhbdl3		2.5549302	
Hmgn3		2.5472162	
Atp6v0d2		2.546329	
Wnk4		2.5459971	
Teddm3		2.5400965	
C3ar1		2.5309045	
Grhl1		2.5299091	
Clec4n		2.5279632	
Mfge8		2.5230205	
Anxa9		2.5162497	
Plau		2.5130825	
Kif21a		2.4938385	
Bambi		2.4825437	
Cd274		2.4808445	
Rassf10		2.4644673	
Scd1		2.46394	
Adamtsl4		2.4613042	
Abcg1		2.4611082	
Anxa1		2.4552562	
Lhfpl2		2.4413762	
Slpi		2.4389253	
Ptn		2.428787	
Dlk2		2.4258547	
Rab38		2.4251428	
P2ry2		2.4190242	
Ablim3		2.4151719	
Mcoln3		2.4138024	
Arhgef4		2.4002259	
Insl6		2.398302	
Zfp750		2.3969572	
Kank1		2.396361	
Myo5a		2.3917196	
Enpp3		2.3900404	
Nectin1		2.3871698	
Mab21l4		2.3859706	
Dusp22		2.3714333	
Stra6l		2.3689966	
Ephb6		2.3666735	
Dsc2		2.3589733	
Cyp27a1		2.3559701	
Il1b		2.3511603	
Wfdc17		2.3366845	
Scel		2.32682	
Apcdd1		2.3236046	
Cd37		2.3236046	
Pstpip1		2.3236046	
Ces2f		2.3190174	
Ctss		2.3173082	
Rassf5		2.3171785	
Gas1		2.312109	
Spi1		2.3089578	
Lratd1		2.3052928	
Plek		2.3029945	
S100a14		2.3010964	
Lyz1		2.300752	
Trbc2		2.297373	
Chil1		2.2959216	
Slamf7		2.2896574	
Cd300c2		2.2877276	
Reln		2.2834475	
Fcgr3		2.2814791	
Cd53		2.2706559	
Orm1		2.2653902	
S100a10		2.263457	
Ltf		2.249705	
Rnf39		2.2493896	
Cdkn2b		2.248221	
Tmem154		2.244533	
Sirpa		2.2417197	
Slc36a2		2.2398362	
Afap1l2		2.235657	
Ncf1		2.2351296	
Fcer1g		2.2351198	
Gngt2		2.2347705	
Ctsd		2.2191887	
Dusp5		2.2062943	
