NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cav1	107	1.5638337135314941	-0.02213043	Yes	
row_1	Cd93	186	1.3980087041854858	-0.035884835	Yes	
row_2	Clec1a	203	1.3691517114639282	-0.028730342	Yes	
row_3	Ptprm	223	1.3457399606704712	-0.022816218	Yes	
row_4	Cldn5	227	1.337689757347107	-0.01151181	Yes	
row_5	Npr1	245	1.298710584640503	-0.0053480784	Yes	
row_6	Esam	253	1.284963607788086	0.004104253	Yes	
row_7	Acer2	265	1.263918161392212	0.011996496	Yes	
row_8	BC028528	279	1.2455369234085083	0.019036265	Yes	
row_9	Msn	280	1.2426962852478027	0.030489745	Yes	
row_10	Col4a1	286	1.2351367473602295	0.0401659	Yes	
row_11	Lrrc8c	287	1.2350705862045288	0.051549096	Yes	
row_12	Col15a1	289	1.2339996099472046	0.06258089	Yes	
row_13	Myct1	292	1.2288382053375244	0.07322358	Yes	
row_14	Rin3	309	1.213670253753662	0.07894506	Yes	
row_15	Adam19	312	1.2088606357574463	0.08940363	Yes	
row_16	Gimap8	324	1.1942542791366577	0.096653804	Yes	
row_17	Col4a2	331	1.181898593902588	0.105497755	Yes	
row_18	Ptprb	337	1.1794569492340088	0.11466073	Yes	
row_19	Icam2	355	1.1558066606521606	0.119507365	Yes	
row_20	Itpkb	366	1.1448079347610474	0.12664334	Yes	
row_21	Gja4	399	1.1007556915283203	0.12585965	Yes	
row_22	Gimap6	403	1.0969570875167847	0.13494532	Yes	
row_23	Egfl7	406	1.0927571058273315	0.1443338	Yes	
row_24	Klf2	412	1.087330937385559	0.15264767	Yes	
row_25	Cyyr1	413	1.086040735244751	0.16265732	Yes	
row_26	Rasip1	427	1.0727461576461792	0.16810454	Yes	
row_27	Plxnd1	430	1.0693652629852295	0.17727743	Yes	
row_28	Sox18	433	1.0668809413909912	0.18642743	Yes	
row_29	Slfn5	434	1.0659332275390625	0.19625175	Yes	
row_30	Arhgef15	439	1.057224154472351	0.20462967	Yes	
row_31	She	444	1.0506459474563599	0.21294697	Yes	
row_32	Sox17	450	1.0465470552444458	0.22088496	Yes	
row_33	Cdh5	455	1.0413554906845093	0.22911663	Yes	
row_34	Sparc	460	1.0383293628692627	0.23732042	Yes	
row_35	Acvrl1	462	1.0378563404083252	0.24654444	Yes	
row_36	Clec14a	471	1.0308623313903809	0.25331327	Yes	
row_37	Mmrn2	473	1.025050163269043	0.26241925	Yes	
row_38	Adgre5	493	0.9983828663825989	0.26513192	Yes	
row_39	Erg	500	0.9924750328063965	0.27223003	Yes	
row_40	Tie1	504	0.98517906665802	0.28028548	Yes	
row_41	Plvap	512	0.9773504137992859	0.28690264	Yes	
row_42	Sema3g	514	0.9771562218666077	0.2955672	Yes	
row_43	Kank3	523	0.9683817625045776	0.3017602	Yes	
row_44	Jcad	535	0.9602558016777039	0.30685368	Yes	
row_45	Ushbp1	545	0.9537695646286011	0.31257045	Yes	
row_46	Vash1	556	0.9464659094810486	0.3178784	Yes	
row_47	Sh2d3c	564	0.9402559995651245	0.3241537	Yes	
row_48	Fgd5	584	0.9128574728965759	0.3260781	Yes	
row_49	Ccm2l	593	0.901053249835968	0.33165053	Yes	
row_50	Ehd2	597	0.8930848240852356	0.33885717	Yes	
row_51	Afap1l1	605	0.8877372145652771	0.34464842	Yes	
row_52	Gimap1	614	0.8763028383255005	0.34999275	Yes	
