NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Susd4	74	1.6438980102539062	-0.012256754	No	
row_1	Mfge8	118	1.5354325771331787	-0.014875376	No	
row_2	Sema3e	317	1.2056331634521484	-0.072454214	No	
row_3	Scnn1b	528	0.9645068049430847	-0.1359615	No	
row_4	Adrb1	807	0.7021533250808716	-0.22449371	No	
row_5	Galnt18	926	0.611742377281189	-0.25963712	No	
row_6	Vstm5	1285	-0.5377200245857239	-0.37649098	No	
row_7	Eps8l1	1307	-0.5420545339584351	-0.37938288	No	
row_8	Llgl2	1344	-0.5513357520103455	-0.3872737	No	
row_9	Cldn4	1430	-0.5715347528457642	-0.41157302	No	
row_10	Ovol2	1648	-0.6321529746055603	-0.48002654	No	
row_11	Patj	1689	-0.6482387185096741	-0.4885175	No	
row_12	Lsr	1792	-0.6847728490829468	-0.51768494	No	
row_13	Dgka	1813	-0.6935208439826965	-0.51906306	No	
row_14	Prss8	1985	-0.7524507641792297	-0.57103175	No	
row_15	Sh3rf2	2048	-0.7842053771018982	-0.5859048	No	
row_16	Tacstd2	2079	-0.7985632419586182	-0.5898482	No	
row_17	Unc5cl	2100	-0.8060609102249146	-0.5903528	No	
row_18	Kdf1	2184	-0.8512603044509888	-0.6118047	No	
row_19	Kcnk1	2305	-0.929237425327301	-0.6451598	No	
row_20	Ap1m2	2386	-0.9954399466514587	-0.66447836	No	
row_21	Fam83b	2423	-1.0252208709716797	-0.66869086	Yes	
row_22	Ripk4	2443	-1.0458858013153076	-0.6669958	Yes	
row_23	Itgb4	2445	-1.047011375427246	-0.6592068	Yes	
row_24	Marveld3	2450	-1.0526381731033325	-0.6523884	Yes	
row_25	Spint1	2505	-1.0978916883468628	-0.662122	Yes	
row_26	Tmem30b	2520	-1.1159762144088745	-0.6581926	Yes	
row_27	Esrp2	2535	-1.1322040557861328	-0.6541372	Yes	
row_28	Spint2	2539	-1.1391196250915527	-0.6463094	Yes	
row_29	Tmprss2	2557	-1.1586077213287354	-0.64306325	Yes	
row_30	Osbpl3	2566	-1.1685726642608643	-0.6366972	Yes	
row_31	Pof1b	2567	-1.168601155281067	-0.6276263	Yes	
row_32	Cblc	2582	-1.1859103441238403	-0.62315404	Yes	
row_33	St14	2628	-1.2454167604446411	-0.62869996	Yes	
row_34	Cldn7	2642	-1.2694170475006104	-0.6232414	Yes	
row_35	Grhl2	2652	-1.2883541584014893	-0.61628366	Yes	
row_36	Cdh1	2655	-1.294026255607605	-0.6069154	Yes	
row_37	Irf6	2657	-1.2947226762771606	-0.5972037	Yes	
row_38	Lad1	2675	-1.3247623443603516	-0.5926678	Yes	
row_39	Cldn23	2686	-1.3450748920440674	-0.5856078	Yes	
row_40	Esrp1	2699	-1.35848867893219	-0.57911986	Yes	
row_41	Cdcp1	2704	-1.3735146522521973	-0.56981075	Yes	
row_42	Pkp3	2706	-1.3769237995147705	-0.55946094	Yes	
row_43	Lypd6b	2728	-1.420583724975586	-0.5555336	Yes	
row_44	Nipal2	2731	-1.4377319812774658	-0.54504985	Yes	
row_45	Tmem45b	2732	-1.4382108449935913	-0.53388625	Yes	
row_46	Frem2	2739	-1.457478404045105	-0.5246015	Yes	
row_47	Epha1	2746	-1.4706058502197266	-0.51521486	Yes	
row_48	Krt7	2749	-1.4869693517684937	-0.504349	Yes	
row_49	Plcd3	2758	-1.5082550048828125	-0.49534622	Yes	
row_50	Arhgef16	2780	-1.5462063550949097	-0.49044377	Yes	
row_51	Nectin4	2786	-1.558478593826294	-0.48003697	Yes	
row_52	Fermt1	2795	-1.5794506072998047	-0.4704816	Yes	
row_53	Arhgef19	2804	-1.5971590280532837	-0.4607888	Yes	
row_54	Ikzf2	2807	-1.5992913246154785	-0.44905102	Yes	
row_55	Epcam	2813	-1.6159460544586182	-0.43819815	Yes	
row_56	Lnx1	2818	-1.6288678646087646	-0.42690694	Yes	
row_57	Klf5	2823	-1.6441524028778076	-0.4154971	Yes	
row_58	Exph5	2840	-1.7152281999588013	-0.40759233	Yes	
row_59	Galnt3	2845	-1.7326406240463257	-0.3954956	Yes	
row_60	Adam28	2848	-1.738820195198059	-0.38267478	Yes	
row_61	Ppl	2852	-1.7542082071304321	-0.3700726	Yes	
row_62	Wfdc2	2861	-1.8162235021591187	-0.35867935	Yes	
row_63	Wnt4	2873	-1.868599534034729	-0.34789377	Yes	
row_64	Ttll10	2877	-1.8746243715286255	-0.3343569	Yes	
row_65	Cers3	2891	-1.961064338684082	-0.32352972	Yes	
row_66	Ildr1	2900	-2.0162699222564697	-0.3105837	Yes	
row_67	Crybg1	2901	-2.0260841846466064	-0.294857	Yes	
row_68	Vtcn1	2908	-2.0706887245178223	-0.28081244	Yes	
row_69	Krt15	2935	-2.2559170722961426	-0.27209142	Yes	
row_70	Paqr5	2944	-2.3025050163269043	-0.25692362	Yes	
row_71	Plch2	2966	-2.5229432582855225	-0.2444396	Yes	
row_72	Atp2c2	2980	-2.8298511505126953	-0.2268688	Yes	
row_73	Krt14	2985	-2.8976049423217773	-0.20572947	Yes	
row_74	Gpr87	2992	-3.022275447845459	-0.18429857	Yes	
row_75	Pkp1	2996	-3.08345627784729	-0.16137859	Yes	
row_76	Gabrp	2998	-3.125570297241211	-0.13745557	Yes	
row_77	Krt5	3013	-3.4352571964263916	-0.11552359	Yes	
row_78	Gjb2	3016	-3.482103109359741	-0.089171186	Yes	
row_79	Fat2	3018	-3.570544481277466	-0.061794225	Yes	
row_80	Trp63	3034	-4.244178295135498	-0.03392136	Yes	
row_81	Col17a1	3036	-4.544320583343506	0.0010141785	Yes	
