NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F7	10	2.1320888996124268	0.012982562	No	
row_1	Apoc1	40	1.810664176940918	0.016982386	No	
row_2	Stra6l	72	1.6525688171386719	0.019080354	No	
row_3	Lonrf3	91	1.6065101623535156	0.025277438	No	
row_4	Slc36a2	134	1.510269045829773	0.022511864	No	
row_5	Mmp19	148	1.4748598337173462	0.029408693	No	
row_6	Qpct	149	1.4740417003631592	0.040752806	No	
row_7	Tmem37	152	1.4609872102737427	0.051311284	No	
row_8	Pcolce2	184	1.401612639427185	0.051477913	No	
row_9	Anpep	212	1.3607951402664185	0.052700747	No	
row_10	Fgg	221	1.3520232439041138	0.060365148	No	
row_11	Gdf15	231	1.328696846961975	0.06750745	No	
row_12	Cd302	283	1.2370017766952515	0.059555583	No	
row_13	Adk	356	1.1557326316833496	0.043784034	No	
row_14	Fn1	520	0.9727350473403931	-0.004570915	No	
row_15	Trf	541	0.9571846723556519	-0.004056156	No	
row_16	Hc	562	0.9410709738731384	-0.0036654072	No	
row_17	Phyhd1	620	0.872099757194519	-0.01648103	No	
row_18	Pygl	633	0.8645076751708984	-0.013938841	No	
row_19	Slc7a2	795	0.711094081401825	-0.06362219	No	
row_20	Fmo2	845	0.6741744875907898	-0.07522037	No	
row_21	G0s2	878	0.644508421421051	-0.08122294	No	
row_22	Grb10	894	0.6337543725967407	-0.08148436	No	
row_23	Emp2	915	0.6184316873550415	-0.08357662	No	
row_24	Cys1	919	0.6173712611198425	-0.079853125	No	
row_25	Fkbp5	935	0.6057575941085815	-0.08033001	No	
row_26	C3	948	0.6020026803016663	-0.079808034	No	
row_27	Ly75	1042	0.5421776175498962	-0.1074957	No	
row_28	C1ra	1069	0.5266929864883423	-0.11234948	No	
row_29	Sfmbt1	1073	0.5227031707763672	-0.10935454	No	
row_30	Grk3	1095	0.5048473477363586	-0.11266352	No	
row_31	Pecr	1110	-0.5018373131752014	-0.11359758	No	
row_32	Nipsnap2	1112	-0.5019222497940063	-0.11007741	No	
row_33	Osgin1	1138	-0.5064563751220703	-0.114744335	No	
row_34	Cpm	1180	-0.5146054029464722	-0.12482988	No	
row_35	Gpt2	1185	-0.5154861211776733	-0.12223307	No	
row_36	Dop1b	1271	-0.5356138348579407	-0.1472306	No	
row_37	Got2	1317	-0.5447638034820557	-0.15845437	No	
row_38	Slc25a10	1343	-0.5512237548828125	-0.16277677	No	
row_39	Acad11	1452	-0.5752384066581726	-0.19534875	No	
row_40	Aldh4a1	1475	-0.5803899765014648	-0.19841895	No	
row_41	Phyh	1502	-0.5868038535118103	-0.20281011	No	
row_42	Ocln	1510	-0.5886788368225098	-0.20067775	No	
row_43	Nt5e	1516	-0.5906801819801331	-0.19784485	No	
row_44	Slc22a18	1519	-0.5912847518920898	-0.19397953	No	
row_45	Dap	1535	-0.5951577425003052	-0.19453798	No	
row_46	Fabp5	1603	-0.6166783571243286	-0.21274514	No	
row_47	Usp18	1621	-0.6224128603935242	-0.21377902	No	
row_48	Chdh	1650	-0.6325435638427734	-0.21850333	No	
row_49	Ephx2	1664	-0.6374298930168152	-0.2180513	No	
row_50	Tmem51	1721	-0.6618523597717285	-0.23214239	No	
row_51	Echdc2	1769	-0.6785550117492676	-0.24302168	No	
row_52	Als2cl	1771	-0.6794939637184143	-0.23813494	No	
row_53	Tmem205	1833	-0.7015392780303955	-0.2536335	No	
row_54	Galm	1846	-0.7054892182350159	-0.2523151	No	
row_55	Synj2	1849	-0.7069390416145325	-0.24755973	No	
row_56	Hadh	1869	-0.7111924290657043	-0.24859552	No	
row_57	Siah2	1909	-0.7240251302719116	-0.25638422	No	
row_58	Slc25a15	1921	-0.7284035682678223	-0.2545469	No	
row_59	Akr1c13	1950	-0.7403762340545654	-0.25844136	No	
row_60	Zfp395	1977	-0.7500485777854919	-0.2615762	No	
row_61	Hip1r	2058	-0.7886157035827637	-0.2829137	No	
row_62	Slc35d2	2060	-0.7887762188911438	-0.27718595	No	
