NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1qb	2	2.291245460510254	0.008203133	Yes	
row_1	C3ar1	4	2.2072079181671143	0.016433526	Yes	
row_2	Slc37a2	5	2.1784870624542236	0.024906322	Yes	
row_3	Apoe	6	2.176579475402832	0.033371698	Yes	
row_4	Hk3	11	2.104745626449585	0.040141262	Yes	
row_5	Ctss	14	2.0878746509552	0.047553424	Yes	
row_6	Trem2	15	2.053086519241333	0.0555385	Yes	
row_7	Hmox1	16	2.05072021484375	0.063514374	Yes	
row_8	Cd180	18	1.9996838569641113	0.07093764	Yes	
row_9	C1qc	20	1.9880777597427368	0.07831577	Yes	
row_10	Myo1f	23	1.937294840812683	0.085142285	Yes	
row_11	Mertk	24	1.9344767332077026	0.092666045	Yes	
row_12	Cd300c2	26	1.896301507949829	0.09968723	Yes	
row_13	Ms4a6d	27	1.8949761390686035	0.10705737	Yes	
row_14	Lgmn	28	1.87798273563385	0.11436141	Yes	
row_15	C1qa	29	1.8622111082077026	0.121604115	Yes	
row_16	Cd300a	32	1.8493356704711914	0.12808853	Yes	
row_17	Cd84	35	1.8252508640289307	0.13447927	Yes	
row_18	Cd68	36	1.8200488090515137	0.14155799	Yes	
row_19	Ms4a6c	37	1.8190028667449951	0.14863265	Yes	
row_20	Fcgr1	38	1.8175337314605713	0.15570158	Yes	
row_21	Mpeg1	42	1.7993717193603516	0.16163756	Yes	
row_22	Slc15a3	44	1.795346736907959	0.1682661	Yes	
row_23	Ctsb	46	1.7775893211364746	0.17482558	Yes	
row_24	Slc11a1	48	1.769653558731079	0.18135418	Yes	
row_25	Cd37	49	1.76252019405365	0.18820916	Yes	
row_26	Napsa	50	1.7581552267074585	0.19504716	Yes	
row_27	Cd36	52	1.7475942373275757	0.20148997	Yes	
row_28	Sirpa	56	1.7017710208892822	0.20704636	Yes	
row_29	Psap	59	1.6944637298583984	0.21292841	Yes	
row_30	Rftn1	61	1.6900324821472168	0.21914737	Yes	
row_31	Pik3r5	63	1.6849474906921387	0.22534652	Yes	
row_32	Ly86	66	1.6772083044052124	0.23116148	Yes	
row_33	Ms4a7	79	1.6233597993850708	0.23322593	Yes	
row_34	Evi2a	81	1.6200807094573975	0.2391728	Yes	
row_35	Tyrobp	83	1.6178566217422485	0.24511103	Yes	
row_36	Spi1	86	1.6159619092941284	0.25068778	Yes	
row_37	Fcer1g	95	1.596817970275879	0.25406542	Yes	
row_38	C5ar1	96	1.596290946006775	0.2602739	Yes	
row_39	Myo1g	99	1.5783859491348267	0.26570448	Yes	
row_40	Lpxn	100	1.5757406949996948	0.27183303	Yes	
row_41	Cd83	101	1.5750173330307007	0.27795875	Yes	
row_42	Fcgr2b	102	1.5718578100204468	0.2840722	Yes	
row_43	Fcgr3	108	1.5617022514343262	0.2883756	Yes	
row_44	Arhgap9	110	1.5523724555969238	0.29405913	Yes	
row_45	St6galnac4	111	1.5508801937103271	0.30009097	Yes	
row_46	Sash3	114	1.545629858970642	0.30539417	Yes	
row_47	Arhgap25	117	1.5356435775756836	0.31065854	Yes	
row_48	Cybb	119	1.5352064371109009	0.3162753	Yes	
row_49	Nfam1	120	1.5323842763900757	0.32223523	Yes	
row_50	Rasa4	122	1.5313053131103516	0.3278368	Yes	
row_51	Gusb	123	1.5299111604690552	0.3337871	Yes	
row_52	Tmem106a	126	1.52157461643219	0.33899677	Yes	
row_53	Lair1	127	1.5209559202194214	0.3449122	Yes	
row_54	Pstpip1	129	1.5188857316970825	0.3504655	Yes	
row_55	Cyth4	130	1.5170313119888306	0.3563657	Yes	
row_56	Ctsd	136	1.5069302320480347	0.36045608	Yes	
row_57	Cd53	139	1.4883981943130493	0.3655367	Yes	
row_58	Pik3cd	144	1.4764851331710815	0.36986277	Yes	
row_59	Cd48	146	1.4756879806518555	0.37524804	Yes	
row_60	Gpr65	151	1.4614475965499878	0.37951565	Yes	
row_61	Hcls1	156	1.4508724212646484	0.3837421	Yes	
row_62	Npl	163	1.4408003091812134	0.38722116	Yes	
row_63	Myo5a	165	1.4350132942199707	0.39244825	Yes	
row_64	Slco2b1	166	1.4260677099227905	0.39799464	Yes	
row_65	Cfp	168	1.4235994815826416	0.40317735	Yes	
