NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Gpnmb	3	2.2125895023345947	0.035498936	No	
row_1	Hmox1	16	2.05072021484375	0.06531223	No	
row_2	Ctsb	46	1.7775893211364746	0.084924184	No	
row_3	Nrn1	68	1.671951174736023	0.105473354	No	
row_4	Plin2	90	1.6074748039245605	0.124958776	No	
row_5	Mfge8	118	1.5354325771331787	0.14124557	No	
row_6	Lgals3	344	1.1695560216903687	0.085164376	No	
row_7	B2m	402	1.097032070159912	0.08416806	No	
row_8	Fth1	503	0.9857916831970215	0.06693111	No	
row_9	Creg1	517	0.9734629988670349	0.07863648	No	
row_10	Cyba	554	0.9469895958900452	0.0821999	No	
row_11	H2-D1	722	0.7936084270477295	0.03934669	No	
row_12	Cdkn1a	749	0.7645745873451233	0.04325065	No	
row_13	H2-K1	818	0.691962480545044	0.031886287	No	
row_14	Plpp3	938	0.6047893166542053	0.001998284	No	
row_15	Cfl1	973	0.5813957452774048	2.000397E-4	No	
row_16	Cstb	1056	0.5352080464363098	-0.018440625	No	
row_17	Plaur	1098	0.503523051738739	-0.023868695	No	
row_18	Sdcbp2	1160	-0.510959267616272	-0.035874248	No	
row_19	Krt8	1193	-0.518530547618866	-0.038039643	No	
row_20	Eif3f	1225	-0.5268130898475647	-0.039733384	No	
row_21	Hmgcr	1281	-0.5376140475273132	-0.049289126	No	
row_22	Msmo1	1304	-0.5414546132087708	-0.047726233	No	
row_23	Rac1	1404	-0.5636218786239624	-0.07159326	No	
row_24	Eif6	1550	-0.6013964414596558	-0.110247456	No	
row_25	Bcl3	1709	-0.6571515202522278	-0.1523369	No	
row_26	Ppa1	1719	-0.660753607749939	-0.14445066	No	
row_27	Eef1d	1738	-0.6679999828338623	-0.13945995	No	
row_28	S100a16	1801	-0.686548113822937	-0.1489036	No	
row_29	Nop56	1822	-0.6964670419692993	-0.14411324	No	
row_30	Aldh3a1	1866	-0.7103068232536316	-0.14679974	No	
row_31	Fdft1	1952	-0.740716814994812	-0.16305488	No	
row_32	Hsp90aa1	1965	-0.7453309297561646	-0.1547783	No	
row_33	Xbp1	1976	-0.7497546076774597	-0.1457587	No	
row_34	Cbr3	2160	-0.8342417478561401	-0.19330168	No	
row_35	Lmo4	2166	-0.8420376777648926	-0.18108453	No	
row_36	Phlda1	2291	-0.91954505443573	-0.20745464	No	
row_37	Cdc42ep5	2317	-0.9350755214691162	-0.20040269	No	
row_38	Vps37b	2349	-0.961509108543396	-0.19492468	No	
row_39	Smox	2377	-0.9895871877670288	-0.18764341	No	
row_40	Srsf3	2496	-1.0896371603012085	-0.20919724	Yes	
row_41	Avpi1	2499	-1.093475103378296	-0.19182678	Yes	
row_42	S100a14	2580	-1.1852505207061768	-0.19907282	Yes	
row_43	Gpx2	2598	-1.2105724811553955	-0.18479559	Yes	
row_44	Cldn7	2642	-1.2694170475006104	-0.17825772	Yes	
row_45	Urah	2658	-1.3031128644943237	-0.16178371	Yes	
row_46	Krt23	2683	-1.3395907878875732	-0.14772293	Yes	
row_47	Asns	2703	-1.3708600997924805	-0.13147123	Yes	
row_48	Areg	2775	-1.5379443168640137	-0.12988336	Yes	
row_49	Aqp3	2802	-1.5942182540893555	-0.11229169	Yes	
row_50	Klf5	2823	-1.6441524028778076	-0.09186614	Yes	
row_51	Sprr1a	2841	-1.7155085802078247	-0.06925832	Yes	
row_52	Cbr2	2865	-1.8265773057937622	-0.04682809	Yes	
row_53	Prss22	3002	-3.153987407684326	-0.040353805	Yes	
row_54	Lypd3	3005	-3.1769399642944336	0.011390282	Yes	
