NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1qb	2	2.291245460510254	0.019082947	Yes	
row_1	Apoe	6	2.176579475402832	0.03683632	Yes	
row_2	Ctsl	8	2.1529035568237305	0.055066433	Yes	
row_3	Fabp4	12	2.100139617919922	0.072160445	Yes	
row_4	Ctss	14	2.0878746509552	0.08982963	Yes	
row_5	Trem2	15	2.053086519241333	0.10753922	Yes	
row_6	C1qc	20	1.9880777597427368	0.12332613	Yes	
row_7	Cd300c2	26	1.896301507949829	0.1379809	Yes	
row_8	C1qa	29	1.8622111082077026	0.15336306	Yes	
row_9	Lpl	34	1.83320152759552	0.16781403	Yes	
row_10	Cd68	36	1.8200488090515137	0.18317299	Yes	
row_11	Ctsb	46	1.7775893211364746	0.19544184	Yes	
row_12	Cd37	49	1.76252019405365	0.20996408	Yes	
row_13	Lat2	64	1.6847925186157227	0.21973006	Yes	
row_14	Tyrobp	83	1.6178566217422485	0.22755674	Yes	
row_15	Spi1	86	1.6159619092941284	0.24081479	Yes	
row_16	Plekho1	92	1.6064265966415405	0.25296915	Yes	
row_17	Fcer1g	95	1.596817970275879	0.26606208	Yes	
row_18	Fcgr2b	102	1.5718578100204468	0.27757776	Yes	
row_19	Vim	128	1.5209410190582275	0.28218508	Yes	
row_20	Csf2ra	143	1.478047251701355	0.2901677	Yes	
row_21	Cd48	146	1.4756879806518555	0.30221578	Yes	
row_22	Gpsm3	194	1.3839106559753418	0.29815045	Yes	
row_23	Npc2	202	1.3712157011032104	0.30759493	Yes	
row_24	Hebp1	224	1.3445903062820435	0.312043	Yes	
row_25	Cd52	233	1.32326340675354	0.3207334	Yes	
row_26	Tmem86a	236	1.318927526473999	0.33142927	Yes	
row_27	Ctsz	242	1.3031272888183594	0.34096742	Yes	
row_28	Arhgap45	243	1.301431655883789	0.35219336	Yes	
row_29	Tmem100	258	1.2767665386199951	0.35843977	Yes	
row_30	Dpysl2	298	1.2248913049697876	0.35572663	Yes	
row_31	Timp2	334	1.1798014640808105	0.3539865	Yes	
row_32	Abi3	339	1.1748484373092651	0.3627586	Yes	
row_33	Crlf2	352	1.1635850667953491	0.3687097	Yes	
row_34	Cd74	376	1.1330008506774902	0.37065166	Yes	
row_35	B2m	402	1.097032070159912	0.3716024	Yes	
row_36	H2-Ab1	404	1.0942904949188232	0.3807011	Yes	
row_37	H2-DMa	418	1.0826667547225952	0.3856137	Yes	
row_38	H2-Eb1	425	1.0747504234313965	0.39284143	Yes	
row_39	Arhgdib	445	1.0492039918899536	0.39542252	Yes	
row_40	Cotl1	447	1.0488048791885376	0.40412885	Yes	
row_41	Lsp1	459	1.0387792587280273	0.40934387	Yes	
row_42	Sparc	460	1.0383293628692627	0.41830033	Yes	
row_43	H2-Aa	465	1.035446286201477	0.42587	Yes	
row_44	Cxcl16	479	1.0128105878829956	0.43018004	Yes	
row_45	Tubb6	480	1.0126088857650757	0.43891466	Yes	
row_46	Tspan7	487	1.0037126541137695	0.4455296	Yes	
row_47	Fth1	503	0.9857916831970215	0.44892564	Yes	
row_48	Serping1	519	0.972784698009491	0.45220947	Yes	
row_49	Coro1a	522	0.9700441360473633	0.45989594	Yes	
row_50	Cyba	554	0.9469895958900452	0.45750955	Yes	
row_51	Trim35	583	0.914483368396759	0.4558642	Yes	
row_52	Gpx1	603	0.8883094191551208	0.45705742	Yes	
row_53	Tspan4	625	0.8697342872619629	0.45740944	Yes	
row_54	Irf8	663	0.8395429253578186	0.4520533	Yes	
row_55	Slc43a3	675	0.8302247524261475	0.45546937	Yes	
row_56	Arrb2	718	0.7964908480644226	0.44803947	Yes	
row_57	H2-D1	722	0.7936084270477295	0.45386356	Yes	
row_58	Cd63	724	0.7931666970252991	0.46036482	Yes	
row_59	Grina	726	0.7913784980773926	0.46685064	Yes	
row_60	Ppp1r18	732	0.7763885855674744	0.4718452	Yes	
row_61	Bst2	736	0.7722899913787842	0.47748542	Yes	
row_62	Anxa5	743	0.7688427567481995	0.4820744	Yes	
row_63	Cdkn1a	749	0.7645745873451233	0.4869671	Yes	
row_64	Cst3	782	0.7234262824058533	0.4823118	Yes	
row_65	Ddah2	800	0.7057508826255798	0.48261127	Yes	
row_66	H2-K1	818	0.691962480545044	0.48279178	Yes	
row_67	Rgs10	837	0.6784133911132812	0.48251498	Yes	
row_68	Psmb8	838	0.6783369183540344	0.4883662	Yes	
row_69	Calm2	857	0.6637725234031677	0.48796308	Yes	
row_70	Bgn	870	0.6496616005897522	0.48948115	Yes	
row_71	Atp6v0e	888	0.6380190849304199	0.4891964	Yes	
row_72	Ctsh	890	0.6370705366134644	0.49435118	Yes	
row_73	Mgp	898	0.6298969388008118	0.49740118	Yes	
row_74	Syngr1	911	0.6224434971809387	0.49868447	Yes	
row_75	H2-M3	955	0.5979029536247253	0.4892011	Yes	
row_76	Atp6v0c	960	0.5953687429428101	0.49297473	Yes	
row_77	Cfl1	973	0.5813957452774048	0.49390393	Yes	
row_78	Dok1	977	0.5768684148788452	0.49785846	Yes	
row_79	Camk1	985	0.5735530853271484	0.5004225	Yes	
row_80	Arl8a	992	0.567898690700531	0.50327814	Yes	
row_81	Erp29	1003	0.5622861981391907	0.5047235	Yes	
row_82	Sh3bgrl3	1006	0.5598050355911255	0.5088713	Yes	
row_83	Gpx3	1070	0.5265436172485352	0.49196276	No	
row_84	Rack1	1195	-0.5192962884902954	0.45422217	No	
row_85	Selenos	1201	-0.5201470851898193	0.45700645	No	
row_86	Eif3f	1225	-0.5268130898475647	0.45371953	No	
row_87	Eef1b2	1352	-0.5530536770820618	0.41558918	No	
row_88	Zfp710	1427	-0.570747435092926	0.39531657	No	
row_89	Mbp	1464	-0.5769456028938293	0.3880358	No	
row_90	Bsg	1560	-0.6035444140434265	0.36089593	No	
row_91	Rbm26	1633	-0.6278572678565979	0.34179693	No	
row_92	Eef1d	1738	-0.6679999828338623	0.3121487	No	
row_93	Tmed3	1790	-0.6845332384109497	0.3006887	No	
row_94	Slamf9	1929	-0.7312296032905579	0.26000947	No	
row_95	Basp1	2191	-0.8548094034194946	0.17851672	No	
row_96	Ly6a	2366	-0.9791406393051147	0.1277185	No	
row_97	Ly6e	2392	-1.0011298656463623	0.127842	No	
row_98	Dcn	2701	-1.3619194030761719	0.03472077	No	
row_99	Clu	2876	-1.8743047714233398	-0.008355911	No	
row_100	Upk1b	2917	-2.1307618618011475	-0.0035956446	No	
row_101	Krt15	2935	-2.2559170722961426	0.010075311	No	
row_102	Krt14	2985	-2.8976049423217773	0.01838589	No	
