NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1qb	2	2.291245460510254	0.024509436	Yes	
row_1	Apoe	6	2.176579475402832	0.047420133	Yes	
row_2	Itm2a	7	2.154951572418213	0.071107976	Yes	
row_3	Ctsl	8	2.1529035568237305	0.09477331	Yes	
row_4	Fabp4	12	2.100139617919922	0.11684375	Yes	
row_5	Cd68	36	1.8200488090515137	0.12906946	Yes	
row_6	Ctsb	46	1.7775893211364746	0.14556459	Yes	
row_7	Cd36	52	1.7475942373275757	0.16308317	Yes	
row_8	Psap	59	1.6944637298583984	0.17967942	Yes	
row_9	Plekho1	92	1.6064265966415405	0.18651228	Yes	
row_10	Fcer1g	95	1.596817970275879	0.20338836	Yes	
row_11	Cav1	107	1.5638337135314941	0.21685722	Yes	
row_12	Mfge8	118	1.5354325771331787	0.2303522	Yes	
row_13	Lair1	127	1.5209559202194214	0.24436462	Yes	
row_14	Vim	128	1.5209410190582275	0.26108325	Yes	
row_15	Pltp	133	1.513306736946106	0.27636474	Yes	
row_16	Ctsd	136	1.5069302320480347	0.29225278	Yes	
row_17	Vsir	170	1.4205082654953003	0.29670367	Yes	
row_18	Hexb	197	1.3790401220321655	0.3030668	Yes	
row_19	Ctsz	242	1.3031272888183594	0.30250618	Yes	
row_20	Man2b1	305	1.216484785079956	0.2949038	Yes	
row_21	Thbd	306	1.214572548866272	0.30825475	Yes	
row_22	Mgll	316	1.207516074180603	0.31848347	Yes	
row_23	Apbb1ip	322	1.1968517303466797	0.32994813	Yes	
row_24	Abhd12	330	1.1824852228164673	0.3405783	Yes	
row_25	Selplg	332	1.1815818548202515	0.35322827	Yes	
row_26	Timp2	334	1.1798014640808105	0.36585867	Yes	
row_27	Abi3	339	1.1748484373092651	0.37741977	Yes	
row_28	Lgals3	344	1.1695560216903687	0.3889227	Yes	
row_29	Crlf2	352	1.1635850667953491	0.39934507	Yes	
row_30	Grn	365	1.1462130546569824	0.40788504	Yes	
row_31	B2m	402	1.097032070159912	0.4077653	Yes	
row_32	Klf2	412	1.087330937385559	0.41667292	Yes	
row_33	Cotl1	447	1.0488048791885376	0.41669965	Yes	
row_34	Tubb6	480	1.0126088857650757	0.4170051	Yes	
row_35	Icam1	492	0.9991356730461121	0.42426664	Yes	
row_36	Plod1	497	0.9950056672096252	0.43385082	Yes	
row_37	Tie1	504	0.98517906665802	0.44265044	Yes	
row_38	Serping1	519	0.972784698009491	0.44860744	Yes	
row_39	Cyba	554	0.9469895958900452	0.44751498	Yes	
row_40	Trim35	583	0.914483368396759	0.448095	Yes	
row_41	Ehd2	597	0.8930848240852356	0.4535142	Yes	
row_42	Sipa1	611	0.8799198865890503	0.4587887	Yes	
row_43	Tgfbi	651	0.8507533073425293	0.4549469	Yes	
row_44	Irf8	663	0.8395429253578186	0.46045417	Yes	
row_45	Slc43a3	675	0.8302247524261475	0.465859	Yes	
row_46	Dhrs3	703	0.8074377775192261	0.4656006	Yes	
row_47	Bst2	736	0.7722899913787842	0.4632644	Yes	
row_48	Ifngr1	740	0.7702280282974243	0.4707161	Yes	
row_49	Anxa5	743	0.7688427567481995	0.47849083	Yes	
row_50	Cdkn1a	749	0.7645745873451233	0.48520377	Yes	
row_51	Cst3	782	0.7234262824058533	0.48233044	Yes	
row_52	Tln1	804	0.7033658623695374	0.48295784	Yes	
row_53	Grb2	816	0.6954764723777771	0.48688146	Yes	
row_54	H2-K1	818	0.691962480545044	0.49414942	Yes	
row_55	Prnp	820	0.6897398233413696	0.50139296	Yes	
row_56	Epb41l2	827	0.6832165718078613	0.5068733	Yes	
row_57	Psmb8	838	0.6783369183540344	0.5109468	Yes	
row_58	Ctsh	890	0.6370705366134644	0.50069666	No	
row_59	Slc48a1	916	0.6181986331939697	0.49903467	No	
row_60	Plpp3	938	0.6047893166542053	0.4985785	No	
row_61	Serpine2	967	0.5904292464256287	0.4955964	No	
row_62	Cfl1	973	0.5813957452774048	0.5002958	No	
row_63	Tppp3	1219	-0.5254045724868774	0.42318892	No	
row_64	Senp6	1364	-0.5559000372886658	0.38058504	No	
row_65	Pmaip1	1451	-0.5751277208328247	0.35781366	No	
row_66	Mbp	1464	-0.5769456028938293	0.36009607	No	
row_67	Cnn3	1470	-0.5791380405426025	0.36477065	No	
row_68	Mt2	1478	-0.5807251334190369	0.36878607	No	
row_69	Bsg	1560	-0.6035444140434265	0.34801853	No	
row_70	Tmem59	1563	-0.604861855506897	0.35399073	No	
row_71	Tmed3	1790	-0.6845332384109497	0.28506067	No	
row_72	Pttg1ip	1884	-0.7164549827575684	0.2614747	No	
row_73	Atp1a1	1953	-0.740787923336029	0.24661359	No	
row_74	Xbp1	1976	-0.7497546076774597	0.24741262	No	
row_75	Ccdc88c	2115	-0.8142490386962891	0.20967838	No	
row_76	Dnajc3	2133	-0.8201461434364319	0.21294264	No	
row_77	Ly6a	2366	-0.9791406393051147	0.1452212	No	
row_78	Psip1	2410	-1.0119749307632446	0.14179844	No	
row_79	Myo6	2548	-1.1491132974624634	0.108083405	No	
row_80	Igfbp5	2556	-1.1585851907730103	0.118450835	No	
row_81	Fahd1	2588	-1.194506049156189	0.12109404	No	
row_82	Dcn	2701	-1.3619194030761719	0.09817561	No	
row_83	Egr1	2733	-1.4400789737701416	0.103518225	No	
