NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Apoe	6	2.176579475402832	0.03389879	Yes	
row_1	Itm2a	7	2.154951572418213	0.06945549	Yes	
row_2	Lgmn	28	1.87798273563385	0.09372629	Yes	
row_3	Ctsb	46	1.7775893211364746	0.11734799	Yes	
row_4	Tnfsf12	115	1.544281005859375	0.11999451	Yes	
row_5	Vim	128	1.5209410190582275	0.14106049	Yes	
row_6	Pltp	133	1.513306736946106	0.16468687	Yes	
row_7	Plek	135	1.50928795337677	0.18925433	Yes	
row_8	Cryab	158	1.4491592645645142	0.20577794	Yes	
row_9	Hexb	197	1.3790401220321655	0.21577187	Yes	
row_10	Ptprm	223	1.3457399606704712	0.22958168	Yes	
row_11	Cldn5	227	1.337689757347107	0.25064617	Yes	
row_12	Dnmt3a	239	1.310156226158142	0.26857	Yes	
row_13	Npr1	245	1.298710584640503	0.28831977	Yes	
row_14	Csf1r	249	1.2922407388687134	0.30863434	Yes	
row_15	Acer2	265	1.263918161392212	0.32445204	Yes	
row_16	Thbd	306	1.214572548866272	0.33106068	Yes	
row_17	Abi3	339	1.1748484373092651	0.3397002	Yes	
row_18	Egfl7	406	1.0927571058273315	0.33556816	Yes	
row_19	Klf2	412	1.087330937385559	0.35183015	Yes	
row_20	Prex1	435	1.0655573606491089	0.36202434	Yes	
row_21	Cdkn1c	446	1.0492039918899536	0.37597826	Yes	
row_22	H2-Aa	465	1.035446286201477	0.3870188	Yes	
row_23	Plvap	512	0.9773504137992859	0.38769847	Yes	
row_24	Trf	541	0.9571846723556519	0.39408973	Yes	
row_25	Serpinh1	546	0.9531296491622925	0.4084732	Yes	
row_26	Laptm5	659	0.8437128663063049	0.38478532	Yes	
row_27	Ramp2	670	0.8333992958068848	0.39517847	Yes	
row_28	H2-D1	722	0.7936084270477295	0.3911474	Yes	
row_29	Cd63	724	0.7931666970252991	0.40389886	Yes	
row_30	Ifngr1	740	0.7702280282974243	0.4115707	Yes	
row_31	Hsd3b7	754	0.760343611240387	0.41975102	Yes	
row_32	Sh3kbp1	762	0.7515972256660461	0.4298018	Yes	
row_33	Cst3	782	0.7234262824058533	0.4353582	Yes	
row_34	Grb2	816	0.6954764723777771	0.4357523	Yes	
row_35	H2-K1	818	0.691962480545044	0.4468339	Yes	
row_36	Calm2	857	0.6637725234031677	0.4450259	Yes	
row_37	Igfbp7	860	0.6550679206848145	0.45516294	Yes	
row_38	Arhgef2	866	0.6517758965492249	0.46423826	Yes	
row_39	Mgp	898	0.6298969388008118	0.4642219	Yes	
row_40	Ogn	950	0.6010581851005554	0.45701376	Yes	
row_41	Atp6v0c	960	0.5953687429428101	0.46381518	Yes	
row_42	Cfl1	973	0.5813957452774048	0.46937865	Yes	
row_43	Camk1	985	0.5735530853271484	0.47514853	Yes	
row_44	Hdac7	1031	0.547852635383606	0.4690773	No	
row_45	Myl12a	1087	0.5163030624389648	0.45912752	No	
row_46	Brd3	1118	-0.503337025642395	0.45735872	No	
row_47	Lgalsl	1184	-0.5153195858001709	0.44403476	No	
row_48	Ece1	1216	-0.5249189138412476	0.44228625	No	
row_49	Dctn1	1291	-0.5388085842132568	0.4263277	No	
row_50	Slc44a1	1403	-0.5636218786239624	0.3983541	No	
row_51	Zbtb7a	1424	-0.5690524578094482	0.40102756	No	
row_52	Mt2	1478	-0.5807251334190369	0.39281234	No	
row_53	Kmt2e	1514	-0.5898648500442505	0.39079228	No	
row_54	Ier2	1527	-0.592738926410675	0.3965429	No	
row_55	Tmem59	1563	-0.604861855506897	0.39477026	No	
row_56	Usp22	1740	-0.6680935025215149	0.34669375	No	
row_57	Tmed3	1790	-0.6845332384109497	0.34153455	No	
row_58	Cfap20	2145	-0.8245559930801392	0.23626801	No	
row_59	Lmo4	2166	-0.8420376777648926	0.24344571	No	
row_60	Atp9a	2504	-1.0973495244979858	0.14838879	No	
row_61	Clu	2876	-1.8743047714233398	0.05473456	No	
