NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Apoe	6	2.176579475402832	0.055808984	No	
row_1	Lgals1	45	1.7810896635055542	0.0904985	No	
row_2	Fcgr2b	102	1.5718578100204468	0.11365968	No	
row_3	Klf2	412	1.087330937385559	0.040012497	No	
row_4	Serpina3g	437	1.0626349449157715	0.06026823	No	
row_5	Cotl1	447	1.0488048791885376	0.085133485	No	
row_6	Sparc	460	1.0383293628692627	0.1087252	No	
row_7	H2-Aa	465	1.035446286201477	0.13489462	No	
row_8	Cyba	554	0.9469895958900452	0.13084513	No	
row_9	Cdkn1a	749	0.7645745873451233	0.08678234	No	
row_10	Cst3	782	0.7234262824058533	0.095376015	No	
row_11	Psmb8	838	0.6783369183540344	0.09514127	No	
row_12	Cfl1	973	0.5813957452774048	0.06612121	No	
row_13	Gpx3	1070	0.5265436172485352	0.048252366	No	
row_14	Anxa1	1347	-0.5518553256988525	-0.028665619	No	
row_15	Ddx27	1392	-0.5612340569496155	-0.028360426	No	
row_16	Cops6	1432	-0.5719408392906189	-0.026111988	No	
row_17	Ccnd2	2242	-0.8865732550621033	-0.27098286	No	
row_18	Ly6a	2366	-0.9791406393051147	-0.28579104	No	
row_19	Pafah1b3	2606	-1.217642068862915	-0.33275282	No	
row_20	Dcn	2701	-1.3619194030761719	-0.32777447	No	
row_21	Krt15	2935	-2.2559170722961426	-0.34517384	Yes	
row_22	Krt14	2985	-2.8976049423217773	-0.28448457	Yes	
row_23	Krt5	3013	-3.4352571964263916	-0.20221852	Yes	
row_24	Lgals7	3028	-3.9031295776367188	-0.10321478	Yes	
row_25	Krt6a	3030	-4.011727333068848	0.0029860132	Yes	
