NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1qb	2	2.291245460510254	0.02919397	Yes	
row_1	Gpnmb	3	2.2125895023345947	0.058036685	Yes	
row_2	Apoe	6	2.176579475402832	0.0857359	Yes	
row_3	C1qc	20	1.9880777597427368	0.10727041	Yes	
row_4	Mafb	22	1.9431465864181519	0.13226369	Yes	
row_5	Lgmn	28	1.87798273563385	0.15505937	Yes	
row_6	C1qa	29	1.8622111082077026	0.17933464	Yes	
row_7	Mmp3	30	1.8613361120224	0.20359851	Yes	
row_8	Ctsb	46	1.7775893211364746	0.22171508	Yes	
row_9	Cmtm3	70	1.66947340965271	0.23572594	Yes	
row_10	Tnfsf12	115	1.544281005859375	0.24102697	Yes	
row_11	Vim	128	1.5209410190582275	0.25680906	Yes	
row_12	Pltp	133	1.513306736946106	0.27518794	Yes	
row_13	Cryab	158	1.4491592645645142	0.28598982	Yes	
row_14	Atf3	161	1.4443888664245605	0.30414438	Yes	
row_15	Npc2	202	1.3712157011032104	0.30853754	Yes	
row_16	Dpysl2	298	1.2248913049697876	0.292486	Yes	
row_17	Thbd	306	1.214572548866272	0.30595958	Yes	
row_18	Cd74	376	1.1330008506774902	0.29747325	Yes	
row_19	Fxyd5	377	1.132738471031189	0.31223932	Yes	
row_20	B2m	402	1.097032070159912	0.31845096	Yes	
row_21	H2-Ab1	404	1.0942904949188232	0.33237877	Yes	
row_22	Arhgdib	445	1.0492039918899536	0.3325743	Yes	
row_23	Cdkn1c	446	1.0492039918899536	0.34625143	Yes	
row_24	Cotl1	447	1.0488048791885376	0.35992336	Yes	
row_25	H2-Aa	465	1.035446286201477	0.36769146	Yes	
row_26	Nsg1	477	1.019288420677185	0.37727118	Yes	
row_27	Icam1	492	0.9991356730461121	0.38557708	Yes	
row_28	Fth1	503	0.9857916831970215	0.39505717	Yes	
row_29	Trf	541	0.9571846723556519	0.39506426	Yes	
row_30	Ccn5	542	0.9553889632225037	0.40751848	Yes	
row_31	Cyba	554	0.9469895958900452	0.41615573	Yes	
row_32	Tspan4	625	0.8697342872619629	0.40390047	Yes	
row_33	Dhrs3	703	0.8074377775192261	0.38847387	Yes	
row_34	Rem1	706	0.8056219816207886	0.39830166	Yes	
row_35	H2-D1	722	0.7936084270477295	0.4035913	Yes	
row_36	Cd63	724	0.7931666970252991	0.41359377	Yes	
row_37	Grina	726	0.7913784980773926	0.42357293	Yes	
row_38	Bst2	736	0.7722899913787842	0.43060693	Yes	
row_39	Rras	788	0.7165983319282532	0.42275923	Yes	
row_40	H2-K1	818	0.691962480545044	0.4220053	Yes	
row_41	Prnp	820	0.6897398233413696	0.4306595	Yes	
row_42	Psmb8	838	0.6783369183540344	0.43377241	Yes	
row_43	Igfbp7	860	0.6550679206848145	0.43523386	Yes	
row_44	Ndufa4l2	900	0.6294181942939758	0.4302942	No	
row_45	C3	948	0.6020026803016663	0.42230082	No	
row_46	Cfl1	973	0.5813957452774048	0.42179075	No	
row_47	Arl8a	992	0.567898690700531	0.423127	No	
row_48	Ninj1	1025	0.5512136816978455	0.41952714	No	
row_49	H2-T23	1045	0.5401408076286316	0.42016453	No	
row_50	Gabarapl1	1061	0.5326536297798157	0.4220524	No	
row_51	Serpina3n	1063	0.5316154360771179	0.42864537	No	
row_52	Gpx3	1070	0.5265436172485352	0.43348703	No	
row_53	Rack1	1195	-0.5192962884902954	0.39846337	No	
row_54	Eif3f	1225	-0.5268130898475647	0.39555657	No	
row_55	H3f3b	1262	-0.5337100028991699	0.3903804	No	
row_56	Ier2	1527	-0.592738926410675	0.30912843	No	
row_57	Bsg	1560	-0.6035444140434265	0.30621076	No	
row_58	Nr4a1	1632	-0.627126157283783	0.2904559	No	
row_59	Rbm26	1633	-0.6278572678565979	0.2986405	No	
row_60	Aox3	1755	-0.6728456020355225	0.26662958	No	
row_61	S100a16	1801	-0.686548113822937	0.2604124	No	
row_62	Lmo4	2166	-0.8420376777648926	0.14870612	No	
row_63	Sox9	2201	-0.8595916032791138	0.14845215	No	
row_64	Elof1	2236	-0.8849897980690002	0.14852925	No	
row_65	Hes1	2255	-0.895728588104248	0.15413898	No	
row_66	Ly6a	2366	-0.9791406393051147	0.1298283	No	
row_67	Fxyd6	2370	-0.9844077825546265	0.14164966	No	
row_68	Nfkbiz	2444	-1.046603798866272	0.13068892	No	
row_69	Fos	2491	-1.083367943763733	0.12930754	No	
row_70	Adh1	2495	-1.088556170463562	0.14248654	No	
row_71	Egr1	2733	-1.4400789737701416	0.08138035	No	
row_72	Ces1d	2822	-1.6429554224014282	0.07313788	No	
