NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1qa	29	1.8622111082077026	0.027744107	Yes	
row_1	Gngt2	58	1.6981700658798218	0.0525245	Yes	
row_2	Lyz1	78	1.6273910999298096	0.0788909	Yes	
row_3	Spi1	86	1.6159619092941284	0.10903955	Yes	
row_4	Plekho1	92	1.6064265966415405	0.13966517	Yes	
row_5	H2-M2	113	1.547512173652649	0.16409127	Yes	
row_6	Vim	128	1.5209410190582275	0.18998916	Yes	
row_7	Csf2ra	143	1.478047251701355	0.21502468	Yes	
row_8	Mmp12	218	1.3535809516906738	0.21749762	Yes	
row_9	Ctsz	242	1.3031272888183594	0.23600733	Yes	
row_10	Dpysl2	298	1.2248913049697876	0.24224535	Yes	
row_11	Cd72	327	1.1886827945709229	0.25678247	Yes	
row_12	Abi3	339	1.1748484373092651	0.27672514	Yes	
row_13	Lgals3	344	1.1695560216903687	0.2989018	Yes	
row_14	H2-DMb1	348	1.1670986413955688	0.3213634	Yes	
row_15	Crlf2	352	1.1635850667953491	0.34375432	Yes	
row_16	Fxyd5	377	1.132738471031189	0.35850403	Yes	
row_17	Il2rg	380	1.1278609037399292	0.38051105	Yes	
row_18	H2-Ab1	404	1.0942904949188232	0.3948221	Yes	
row_19	H2-Eb1	425	1.0747504234313965	0.40974328	Yes	
row_20	Cotl1	447	1.0488048791885376	0.42380852	Yes	
row_21	Sparc	460	1.0383293628692627	0.44067213	Yes	
row_22	H2-Aa	465	1.035446286201477	0.4601525	Yes	
row_23	Acp5	483	1.008251667022705	0.47473973	Yes	
row_24	Cyba	554	0.9469895958900452	0.47037548	Yes	
row_25	Dpt	567	0.9354666471481323	0.48517105	Yes	
row_26	Metrnl	714	0.7994025945663452	0.45242998	No	
row_27	Arrb2	718	0.7964908480644226	0.46744046	No	
row_28	Grina	726	0.7913784980773926	0.48101082	No	
row_29	H2-K1	818	0.691962480545044	0.46449816	No	
row_30	Psmb8	838	0.6783369183540344	0.4717838	No	
row_31	Mgp	898	0.6298969388008118	0.46472204	No	
row_32	Atp6v0c	960	0.5953687429428101	0.45629746	No	
row_33	Tnfsf13	969	0.5881147384643555	0.46544683	No	
row_34	Cfl1	973	0.5813957452774048	0.47613284	No	
row_35	Erp29	1003	0.5622861981391907	0.47774187	No	
row_36	Gpx3	1070	0.5265436172485352	0.46626186	No	
row_37	Eif3f	1225	-0.5268130898475647	0.4253657	No	
row_38	H3f3b	1262	-0.5337100028991699	0.42405984	No	
row_39	Anxa1	1347	-0.5518553256988525	0.40707067	No	
row_40	Zfp710	1427	-0.570747435092926	0.392133	No	
row_41	Ier2	1527	-0.592738926410675	0.37095076	No	
row_42	Bsg	1560	-0.6035444140434265	0.3723863	No	
row_43	Tmed3	1790	-0.6845332384109497	0.30958587	No	
row_44	Cnnm4	2021	-0.7701138257980347	0.24817169	No	
row_45	S100a6	2175	-0.8468675017356873	0.21404454	No	
row_46	Basp1	2191	-0.8548094034194946	0.2262155	No	
row_47	Dcn	2701	-1.3619194030761719	0.08341976	No	
row_48	Ecm1	2738	-1.4549294710159302	0.1006351	No	
