NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Trem2	15	2.053086519241333	0.030410241	Yes	
row_1	Clec12a	19	1.9955353736877441	0.063839495	Yes	
row_2	Ms4a6d	27	1.8949761390686035	0.09419629	Yes	
row_3	Cd300a	32	1.8493356704711914	0.12476858	Yes	
row_4	Cd84	35	1.8252508640289307	0.15559398	Yes	
row_5	Ms4a6c	37	1.8190028667449951	0.1866459	Yes	
row_6	Napsa	50	1.7581552267074585	0.21297021	Yes	
row_7	Gngt2	58	1.6981700658798218	0.23993118	Yes	
row_8	Pla2g7	65	1.682791829109192	0.26696116	Yes	
row_9	Lyz1	78	1.6273910999298096	0.29102919	Yes	
row_10	Ms4a7	79	1.6233597993850708	0.31903967	Yes	
row_11	Vim	128	1.5209410190582275	0.32923484	Yes	
row_12	Pltp	133	1.513306736946106	0.35400906	Yes	
row_13	Ctsd	136	1.5069302320480347	0.37934196	Yes	
row_14	Zeb2	157	1.4505665302276611	0.39768425	Yes	
row_15	Cfp	168	1.4235994815826416	0.41890457	Yes	
row_16	Lrp1	183	1.4024324417114258	0.43842235	Yes	
row_17	Emp3	191	1.3886504173278809	0.4600427	Yes	
row_18	Fgr	296	1.226742148399353	0.4464387	Yes	
row_19	Rap2b	338	1.1784870624542236	0.4530653	Yes	
row_20	Lgals3	344	1.1695560216903687	0.4715739	Yes	
row_21	Grn	365	1.1462130546569824	0.48466468	Yes	
row_22	Alox5ap	375	1.1333991289138794	0.50121206	Yes	
row_23	Il2rg	380	1.1278609037399292	0.51933557	Yes	
row_24	Ccl9	411	1.0888608694076538	0.52809334	Yes	
row_25	Klf2	412	1.087330937385559	0.54685485	Yes	
row_26	Sirpb1c	463	1.0373592376708984	0.54803735	Yes	
row_27	Acp5	483	1.008251667022705	0.559082	Yes	
row_28	Adgre5	493	0.9983828663825989	0.5732997	Yes	
row_29	Cyba	554	0.9469895958900452	0.5695795	No	
row_30	Msrb1	629	0.8683041334152222	0.5598209	No	
row_31	Txn1	656	0.8462356925010681	0.5657296	No	
row_32	Ccl6	772	0.7361812591552734	0.5399835	No	
row_33	Cebpb	773	0.7358120083808899	0.55267966	No	
row_34	Mcl1	861	0.6550523042678833	0.5348951	No	
row_35	Ptpn1	940	0.6039219498634338	0.51923734	No	
row_36	Ninj1	1025	0.5512136816978455	0.5006641	No	
row_37	Cstb	1056	0.5352080464363098	0.49986884	No	
row_38	Gpx3	1070	0.5265436172485352	0.5046078	No	
row_39	Cd44	1072	0.523080050945282	0.513299	No	
row_40	Agpat4	1086	0.5168317556381226	0.51787037	No	
row_41	Pgk1	1680	-0.642210841178894	0.33069006	No	
row_42	Lmo4	2166	-0.8420376777648926	0.18306601	No	
row_43	S100a6	2175	-0.8468675017356873	0.19500372	No	
row_44	Ezr	2297	-0.9264528751373291	0.17053464	No	
row_45	Ly6a	2366	-0.9791406393051147	0.16469449	No	
row_46	Ly6e	2392	-1.0011298656463623	0.17361023	No	
row_47	Fos	2491	-1.083367943763733	0.1595384	No	
row_48	Plac8	2695	-1.3528770208358765	0.11501155	No	
