NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Rgs1	105	1.56655752658844	-0.017438712	No	
row_1	Mfge8	118	1.5354325771331787	-0.0037231443	No	
row_2	Ctsz	242	1.3031272888183594	-0.030312292	No	
row_3	Rgcc	346	1.169124960899353	-0.05167597	No	
row_4	Cdo1	362	1.1502618789672852	-0.043437704	No	
row_5	Cotl1	447	1.0488048791885376	-0.059756327	No	
row_6	Fth1	503	0.9857916831970215	-0.06697753	No	
row_7	Trf	541	0.9571846723556519	-0.06843041	No	
row_8	Cyba	554	0.9469895958900452	-0.061529655	No	
row_9	Rnase4	691	0.8172346353530884	-0.09815126	No	
row_10	Col1a2	704	0.8069281578063965	-0.09287257	No	
row_11	H2-D1	722	0.7936084270477295	-0.08944247	No	
row_12	Cd63	724	0.7931666970252991	-0.080595605	No	
row_13	Cd248	801	0.7045558094978333	-0.09819006	No	
row_14	H2-K1	818	0.691962480545044	-0.095598266	No	
row_15	Calm2	857	0.6637725234031677	-0.10078805	No	
row_16	Ctsh	890	0.6370705366134644	-0.10425386	No	
row_17	Cfl1	973	0.5813957452774048	-0.12530786	No	
row_18	Ninj1	1025	0.5512136816978455	-0.13620648	No	
row_19	Ptpn6	1096	0.504647970199585	-0.15408286	No	
row_20	Fam98c	1103	-0.5004863142967224	-0.1503199	No	
row_21	Sdcbp2	1160	-0.510959267616272	-0.16337906	No	
row_22	Zfpl1	1161	-0.5110644102096558	-0.15746036	No	
row_23	Fbl	1188	-0.5165290236473083	-0.16028897	No	
row_24	Rack1	1195	-0.5192962884902954	-0.15630816	No	
row_25	Ptov1	1210	-0.5233306288719177	-0.15499158	No	
row_26	Ece1	1216	-0.5249189138412476	-0.15060678	No	
row_27	Eif3f	1225	-0.5268130898475647	-0.14721666	No	
row_28	2510002D24Rik	1230	-0.5283410549163818	-0.14245336	No	
row_29	H3f3b	1262	-0.5337100028991699	-0.14677733	No	
row_30	Cdk5rap3	1327	-0.5477522015571594	-0.16212133	No	
row_31	Eef1b2	1352	-0.5530536770820618	-0.16384919	No	
row_32	Dcps	1357	-0.5535519123077393	-0.15879394	No	
row_33	Sfxn1	1362	-0.5550820827484131	-0.15372095	No	
row_34	Ostc	1457	-0.5764004588127136	-0.17889921	No	
row_35	Eef1g	1501	-0.5863981246948242	-0.18667941	No	
row_36	Ier2	1527	-0.592738926410675	-0.18828656	No	
row_37	Eif6	1550	-0.6013964414596558	-0.18877682	No	
row_38	Hmgb1	1558	-0.6030260920524597	-0.18416521	No	
row_39	Bsg	1560	-0.6035444140434265	-0.17751436	No	
row_40	Emg1	1616	-0.6203497052192688	-0.1889678	No	
row_41	Timm44	1618	-0.6213342547416687	-0.18211094	No	
row_42	Nudt22	1651	-0.6329033970832825	-0.185625	No	
row_43	2610528J11Rik	1670	-0.6393985748291016	-0.18431969	No	
row_44	Mal	1710	-0.657771110534668	-0.18991785	No	
row_45	Eef1d	1738	-0.6679999828338623	-0.19133112	No	
row_46	Atg101	1782	-0.6808025240898132	-0.19801801	No	
row_47	Tmed3	1790	-0.6845332384109497	-0.19246244	No	
row_48	Lsr	1792	-0.6847728490829468	-0.1848709	No	
row_49	S100a16	1801	-0.686548113822937	-0.17963086	No	
row_50	Nop56	1822	-0.6964670419692993	-0.17834237	No	
row_51	Pmm1	1922	-0.7293316721916199	-0.20344387	No	
row_52	Smagp	2010	-0.7662767767906189	-0.22405107	No	
row_53	Endog	2012	-0.7665465474128723	-0.2155125	No	
row_54	Cdpf1	2052	-0.7857910394668579	-0.21962804	No	
row_55	Mettl26	2118	-0.8146563768386841	-0.23221986	No	
row_56	Apex1	2125	-0.816330075263977	-0.22479908	No	
row_57	Elof1	2236	-0.8849897980690002	-0.25182542	Yes	
row_58	Akr7a5	2240	-0.8861659169197083	-0.24257927	Yes	
row_59	Hes1	2255	-0.895728588104248	-0.2369499	Yes	
row_60	Krtcap3	2265	-0.9015558362007141	-0.22955872	Yes	
row_61	Pold2	2301	-0.9281353950500488	-0.23067027	Yes	
row_62	Cdc42ep5	2317	-0.9350755214691162	-0.2249241	Yes	
row_63	Ptgr1	2332	-0.9430123567581177	-0.21874715	Yes	
row_64	Gale	2351	-0.9654427766799927	-0.21366589	Yes	
row_65	Cldn3	2379	-0.9913827776908875	-0.21133403	Yes	
row_66	Ly6e	2392	-1.0011298656463623	-0.20380628	Yes	
row_67	Pllp	2430	-1.0295214653015137	-0.20442142	Yes	
row_68	Sdsl	2438	-1.042389154434204	-0.19472149	Yes	
row_69	Mecr	2441	-1.0442631244659424	-0.18330552	Yes	
row_70	Adh1	2495	-1.088556170463562	-0.18865886	Yes	
row_71	Spint2	2539	-1.1391196250915527	-0.19003795	Yes	
row_72	S100a14	2580	-1.1852505207061768	-0.18986617	Yes	
row_73	Fahd1	2588	-1.194506049156189	-0.17840457	Yes	
