NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ctsb	46	1.7775893211364746	-0.004735816	No	
row_1	Psap	59	1.6944637298583984	0.0018431409	No	
row_2	Npc2	202	1.3712157011032104	-0.038910694	No	
row_3	Ctsz	242	1.3031272888183594	-0.044220846	No	
row_4	Cdo1	362	1.1502618789672852	-0.07836644	No	
row_5	Cbfa2t3	394	1.106667160987854	-0.082137495	No	
row_6	B2m	402	1.097032070159912	-0.07761026	No	
row_7	Crip1	431	1.0692906379699707	-0.0805737	No	
row_8	Cotl1	447	1.0488048791885376	-0.079139166	No	
row_9	Rasl12	468	1.032870888710022	-0.07954735	No	
row_10	Acp5	483	1.008251667022705	-0.078021996	No	
row_11	Fth1	503	0.9857916831970215	-0.0783808	No	
row_12	Cyba	554	0.9469895958900452	-0.089783594	No	
row_13	Dusp1	569	0.9346721172332764	-0.08872542	No	
row_14	Aqp1	572	0.9303122162818909	-0.08351519	No	
row_15	Ehd4	595	0.9006980061531067	-0.08545921	No	
row_16	Gpx1	603	0.8883094191551208	-0.082257226	No	
row_17	Hilpda	636	0.85994952917099	-0.08794308	No	
row_18	Txn1	656	0.8462356925010681	-0.089187965	No	
row_19	Gng11	662	0.8404192328453064	-0.08559343	No	
row_20	Irf8	663	0.8395429253578186	-0.08026291	No	
row_21	Rnase4	691	0.8172346353530884	-0.084478416	No	
row_22	H2-D1	722	0.7936084270477295	-0.08988886	No	
row_23	Cd63	724	0.7931666970252991	-0.085201114	No	
row_24	Dhrs7	752	0.7618294358253479	-0.0897684	No	
row_25	Cst3	782	0.7234262824058533	-0.095276155	No	
row_26	Ramac	797	0.7093728184700012	-0.09564847	No	
row_27	Tcf7l1	810	0.6998662948608398	-0.09538452	No	
row_28	H2-K1	818	0.691962480545044	-0.093429215	No	
row_29	Calm2	857	0.6637725234031677	-0.10245052	No	
row_30	Ctsh	890	0.6370705366134644	-0.1095515	No	
row_31	Iscu	905	0.6264925599098206	-0.110450044	No	
row_32	Cfl1	973	0.5813957452774048	-0.13009539	No	
