NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Apoe	6	2.176579475402832	0.025646314	Yes	
row_1	Ctsl	8	2.1529035568237305	0.052671276	Yes	
row_2	Fabp4	12	2.100139617919922	0.07835386	Yes	
row_3	Ctss	14	2.0878746509552	0.10455238	Yes	
row_4	Trem2	15	2.053086519241333	0.1306447	Yes	
row_5	Lpl	34	1.83320152759552	0.14789617	Yes	
row_6	Ms4a6c	37	1.8190028667449951	0.17034175	Yes	
row_7	Apoc1	40	1.810664176940918	0.19268134	Yes	
row_8	Ctsb	46	1.7775893211364746	0.21359287	Yes	
row_9	Napsa	50	1.7581552267074585	0.23492923	Yes	
row_10	Pirb	57	1.698783040046692	0.2545033	Yes	
row_11	Psap	59	1.6944637298583984	0.27570203	Yes	
row_12	Igf1	60	1.6908435821533203	0.29719067	Yes	
row_13	Ctsk	71	1.6683560609817505	0.31503442	Yes	
row_14	Tyrobp	83	1.6178566217422485	0.3319005	Yes	
row_15	Fcer1g	95	1.596817970275879	0.34849918	Yes	
row_16	Cd274	104	1.5685596466064453	0.36574647	Yes	
row_17	Cybb	119	1.5352064371109009	0.3805544	Yes	
row_18	Fcgr4	155	1.452736258506775	0.38726017	Yes	
row_19	Emp3	191	1.3886504173278809	0.3931515	Yes	
row_20	Hexb	197	1.3790401220321655	0.40899792	Yes	
row_21	Npc2	202	1.3712157011032104	0.42508084	Yes	
row_22	Spp1	232	1.3269178867340088	0.43220302	Yes	
row_23	Cd52	233	1.32326340675354	0.44902015	Yes	
row_24	Csf1r	249	1.2922407388687134	0.4604044	Yes	
row_25	Msn	280	1.2426962852478027	0.46612033	Yes	
row_26	Hcst	282	1.2416070699691772	0.4815638	Yes	
row_27	Timp2	334	1.1798014640808105	0.47942635	Yes	
row_28	Lgals3	344	1.1695560216903687	0.49126685	Yes	
row_29	Wfdc17	345	1.1691328287124634	0.50612515	Yes	
row_30	H2-DMb1	348	1.1670986413955688	0.5202858	Yes	
row_31	Cd74	376	1.1330008506774902	0.52561533	Yes	
row_32	Scd1	388	1.1113336086273193	0.5360441	Yes	
row_33	B2m	402	1.097032070159912	0.5456193	Yes	
row_34	H2-Ab1	404	1.0942904949188232	0.5591905	Yes	
row_35	Ccl9	411	1.0888608694076538	0.5710132	Yes	
row_36	Klf2	412	1.087330937385559	0.5848319	Yes	
row_37	H2-Eb1	425	1.0747504234313965	0.59445983	Yes	
row_38	Crip1	431	1.0692906379699707	0.60636973	Yes	
row_39	H2-Aa	465	1.035446286201477	0.60844404	Yes	
row_40	Creg1	517	0.9734629988670349	0.60368425	No	
row_41	Cyba	554	0.9469895958900452	0.60362667	No	
row_42	H2-D1	722	0.7936084270477295	0.55761576	No	
row_43	Cd63	724	0.7931666970252991	0.56736004	No	
row_44	Cst3	782	0.7234262824058533	0.55740714	No	
row_45	Tln1	804	0.7033658623695374	0.559292	No	
row_46	H2-K1	818	0.691962480545044	0.5637193	No	
row_47	Psmb8	838	0.6783369183540344	0.56595784	No	
row_48	C3	948	0.6020026803016663	0.5369946	No	
row_49	S100a10	965	0.5916234850883484	0.53913885	No	
row_50	Litaf	1084	0.5174400806427002	0.5060777	No	
row_51	S100a11	1339	-0.5504643321037292	0.42775264	No	
row_52	Uqcc3	1456	-0.5761385560035706	0.39610928	No	
row_53	Pgk1	1680	-0.642210841178894	0.3293634	No	
row_54	Slpi	2011	-0.7663021683692932	0.22825237	No	
row_55	Pycard	2022	-0.7705730199813843	0.23468636	No	
row_56	Cmbl	2054	-0.7871676087379456	0.23427716	No	
row_57	Cd2ap	2149	-0.8266165852546692	0.21320707	No	
row_58	S100a6	2175	-0.8468675017356873	0.21557204	No	
row_59	Ly6e	2392	-1.0011298656463623	0.15573896	No	
row_60	Ggh	2480	-1.0714133977890015	0.14013131	No	
row_61	Plac8	2695	-1.3528770208358765	0.085440345	No	
row_62	Cd24a	2948	-2.342944622039795	0.030567436	No	
