NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cryab	158	1.4491592645645142	-0.024196781	Yes	
row_1	Atf3	161	1.4443888664245605	0.0037382795	Yes	
row_2	Emp3	191	1.3886504173278809	0.021530326	Yes	
row_3	Cldn5	227	1.337689757347107	0.036304448	Yes	
row_4	Ptprb	337	1.1794569492340088	0.02317091	Yes	
row_5	Vwf	343	1.17012357711792	0.04467008	Yes	
row_6	H2-DMb1	348	1.1670986413955688	0.06644413	Yes	
row_7	Adk	356	1.1557326316833496	0.086988725	Yes	
row_8	Cd74	376	1.1330008506774902	0.103065744	Yes	
row_9	Fxyd5	377	1.132738471031189	0.12549846	Yes	
row_10	Gja4	399	1.1007556915283203	0.14026733	Yes	
row_11	B2m	402	1.097032070159912	0.16132334	Yes	
row_12	H2-Ab1	404	1.0942904949188232	0.18265985	Yes	
row_13	Klf2	412	1.087330937385559	0.20184983	Yes	
row_14	H2-DMa	418	1.0826667547225952	0.221617	Yes	
row_15	H2-Eb1	425	1.0747504234313965	0.24089262	Yes	
row_16	Crip1	431	1.0692906379699707	0.2603949	Yes	
row_17	Sox17	450	1.0465470552444458	0.27509457	Yes	
row_18	H2-Aa	465	1.035446286201477	0.29091352	Yes	
row_19	Mmrn2	473	1.025050163269043	0.3088701	Yes	
row_20	Nsg1	477	1.019288420677185	0.32805172	Yes	
row_21	Tmem252	484	1.0076221227645874	0.34599793	Yes	
row_22	Cxcl12	488	1.003495454788208	0.36486676	Yes	
row_23	Aqp1	572	0.9303122162818909	0.35550356	Yes	
row_24	Flt1	628	0.8685689568519592	0.35429153	Yes	
row_25	Hilpda	636	0.85994952917099	0.36897847	Yes	
row_26	Vegfa	650	0.8516745567321777	0.3814928	Yes	
row_27	H2-Q4	681	0.8261051177978516	0.38780943	Yes	
row_28	Syne1	710	0.8026201128959656	0.39433053	Yes	
row_29	Akap12	713	0.800757110118866	0.40951914	Yes	
row_30	H2-D1	722	0.7936084270477295	0.42255747	Yes	
row_31	Adamts1	723	0.793441891670227	0.43827078	Yes	
row_32	Cdkn1a	749	0.7645745873451233	0.44504276	Yes	
row_33	Jam2	798	0.7073141932487488	0.44298077	Yes	
row_34	H2-K1	818	0.691962480545044	0.45032346	Yes	
row_35	Psmb8	838	0.6783369183540344	0.45739633	Yes	
row_36	Spag9	906	0.6264876127243042	0.44737273	Yes	
row_37	Sox7	942	0.6032527685165405	0.4476021	Yes	
row_38	Cfl1	973	0.5813957452774048	0.4490725	Yes	
row_39	Adam15	974	0.5804588794708252	0.4605679	Yes	
row_40	Lrrc32	976	0.5799269080162048	0.47171798	Yes	
row_41	H2-T23	1045	0.5401408076286316	0.4596496	No	
row_42	Nr4a1	1632	-0.627126157283783	0.2758857	No	
row_43	Gstm2	1848	-0.705937922000885	0.2178875	No	
row_44	Hsp90aa1	1965	-0.7453309297561646	0.19381306	No	
row_45	Spag7	2169	-0.8436368703842163	0.14255926	No	
row_46	Ccnd2	2242	-0.8865732550621033	0.13601246	No	
row_47	Klf3	2248	-0.8898026943206787	0.15196016	No	
row_48	Upp1	2304	-0.9287567734718323	0.15194012	No	
row_49	Ly6a	2366	-0.9791406393051147	0.15090916	No	
row_50	Palmd	2518	-1.1149637699127197	0.12243747	No	
row_51	Prss23	2623	-1.2382956743240356	0.11214309	No	
row_52	Plac8	2695	-1.3528770208358765	0.115165755	No	
