NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Lgals1	45	1.7810896635055542	0.0316862	Yes	
row_1	Napsa	50	1.7581552267074585	0.076428935	Yes	
row_2	Evi2a	81	1.6200807094573975	0.108892314	Yes	
row_3	Fcgr2b	102	1.5718578100204468	0.14342305	Yes	
row_4	Vim	128	1.5209410190582275	0.17495388	Yes	
row_5	Plek	135	1.50928795337677	0.21250844	Yes	
row_6	Emp3	191	1.3886504173278809	0.23057905	Yes	
row_7	Bcl2a1b	241	1.3066433668136597	0.2484992	Yes	
row_8	Cd72	327	1.1886827945709229	0.251336	Yes	
row_9	Lgals3	344	1.1695560216903687	0.27665627	Yes	
row_10	Fxyd5	377	1.132738471031189	0.29568186	Yes	
row_11	B2m	402	1.097032070159912	0.31643662	Yes	
row_12	H2-Ab1	404	1.0942904949188232	0.34478107	Yes	
row_13	Anxa6	417	1.083254337310791	0.3691721	Yes	
row_14	H2-Eb1	425	1.0747504234313965	0.39500582	Yes	
row_15	Crip1	431	1.0692906379699707	0.42136267	Yes	
row_16	Serpina3g	437	1.0626349449157715	0.4475451	Yes	
row_17	H2-Aa	465	1.035446286201477	0.46568656	Yes	
row_18	Adgre5	493	0.9983828663825989	0.48285672	Yes	
row_19	Kctd12	532	0.9626592993736267	0.49542648	Yes	
row_20	Cyba	554	0.9469895958900452	0.51324844	Yes	
row_21	Gns	617	0.8737247586250305	0.51549286	Yes	
row_22	H2-D1	722	0.7936084270477295	0.50164706	Yes	
row_23	Grb2	816	0.6954764723777771	0.48889375	Yes	
row_24	H2-K1	818	0.691962480545044	0.50669456	Yes	
row_25	Psmb8	838	0.6783369183540344	0.51814234	Yes	
row_26	Calm2	857	0.6637725234031677	0.5295415	Yes	
row_27	Ctsh	890	0.6370705366134644	0.53557736	Yes	
row_28	Ptpn1	940	0.6039219498634338	0.5350816	Yes	
row_29	Mtss1	953	0.5985010266304016	0.5467689	Yes	
row_30	Ankrd44	980	0.5758607387542725	0.55319935	Yes	
row_31	Cd44	1072	0.523080050945282	0.53659433	No	
row_32	Sik1	1302	-0.5405120253562927	0.4744768	No	
row_33	Ier2	1527	-0.592738926410675	0.41539353	No	
row_34	Mtdh	1735	-0.6670030355453491	0.36391935	No	
row_35	Tnfaip8	2050	-0.7847039699554443	0.27988678	No	
row_36	Ccnd2	2242	-0.8865732550621033	0.23949656	No	
row_37	Ly6a	2366	-0.9791406393051147	0.22418377	No	
