NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ctss	14	2.0878746509552	0.016128382	Yes	
row_1	Lgals1	45	1.7810896635055542	0.0237513	Yes	
row_2	Ctsb	46	1.7775893211364746	0.041532885	Yes	
row_3	Napsa	50	1.7581552267074585	0.0581007	Yes	
row_4	Psap	59	1.6944637298583984	0.07233245	Yes	
row_5	Ly86	66	1.6772083044052124	0.087071165	Yes	
row_6	Hvcn1	73	1.6498056650161743	0.10153577	Yes	
row_7	Evi2a	81	1.6200807094573975	0.11536324	Yes	
row_8	Cd22	88	1.61214017868042	0.12945107	Yes	
row_9	Cybb	119	1.5352064371109009	0.13461436	Yes	
row_10	Vim	128	1.5209410190582275	0.14711033	Yes	
row_11	Atf3	161	1.4443888664245605	0.1506856	Yes	
row_12	Gpsm3	194	1.3839106559753418	0.15365587	Yes	
row_13	Syk	200	1.3734760284423828	0.16569608	Yes	
row_14	Npc2	202	1.3712157011032104	0.17907284	Yes	
row_15	Evl	204	1.3687094449996948	0.19242452	Yes	
row_16	Cd52	233	1.32326340675354	0.1961473	Yes	
row_17	Ptprc	255	1.2831698656082153	0.20184752	Yes	
row_18	Gm2a	274	1.2591054439544678	0.2083264	Yes	
row_19	Celf2	276	1.2559657096862793	0.2205503	Yes	
row_20	Ikzf1	285	1.23597252368927	0.23019567	Yes	
row_21	Ctsa	302	1.2192492485046387	0.23695543	Yes	
row_22	Cd72	327	1.1886827945709229	0.24069113	Yes	
row_23	Rgcc	346	1.169124960899353	0.24626991	Yes	
row_24	H2-DMb1	348	1.1670986413955688	0.25760484	Yes	
row_25	Crlf2	352	1.1635850667953491	0.26822504	Yes	
row_26	Tmem243	370	1.1400128602981567	0.2738524	Yes	
row_27	Fxyd5	377	1.132738471031189	0.28314468	Yes	
row_28	B2m	402	1.097032070159912	0.28596357	Yes	
row_29	Gimap6	403	1.0969570875167847	0.29693666	Yes	
row_30	Klf2	412	1.087330937385559	0.30509514	Yes	
row_31	Lcp1	416	1.0840030908584595	0.31491926	Yes	
row_32	Anxa6	417	1.083254337310791	0.3257553	Yes	
row_33	Crip1	431	1.0692906379699707	0.33203435	Yes	
row_34	Arhgdib	445	1.0492039918899536	0.3381125	Yes	
row_35	Cotl1	447	1.0488048791885376	0.3482641	Yes	
row_36	Lsp1	459	1.0387792587280273	0.35491756	Yes	
row_37	Unc93b1	464	1.037121295928955	0.36393294	Yes	
row_38	Acp5	483	1.008251667022705	0.36790246	Yes	
row_39	Fermt3	506	0.9845001101493835	0.37027526	Yes	
row_40	Coro1a	522	0.9700441360473633	0.37488195	Yes	
row_41	Kctd12	532	0.9626592993736267	0.38145354	Yes	
row_42	Cyba	554	0.9469895958900452	0.38379088	Yes	
row_43	Gpx1	603	0.8883094191551208	0.37636694	Yes	
row_44	Dok3	613	0.8763142228126526	0.38207477	Yes	
row_45	Txn1	656	0.8462356925010681	0.37626868	Yes	
row_46	Actr3	665	0.8383861780166626	0.3819369	Yes	
