NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Apoe	6	2.176579475402832	0.01398705	No	
row_1	Mfge8	118	1.5354325771331787	-0.012660171	No	
row_2	Dpep2	132	1.5134059190750122	-0.0059539718	No	
row_3	Pxdc1	150	1.4668526649475098	-9.588086E-4	No	
row_4	Emb	159	1.4490119218826294	0.006982863	No	
row_5	Atf3	161	1.4443888664245605	0.01728445	No	
row_6	Cxcl15	190	1.3913267850875854	0.017961098	No	
row_7	Anpep	212	1.3607951402664185	0.020806741	No	
row_8	Cd52	233	1.32326340675354	0.023717815	No	
row_9	Gm2a	274	1.2591054439544678	0.019316169	No	
row_10	Gja1	314	1.208287000656128	0.014882043	No	
row_11	Timp2	334	1.1798014640808105	0.017077954	No	
row_12	Cd200	336	1.1795544624328613	0.025427997	No	
row_13	Lgals3	344	1.1695560216903687	0.03165238	No	
row_14	Grn	365	1.1462130546569824	0.03325878	No	
row_15	Cd74	376	1.1330008506774902	0.038187798	No	
row_16	H2-Ab1	404	1.0942904949188232	0.03701761	No	
row_17	Klf2	412	1.087330937385559	0.04263608	No	
row_18	H2-Eb1	425	1.0747504234313965	0.046451863	No	
row_19	Crip1	431	1.0692906379699707	0.05262139	No	
row_20	Ntn1	441	1.0539910793304443	0.057310186	No	
row_21	H2-Aa	465	1.035446286201477	0.057074368	No	
row_22	Icam1	492	0.9991356730461121	0.055544987	No	
row_23	Fth1	503	0.9857916831970215	0.059389234	No	
row_24	Trf	541	0.9571846723556519	0.053788748	No	
row_25	Dusp1	569	0.9346721172332764	0.051442344	No	
row_26	Ltbp3	601	0.8903704285621643	0.047401495	No	
row_27	Hilpda	636	0.85994952917099	0.042110484	No	
row_28	Ogfrl1	684	0.8236442804336548	0.03210598	No	
row_29	Dhrs3	703	0.8074377775192261	0.03189997	No	
row_30	H2-D1	722	0.7936084270477295	0.031592056	No	
row_31	Wsb1	730	0.7802252173423767	0.03494749	No	
row_32	Cdkn1a	749	0.7645745873451233	0.034425627	No	
row_33	Cebpb	773	0.7358120083808899	0.031981826	No	
row_34	Cst3	782	0.7234262824058533	0.034576718	No	
row_35	Oaz2	789	0.7162237763404846	0.03780253	No	
row_36	Slc7a2	795	0.711094081401825	0.041332535	No	
row_37	B4galnt1	812	0.698948860168457	0.041011076	No	
row_38	H2-K1	818	0.691962480545044	0.044400103	No	
row_39	Calm2	857	0.6637725234031677	0.036295492	No	
row_40	Pim1	859	0.6561885476112366	0.040788893	No	
row_41	Igfbp7	860	0.6550679206848145	0.045616034	No	
row_42	Mcl1	861	0.6550523042678833	0.05044306	No	
row_43	Timp3	959	0.5964649319648743	0.021664627	No	
row_44	Cfl1	973	0.5813957452774048	0.02150292	No	
row_45	Rhoj	1049	0.5373814105987549	-1.869573E-4	No	
row_46	Gabarapl1	1061	0.5326536297798157	-2.3846485E-5	No	
row_47	Gpx3	1070	0.5265436172485352	0.0011202318	No	
row_48	Arl4c	1105	-0.5011709332466125	-0.0068145883	No	
row_49	Ptov1	1210	-0.5233306288719177	-0.038525924	No	
row_50	Ece1	1216	-0.5249189138412476	-0.036367826	No	
row_51	Tppp3	1219	-0.5254045724868774	-0.03318016	No	
row_52	Eif3f	1225	-0.5268130898475647	-0.031008102	No	
row_53	Nfix	1256	-0.5327392816543579	-0.03734231	No	
row_54	Maff	1259	-0.5330079197883606	-0.034098614	No	
row_55	H3f3b	1262	-0.5337100028991699	-0.030849742	No	
row_56	Fosl2	1283	-0.5376604795455933	-0.033727713	No	
row_57	Sik1	1302	-0.5405120253562927	-0.035900675	No	
row_58	Anxa1	1347	-0.5518553256988525	-0.046881977	No	
row_59	Ythdc1	1358	-0.5535905957221985	-0.046222586	No	
row_60	Fam110a	1393	-0.5612629055976868	-0.053714596	No	
row_61	Btg2	1440	-0.5729490518569946	-0.065224454	No	
row_62	Ier2	1527	-0.592738926410675	-0.09026838	No	
row_63	Bsg	1560	-0.6035444140434265	-0.09676482	No	
row_64	Pbx1	1574	-0.6085314154624939	-0.09672657	No	
row_65	Nr4a1	1632	-0.627126157283783	-0.11159917	No	
row_66	Abhd16a	1687	-0.646816074848175	-0.12530069	No	
row_67	Tnfrsf21	1702	-0.6539223194122314	-0.12526995	No	
