NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Apoe	6	2.176579475402832	0.014667217	Yes	
row_1	Ctss	14	2.0878746509552	0.028309599	Yes	
row_2	Lgals1	45	1.7810896635055542	0.031701516	Yes	
row_3	Ctsb	46	1.7775893211364746	0.04536166	Yes	
row_4	Cd37	49	1.76252019405365	0.058219664	Yes	
row_5	Psap	59	1.6944637298583984	0.06815248	Yes	
row_6	Tyrobp	83	1.6178566217422485	0.07269221	Yes	
row_7	Fcer1g	95	1.596817970275879	0.081188306	Yes	
row_8	Myo1g	99	1.5783859491348267	0.09228813	Yes	
row_9	Lpxn	100	1.5757406949996948	0.10439714	Yes	
row_10	Rgs1	105	1.56655752658844	0.1150629	Yes	
row_11	Arhgap9	110	1.5523724555969238	0.12561965	Yes	
row_12	Vim	128	1.5209410190582275	0.13147363	Yes	
row_13	Ctsd	136	1.5069302320480347	0.14065166	Yes	
row_14	Itgb2	138	1.4977065324783325	0.15181784	Yes	
row_15	Cd48	146	1.4756879806518555	0.16075578	Yes	
row_16	Pxdc1	150	1.4668526649475098	0.17099851	Yes	
row_17	Hcls1	156	1.4508724212646484	0.1804321	Yes	
row_18	Atf3	161	1.4443888664245605	0.19015904	Yes	
row_19	Tnfrsf1b	171	1.4121382236480713	0.19792227	Yes	
row_20	Emp3	191	1.3886504173278809	0.20207332	Yes	
row_21	Gpsm3	194	1.3839106559753418	0.21202184	Yes	
row_22	Evl	204	1.3687094449996948	0.21945135	Yes	
row_23	Glipr1	208	1.3642209768295288	0.2289054	Yes	
row_24	Cd52	233	1.32326340675354	0.2308381	Yes	
row_25	Bcl2a1b	241	1.3066433668136597	0.238477	Yes	
row_26	Ptprc	255	1.2831698656082153	0.24387649	Yes	
row_27	Sla	256	1.2798362970352173	0.25371158	Yes	
row_28	Gm2a	274	1.2591054439544678	0.25755346	Yes	
row_29	Celf2	276	1.2559657096862793	0.26686195	Yes	
row_30	Msn	280	1.2426962852478027	0.2753821	Yes	
row_31	Hcst	282	1.2416070699691772	0.28458023	Yes	
row_32	Arhgap31	284	1.2369146347045898	0.29374233	Yes	
row_33	Ccr2	288	1.2340189218521118	0.30219582	Yes	
row_34	Selplg	332	1.1815818548202515	0.2965195	Yes	
row_35	Timp2	334	1.1798014640808105	0.3052427	Yes	
row_36	Lgals3	344	1.1695560216903687	0.31114176	Yes	
row_37	Crlf2	352	1.1635850667953491	0.3176813	Yes	
row_38	Fxyd5	377	1.132738471031189	0.3181499	Yes	
row_39	Il2rg	380	1.1278609037399292	0.32613078	Yes	
row_40	B2m	402	1.097032070159912	0.3273545	Yes	
row_41	Lcp1	416	1.0840030908584595	0.33122346	Yes	
row_42	Anxa6	417	1.083254337310791	0.33954787	Yes	
row_43	Fgl2	428	1.072547197341919	0.34435833	Yes	
row_44	Crip1	431	1.0692906379699707	0.3518891	Yes	
row_45	Arhgdib	445	1.0492039918899536	0.35549062	Yes	
row_46	Cotl1	447	1.0488048791885376	0.36320716	Yes	
row_47	Lsp1	459	1.0387792587280273	0.36741492	Yes	
row_48	H2-Aa	465	1.035446286201477	0.37365612	Yes	
row_49	Adgre5	493	0.9983828663825989	0.3720627	Yes	
row_50	Coro1a	522	0.9700441360473633	0.36990836	Yes	
row_51	Kctd12	532	0.9626592993736267	0.37421754	Yes	
row_52	Cyba	554	0.9469895958900452	0.37428823	Yes	
row_53	Dusp1	569	0.9346721172332764	0.37666646	Yes	
row_54	Ctla2a	574	0.9243646264076233	0.38239717	Yes	
row_55	Gpx1	603	0.8883094191551208	0.37961474	Yes	
row_56	Hilpda	636	0.85994952917099	0.3752417	Yes	
row_57	Txn1	656	0.8462356925010681	0.37522447	Yes	
row_58	Laptm5	659	0.8437128663063049	0.38102177	Yes	
row_59	Actr3	665	0.8383861780166626	0.3857486	Yes	
row_60	Esyt1	678	0.8291401267051697	0.3880022	Yes	
