NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tyrobp	83	1.6178566217422485	0.027293324	No	
row_1	Fcer1g	95	1.596817970275879	0.07776995	No	
row_2	Cd52	233	1.32326340675354	0.07715508	No	
row_3	Crip1	431	1.0692906379699707	0.048017573	No	
row_4	Arhgdib	445	1.0492039918899536	0.07926789	No	
row_5	Cyba	554	0.9469895958900452	0.075523406	No	
row_6	Lcn2	711	0.802057683467865	0.05093518	No	
row_7	H2-D1	722	0.7936084270477295	0.074517235	No	
row_8	Pim1	859	0.6561885476112366	0.051622376	No	
row_9	Arl6ip1	961	0.5953611731529236	0.038281973	No	
row_10	Sh3bgrl3	1006	0.5598050355911255	0.042654343	No	
row_11	Pbrm1	1114	-0.5021941065788269	0.02416448	No	
row_12	Rack1	1195	-0.5192962884902954	0.015215497	No	
row_13	Snrpa1	1335	-0.5494334697723389	-0.012293735	No	
row_14	S100a11	1339	-0.5504643321037292	0.0053697154	No	
row_15	Eef1b2	1352	-0.5530536770820618	0.020133879	No	
row_16	Zbtb7a	1424	-0.5690524578094482	0.015858542	No	
row_17	Eef1g	1501	-0.5863981246948242	0.010511698	No	
row_18	Hsp90aa1	1965	-0.7453309297561646	-0.11789121	No	
row_19	Slpi	2011	-0.7663021683692932	-0.10685108	No	
row_20	S100a6	2175	-0.8468675017356873	-0.13224365	No	
row_21	Jchain	2385	-0.9949738383293152	-0.16788302	No	
row_22	Asns	2703	-1.3708600997924805	-0.22662562	Yes	
row_23	Gstm5	2715	-1.3917789459228516	-0.18309923	Yes	
row_24	Prxl2a	2805	-1.5990649461746216	-0.15843426	Yes	
row_25	Pglyrp1	2963	-2.4920027256011963	-0.12607017	Yes	
row_26	Ltf	3035	-4.453547477722168	0.0013275391	Yes	
