NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Psap	59	1.6944637298583984	0.016586747	No	
row_1	Spi1	86	1.6159619092941284	0.042497296	No	
row_2	Fcer1g	95	1.596817970275879	0.07400018	No	
row_3	Emilin2	141	1.4851106405258179	0.090775184	No	
row_4	Emp3	191	1.3886504173278809	0.104152255	No	
row_5	Cd52	233	1.32326340675354	0.11879765	No	
row_6	Lgals3	344	1.1695560216903687	0.10714619	No	
row_7	H2-DMb1	348	1.1670986413955688	0.1311207	No	
row_8	Crip1	431	1.0692906379699707	0.1266601	No	
row_9	Arhgdib	445	1.0492039918899536	0.14477731	No	
row_10	Coro1a	522	0.9700441360473633	0.1401936	No	
row_11	Ctsc	525	0.966245710849762	0.16020347	No	
row_12	Cyba	554	0.9469895958900452	0.17113174	No	
row_13	Msrb1	629	0.8683041334152222	0.16503777	No	
row_14	Tgfbi	651	0.8507533073425293	0.17624077	No	
row_15	Lcn2	711	0.802057683467865	0.17373085	No	
row_16	Psmb8	838	0.6783369183540344	0.14623263	No	
row_17	Pim1	859	0.6561885476112366	0.15360558	No	
row_18	Slfn2	908	0.6238981485366821	0.15095109	No	
row_19	Ptpn1	940	0.6039219498634338	0.15353769	No	
row_20	Cfl1	973	0.5813957452774048	0.1553088	No	
row_21	Ptpn6	1096	0.504647970199585	0.12542757	No	
row_22	Acp1	1433	-0.5719408392906189	0.025629243	No	
row_23	Eif6	1550	-0.6013964414596558	-1.8098435E-4	No	
row_24	Bsg	1560	-0.6035444140434265	0.009733313	No	
row_25	Emg1	1616	-0.6203497052192688	0.004668782	No	
row_26	Nhp2	1637	-0.6288679242134094	0.01145709	No	
row_27	Mtdh	1735	-0.6670030355453491	-0.00661377	No	
row_28	Tmed3	1790	-0.6845332384109497	-0.009971388	No	
row_29	Siva1	1794	-0.6852782368659973	0.003692606	No	
row_30	Hsp90aa1	1965	-0.7453309297561646	-0.037043557	No	
row_31	Slpi	2011	-0.7663021683692932	-0.03565039	No	
row_32	Lmo4	2166	-0.8420376777648926	-0.068982005	No	
row_33	S100a6	2175	-0.8468675017356873	-0.053527374	No	
row_34	Elof1	2236	-0.8849897980690002	-0.054596074	No	
row_35	Jchain	2385	-0.9949738383293152	-0.08265433	No	
row_36	Ifitm1	2906	-2.0633668899536133	-0.2118913	Yes	
row_37	Cd24a	2948	-2.342944622039795	-0.17542565	Yes	
row_38	Pglyrp1	2963	-2.4920027256011963	-0.1267673	Yes	
row_39	Dmkn	2971	-2.623490810394287	-0.07296111	Yes	
row_40	Ltf	3035	-4.453547477722168	0.0013337262	Yes	
