NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tyrobp	83	1.6178566217422485	0.03249574	Yes	
row_1	Fcer1g	95	1.596817970275879	0.08805257	Yes	
row_2	Cd52	233	1.32326340675354	0.09174599	Yes	
row_3	Hcst	282	1.2416070699691772	0.12188234	Yes	
row_4	Lgals3	344	1.1695560216903687	0.1450429	Yes	
row_5	Cd74	376	1.1330008506774902	0.17678201	Yes	
row_6	Fxyd5	377	1.132738471031189	0.2187763	Yes	
row_7	Crip1	431	1.0692906379699707	0.24086869	Yes	
row_8	Cyba	554	0.9469895958900452	0.23557931	Yes	
row_9	Lcn2	711	0.802057683467865	0.21365856	Yes	
row_10	H2-D1	722	0.7936084270477295	0.23976894	Yes	
row_11	Ccl6	772	0.7361812591552734	0.2508364	Yes	
row_12	Atp6v1g1	1020	0.5526794791221619	0.18953793	No	
row_13	Atg101	1782	-0.6808025240898132	-0.037209272	No	
row_14	Slpi	2011	-0.7663021683692932	-0.08429666	No	
row_15	S100a6	2175	-0.8468675017356873	-0.10687405	No	
row_16	Jchain	2385	-0.9949738383293152	-0.13919245	No	
row_17	Pglyrp1	2963	-2.4920027256011963	-0.23786543	No	
row_18	Dmkn	2971	-2.623490810394287	-0.14292201	No	
row_19	Ltf	3035	-4.453547477722168	0.001324483	No	
