NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tceal9	409	1.0901243686676025	-0.093315884	No	
row_1	Cotl1	447	1.0488048791885376	-0.06473572	No	
row_2	Dusp1	569	0.9346721172332764	-0.06849092	No	
row_3	Calm2	857	0.6637725234031677	-0.13791402	No	
row_4	Cfl1	973	0.5813957452774048	-0.15344183	No	
row_5	Rab12	978	0.5761964321136475	-0.13231963	No	
row_6	Selenos	1201	-0.5201470851898193	-0.18575843	No	
row_7	Ilkap	1246	-0.5309836864471436	-0.17967805	No	
row_8	H3f3b	1262	-0.5337100028991699	-0.1638633	No	
row_9	Sdr39u1	1295	-0.5395539402961731	-0.15346494	No	
row_10	F8a	1337	-0.5497199296951294	-0.14565855	No	
row_11	Ier2	1527	-0.592738926410675	-0.1853128	No	
row_12	Bsg	1560	-0.6035444140434265	-0.17242119	No	
row_13	Ppa1	1719	-0.660753607749939	-0.19913322	No	
row_14	Lsr	1792	-0.6847728490829468	-0.19635694	No	
row_15	Trappc5	1980	-0.7504298686981201	-0.22920309	No	
row_16	Mmadhc	2088	-0.8030051589012146	-0.23344034	No	
row_17	Dnajb1	2127	-0.8177285194396973	-0.21419555	No	
row_18	Erlec1	2378	-0.9908888936042786	-0.2585891	Yes	
row_19	Gal3st1	2470	-1.0641683340072632	-0.24733861	Yes	
row_20	Fos	2491	-1.083367943763733	-0.21176767	Yes	
row_21	Zbtb7c	2555	-1.1520713567733765	-0.18779609	Yes	
row_22	Casz1	2607	-1.2196407318115234	-0.15720776	Yes	
row_23	Mphosph6	2620	-1.2323009967803955	-0.113177925	Yes	
row_24	Bace2	2625	-1.2399910688400269	-0.06619243	Yes	
row_25	Cfap298	2744	-1.4643001556396484	-0.048315838	Yes	
row_26	Klc3	2821	-1.6333414316177368	-0.0099087	Yes	
row_27	Lrig1	2913	-2.1033878326416016	0.041832678	Yes	
