NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Apoe	6	2.176579475402832	0.048911773	Yes	
row_1	Lgals1	45	1.7810896635055542	0.07790241	Yes	
row_2	Psap	59	1.6944637298583984	0.113202885	Yes	
row_3	Lat2	64	1.6847925186157227	0.15127815	Yes	
row_4	Evi2a	81	1.6200807094573975	0.1838384	Yes	
row_5	Fcgr2b	102	1.5718578100204468	0.21393688	Yes	
row_6	Cybb	119	1.5352064371109009	0.24451183	Yes	
row_7	Emp3	191	1.3886504173278809	0.25331923	Yes	
row_8	Syk	200	1.3734760284423828	0.2827787	Yes	
row_9	Npc2	202	1.3712157011032104	0.3145194	Yes	
row_10	Bcl2a1b	241	1.3066433668136597	0.33241227	Yes	
row_11	Cd72	327	1.1886827945709229	0.331874	Yes	
row_12	H2-DMb1	348	1.1670986413955688	0.35250476	Yes	
row_13	Fxyd5	377	1.132738471031189	0.36966422	Yes	
row_14	B2m	402	1.097032070159912	0.38732228	Yes	
row_15	H2-Ab1	404	1.0942904949188232	0.4125854	Yes	
row_16	H2-Eb1	425	1.0747504234313965	0.43105605	Yes	
row_17	Crip1	431	1.0692906379699707	0.45440063	Yes	
row_18	H2-Aa	465	1.035446286201477	0.46761712	Yes	
row_19	Gns	617	0.8737247586250305	0.43770432	Yes	
row_20	Txn1	656	0.8462356925010681	0.44482777	Yes	
row_21	Irf8	663	0.8395429253578186	0.46246487	Yes	
row_22	H2-Q4	681	0.8261051177978516	0.4761198	Yes	
row_23	H2-D1	722	0.7936084270477295	0.48134533	Yes	
row_24	Cst3	782	0.7234262824058533	0.4785938	Yes	
row_25	Grb2	816	0.6954764723777771	0.48385802	Yes	
row_26	H2-K1	818	0.691962480545044	0.4997103	Yes	
row_27	Psmb8	838	0.6783369183540344	0.5092419	Yes	
row_28	Ctsh	890	0.6370705366134644	0.5071379	Yes	
row_29	Ptpn1	940	0.6039219498634338	0.5049255	Yes	
row_30	Sh3bgrl3	1006	0.5598050355911255	0.49634603	Yes	
row_31	Sh3glb1	1036	0.5451030135154724	0.49942666	Yes	
row_32	H2-T23	1045	0.5401408076286316	0.5093936	Yes	
row_33	Cd44	1072	0.523080050945282	0.51295936	Yes	
row_34	Txndc5	1761	-0.6745105981826782	0.29932708	No	
row_35	Nap1l1	1905	-0.7232257723808289	0.2685615	No	
row_36	Pycard	2022	-0.7705730199813843	0.24790646	No	
row_37	Tnfaip8	2050	-0.7847039699554443	0.2572585	No	
row_38	Ly6a	2366	-0.9791406393051147	0.1751266	No	
row_39	Jchain	2385	-0.9949738383293152	0.19239806	No	
row_40	Fos	2491	-1.083367943763733	0.18272749	No	
