NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Apoe	6	2.176579475402832	0.04180805	No	
row_1	Apoc1	40	1.810664176940918	0.067254424	No	
row_2	Lgals3	344	1.1695560216903687	-0.010172605	No	
row_3	B2m	402	1.097032070159912	-0.0070866277	No	
row_4	Cxcl16	479	1.0128105878829956	-0.012026976	No	
row_5	Tubb6	480	1.0126088857650757	0.00835351	No	
row_6	Cenpa	655	0.8472810983657837	-0.032574184	No	
row_7	H2-D1	722	0.7936084270477295	-0.038594127	No	
row_8	H2-K1	818	0.691962480545044	-0.056323312	No	
row_9	Arl6ip1	961	0.5953611731529236	-0.09165821	No	
row_10	Ccna2	1094	0.5052047371864319	-0.12547545	No	
row_11	Plaur	1098	0.503523051738739	-0.116340846	No	
row_12	Rack1	1195	-0.5192962884902954	-0.13787846	No	
row_13	Eef1b2	1352	-0.5530536770820618	-0.17872998	No	
row_14	Cldn4	1430	-0.5715347528457642	-0.19288498	No	
row_15	Fabp5	1603	-0.6166783571243286	-0.23778751	No	
row_16	Nhp2	1637	-0.6288679242134094	-0.2361268	No	
row_17	Pgk1	1680	-0.642210841178894	-0.23719655	No	
row_18	Ppa1	1719	-0.660753607749939	-0.2365602	No	
row_19	Aldh3a1	1866	-0.7103068232536316	-0.2709145	No	
row_20	Tyms	1908	-0.7235865592956543	-0.2700132	No	
row_21	Pmm1	1922	-0.7293316721916199	-0.25966606	No	
row_22	Slpi	2011	-0.7663021683692932	-0.27356645	No	
row_23	Tacstd2	2079	-0.7985632419586182	-0.2798199	No	
row_24	Phlda1	2291	-0.91954505443573	-0.3316224	No	
row_25	Ptgr1	2332	-0.9430123567581177	-0.32597154	No	
row_26	S100a14	2580	-1.1852505207061768	-0.38442224	No	
row_27	Gpx2	2598	-1.2105724811553955	-0.36572218	No	
row_28	Plet1	2762	-1.513450264930725	-0.38957664	Yes	
row_29	Ovol1	2764	-1.5175068378448486	-0.35936743	Yes	
row_30	Gsta4	2809	-1.6088714599609375	-0.34164792	Yes	
row_31	Epcam	2813	-1.6159460544586182	-0.31012392	Yes	
row_32	Gsto1	2912	-2.1031558513641357	-0.3004501	Yes	
row_33	Ehf	2933	-2.2400732040405273	-0.26202923	Yes	
row_34	Ly6d	2942	-2.299527645111084	-0.21841308	Yes	
row_35	Adh7	2943	-2.300755262374878	-0.17210646	Yes	
row_36	Krtdap	2997	-3.0948848724365234	-0.12747738	Yes	
row_37	Lypd3	3005	-3.1769399642944336	-0.06586859	Yes	
row_38	Krt6b	3024	-3.819045305252075	0.0049982304	Yes	
