NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Apoc1	40	1.810664176940918	0.051557537	No	
row_1	B2m	402	1.097032070159912	-0.028642977	No	
row_2	H2-D1	722	0.7936084270477295	-0.10580329	No	
row_3	H2-K1	818	0.691962480545044	-0.112477854	No	
row_4	Rack1	1195	-0.5192962884902954	-0.21831599	No	
row_5	Eef1b2	1352	-0.5530536770820618	-0.25014666	No	
row_6	Aldh3a1	1866	-0.7103068232536316	-0.39448377	No	
row_7	Slpi	2011	-0.7663021683692932	-0.41471255	No	
row_8	Phlda1	2291	-0.91954505443573	-0.47413	No	
row_9	Ptgr1	2332	-0.9430123567581177	-0.453621	No	
row_10	Gsta4	2809	-1.6088714599609375	-0.55355984	Yes	
row_11	Pdzk1ip1	2812	-1.6139488220214844	-0.49646723	Yes	
row_12	Ces1d	2822	-1.6429554224014282	-0.44065297	Yes	
row_13	Ly6g6c	2922	-2.162172317504883	-0.39604035	Yes	
row_14	Adh7	2943	-2.300755262374878	-0.32032698	Yes	
row_15	Krt14	2985	-2.8976049423217773	-0.23020467	Yes	
row_16	Krtdap	2997	-3.0948848724365234	-0.12309559	Yes	
row_17	Krt6b	3024	-3.819045305252075	0.0049636667	Yes	
