NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1qb	2	2.291245460510254	0.017822474	Yes	
row_1	Apoe	6	2.176579475402832	0.034378327	Yes	
row_2	Ctss	14	2.0878746509552	0.04885542	Yes	
row_3	Hmox1	16	2.05072021484375	0.06507605	Yes	
row_4	C1qc	20	1.9880777597427368	0.0801096	Yes	
row_5	Mafb	22	1.9431465864181519	0.095461495	Yes	
row_6	Ms4a6d	27	1.8949761390686035	0.109402575	Yes	
row_7	Lgmn	28	1.87798273563385	0.12456881	Yes	
row_8	Cd68	36	1.8200488090515137	0.13688299	Yes	
row_9	Ms4a6c	37	1.8190028667449951	0.15157293	Yes	
row_10	Fcgr1	38	1.8175337314605713	0.16625099	Yes	
row_11	Mpeg1	42	1.7993717193603516	0.17976058	Yes	
row_12	Ctsb	46	1.7775893211364746	0.19309427	Yes	
row_13	Psap	59	1.6944637298583984	0.20269124	Yes	
row_14	Lat2	64	1.6847925186157227	0.21493492	Yes	
row_15	Ly86	66	1.6772083044052124	0.22813915	Yes	
row_16	Tyrobp	83	1.6178566217422485	0.23575506	Yes	
row_17	Spi1	86	1.6159619092941284	0.24812406	Yes	
row_18	Plin2	90	1.6074748039245605	0.26008394	Yes	
row_19	Fcer1g	95	1.596817970275879	0.27161714	Yes	
row_20	C5ar1	96	1.596290946006775	0.2845085	Yes	
row_21	Cd83	101	1.5750173330307007	0.29586565	Yes	
row_22	Fcgr2b	102	1.5718578100204468	0.3085597	Yes	
row_23	Rgs1	105	1.56655752658844	0.3205297	Yes	
row_24	Sdc3	106	1.5638688802719116	0.3331592	Yes	
row_25	Fcgr3	108	1.5617022514343262	0.34543064	Yes	
row_26	Cybb	119	1.5352064371109009	0.3544227	Yes	
row_27	Plek	135	1.50928795337677	0.3615024	Yes	
row_28	Itgb2	138	1.4977065324783325	0.37291643	Yes	
row_29	Cd53	139	1.4883981943130493	0.38493645	Yes	
row_30	Emilin2	141	1.4851106405258179	0.39658934	Yes	
row_31	Csf2ra	143	1.478047251701355	0.40818515	Yes	
row_32	Cfp	168	1.4235994815826416	0.41150752	Yes	
row_33	Emp3	191	1.3886504173278809	0.41522878	Yes	
row_34	Npc2	202	1.3712157011032104	0.42289647	Yes	
row_35	Ftl1-ps1	211	1.36098051071167	0.43116271	Yes	
row_36	Spp1	232	1.3269178867340088	0.43506667	Yes	
row_37	Cd52	233	1.32326340675354	0.4457531	Yes	
row_38	Ctsz	242	1.3031272888183594	0.45355213	Yes	
row_39	Csf1r	249	1.2922407388687134	0.46194443	Yes	
row_40	Ptprc	255	1.2831698656082153	0.47060406	Yes	
row_41	Ccr2	288	1.2340189218521118	0.4696706	Yes	
row_42	Ctsa	302	1.2192492485046387	0.47508922	Yes	
row_43	Csf2rb	318	1.2053767442703247	0.47971463	Yes	
row_44	Lgals3	344	1.1695560216903687	0.48064476	Yes	
row_45	Wfdc17	345	1.1691328287124634	0.49008647	Yes	
row_46	H2-DMb1	348	1.1670986413955688	0.49883053	Yes	
row_47	Grn	365	1.1462130546569824	0.50263757	Yes	
row_48	Alox5ap	375	1.1333991289138794	0.5087253	Yes	
row_49	Cd74	376	1.1330008506774902	0.5178752	Yes	
row_50	Fxyd5	377	1.132738471031189	0.52702296	Yes	
row_51	B2m	402	1.097032070159912	0.527708	Yes	
row_52	H2-Ab1	404	1.0942904949188232	0.5362047	Yes	
row_53	Ccl9	411	1.0888608694076538	0.5429545	Yes	
row_54	Lcp1	416	1.0840030908584595	0.5503463	Yes	
row_55	H2-DMa	418	1.0826667547225952	0.55874914	Yes	
row_56	H2-Eb1	425	1.0747504234313965	0.56538504	Yes	
row_57	Crip1	431	1.0692906379699707	0.5723174	Yes	
row_58	Arhgdib	445	1.0492039918899536	0.57636285	Yes	
row_59	Cotl1	447	1.0488048791885376	0.5844922	Yes	
row_60	Unc93b1	464	1.037121295928955	0.5874182	Yes	
row_61	H2-Aa	465	1.035446286201477	0.59578025	Yes	
row_62	Rab8b	489	1.0020339488983154	0.5960387	Yes	
row_63	Fth1	503	0.9857916831970215	0.599572	Yes	
row_64	Samhd1	505	0.9845665097236633	0.60718256	Yes	
row_65	Coro1a	522	0.9700441360473633	0.60956687	Yes	
row_66	Atp6v1c1	524	0.967284083366394	0.6170379	Yes	
row_67	Ctsc	525	0.966245710849762	0.6248411	Yes	
row_68	Kctd12	532	0.9626592993736267	0.6305718	Yes	
row_69	Cyba	554	0.9469895958900452	0.63106686	Yes	
row_70	Rilpl2	580	0.9182512164115906	0.6299675	Yes	
row_71	Irf5	624	0.8707235455513	0.62235355	Yes	
row_72	Msrb1	629	0.8683041334152222	0.6280034	Yes	
row_73	Tgfbi	651	0.8507533073425293	0.62772137	Yes	
row_74	Laptm5	659	0.8437128663063049	0.6321508	Yes	
row_75	Actr3	665	0.8383861780166626	0.6372185	Yes	
row_76	H2-D1	722	0.7936084270477295	0.6245539	No	
row_77	Cdkn1a	749	0.7645745873451233	0.6218729	No	
row_78	Ccl6	772	0.7361812591552734	0.62032497	No	
row_79	Cst3	782	0.7234262824058533	0.62310183	No	
row_80	Rab20	811	0.699690043926239	0.61921567	No	
row_81	Psmb8	838	0.6783369183540344	0.61583817	No	
row_82	Pim1	859	0.6561885476112366	0.61432546	No	
row_83	Mcl1	861	0.6550523042678833	0.6192749	No	
row_84	Ubl3	868	0.6509488821029663	0.62248826	No	
row_85	Slfn2	908	0.6238981485366821	0.6142434	No	
row_86	Ptpn1	940	0.6039219498634338	0.60856193	No	
row_87	Sdcbp	945	0.6024978756904602	0.6120652	No	
row_88	Picalm	993	0.5676763653755188	0.6006415	No	
row_89	Sh3bgrl3	1006	0.5598050355911255	0.6010752	No	
row_90	Ninj1	1025	0.5512136816978455	0.5993959	No	
row_91	Cstb	1056	0.5352080464363098	0.59350014	No	
row_92	Iqgap1	1058	0.5340092182159424	0.59747213	No	
row_93	Cd44	1072	0.523080050945282	0.59726864	No	
row_94	Litaf	1084	0.5174400806427002	0.5977008	No	
row_95	Plaur	1098	0.503523051738739	0.59733933	No	
row_96	Tgif1	1220	-0.5259391665458679	0.5603742	No	
row_97	H3f3b	1262	-0.5337100028991699	0.55071974	No	
row_98	Gda	2280	-0.9134948253631592	0.21170732	No	
row_99	Vps37b	2349	-0.961509108543396	0.19631153	No	
row_100	Ly6e	2392	-1.0011298656463623	0.1900913	No	
row_101	Por	2395	-1.0049716234207153	0.19752607	No	
row_102	Irf7	2638	-1.2646663188934326	0.1253142	No	
row_103	Plac8	2695	-1.3528770208358765	0.11716622	No	
