NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Egfl6	131	1.5141165256500244	-0.027473979	No	
row_1	Anpep	212	1.3607951402664185	-0.039417673	No	
row_2	Arg2	303	1.2186263799667358	-0.056315575	No	
row_3	Cdo1	362	1.1502618789672852	-0.06316043	No	
row_4	Tceal9	409	1.0901243686676025	-0.06661781	No	
row_5	Sox17	450	1.0465470552444458	-0.06853118	No	
row_6	S100g	563	0.940895140171051	-0.09593994	No	
row_7	Tgfbi	651	0.8507533073425293	-0.11590191	No	
row_8	Txn1	656	0.8462356925010681	-0.10787341	No	
row_9	Lcn2	711	0.802057683467865	-0.11722648	No	
row_10	C3	948	0.6020026803016663	-0.19028349	No	
row_11	Arl6ip1	961	0.5953611731529236	-0.18773843	No	
row_12	Ndufaf2	1147	-0.5082165002822876	-0.24460526	No	
row_13	Krt8	1193	-0.518530547618866	-0.25406048	No	
row_14	2510002D24Rik	1230	-0.5283410549163818	-0.26036638	No	
row_15	Eef1b2	1352	-0.5530536770820618	-0.2951146	No	
row_16	Sfxn1	1362	-0.5550820827484131	-0.2920025	No	
row_17	Idh3a	1408	-0.5646232962608337	-0.3009468	No	
row_18	Nudt14	1414	-0.5661866664886475	-0.29636025	No	
row_19	Acp1	1433	-0.5719408392906189	-0.29610184	No	
row_20	Bola1	1463	-0.5768817663192749	-0.29950485	No	
row_21	Mt2	1478	-0.5807251334190369	-0.2977977	No	
row_22	Ndufv2	1610	-0.6181874871253967	-0.33520234	No	
row_23	Nhp2	1637	-0.6288679242134094	-0.33701563	No	
row_24	Yipf1	1662	-0.6370233297348022	-0.33806285	No	
row_25	Paics	1667	-0.6379931569099426	-0.33234254	No	
row_26	Knop1	1707	-0.6569684147834778	-0.33823624	No	
row_27	Echdc2	1769	-0.6785550117492676	-0.3513231	No	
row_28	Siva1	1794	-0.6852782368659973	-0.35183546	No	
row_29	Cbx6	1799	-0.6862465739250183	-0.3455803	No	
row_30	Cib1	1832	-0.7012894153594971	-0.34861788	No	
row_31	Gstm2	1848	-0.705937922000885	-0.3458607	No	
row_32	Nap1l1	1905	-0.7232257723808289	-0.3567632	No	
row_33	Tyms	1908	-0.7235865592956543	-0.34941852	No	
row_34	Atp1a1	1953	-0.740787923336029	-0.35607234	No	
row_35	Hnrnpc	1958	-0.7423620223999023	-0.34919518	No	
row_36	Gclm	2000	-0.7610193490982056	-0.35461125	No	
row_37	Gtf2a2	2095	-0.804171085357666	-0.3774544	Yes	
row_38	Fkbp4	2117	-0.8144696950912476	-0.37552124	Yes	
row_39	Apex1	2125	-0.816330075263977	-0.36883774	Yes	
row_40	Arpc5l	2141	-0.8238430619239807	-0.36477366	Yes	
row_41	Plat	2156	-0.8316214680671692	-0.36028555	Yes	
row_42	Gtf3c6	2196	-0.857475221157074	-0.36395678	Yes	
row_43	Sox9	2201	-0.8595916032791138	-0.35578024	Yes	
row_44	Aldh1a1	2205	-0.8605774641036987	-0.34725493	Yes	
row_45	Pmf1	2267	-0.9052269458770752	-0.35782933	Yes	
row_46	Acadl	2329	-0.940721869468689	-0.36801028	Yes	
row_47	Cited4	2358	-0.9722591042518616	-0.36669302	Yes	
row_48	Slc1a5	2375	-0.9889113903045654	-0.36113712	Yes	
row_49	Cldn3	2379	-0.9913827776908875	-0.35116196	Yes	
row_50	Dcxr	2434	-1.037216067314148	-0.3579085	Yes	
row_51	Id1	2455	-1.055524468421936	-0.3529656	Yes	
row_52	Krt19	2476	-1.067379355430603	-0.3478913	Yes	
row_53	Srsf3	2496	-1.0896371603012085	-0.34223244	Yes	
row_54	Spint2	2539	-1.1391196250915527	-0.3437954	Yes	
row_55	Smim22	2591	-1.200650691986084	-0.34771687	Yes	
row_56	Gpx2	2598	-1.2105724811553955	-0.33632568	Yes	
row_57	Rbbp7	2609	-1.2222754955291748	-0.32615608	Yes	
row_58	Cldn7	2642	-1.2694170475006104	-0.32289642	Yes	
row_59	Rdh10	2645	-1.272532343864441	-0.30946708	Yes	
row_60	Slc39a4	2673	-1.3213589191436768	-0.3039425	Yes	
row_61	Gstm5	2715	-1.3917789459228516	-0.3023671	Yes	
row_62	Dgat2	2727	-1.4195177555084229	-0.29034907	Yes	
row_63	Plet1	2762	-1.513450264930725	-0.28506017	Yes	
row_64	Cxcl17	2779	-1.5449984073638916	-0.2733405	Yes	
row_65	Muc1	2794	-1.5790696144104004	-0.2605675	Yes	
row_66	Fermt1	2795	-1.5794506072998047	-0.24306053	Yes	
row_67	Epcam	2813	-1.6159460544586182	-0.23089229	Yes	
row_68	Fxyd3	2815	-1.6243095397949219	-0.21322595	Yes	
row_69	Wfdc2	2861	-1.8162235021591187	-0.20829725	Yes	
row_70	Cbr2	2865	-1.8265773057937622	-0.1890646	Yes	
row_71	Clu	2876	-1.8743047714233398	-0.1716678	Yes	
row_72	Ifitm1	2906	-2.0633668899536133	-0.15859433	Yes	
row_73	Pigr	2910	-2.091963052749634	-0.13642009	Yes	
row_74	Gsto1	2912	-2.1031558513641357	-0.11344611	Yes	
row_75	Kctd14	2928	-2.194136142730713	-0.09419342	Yes	
row_76	Tmem158	2930	-2.2184031009674072	-0.06994202	Yes	
row_77	Cd24a	2948	-2.342944622039795	-0.049715582	Yes	
row_78	Cfi	2977	-2.744345188140869	-0.028756155	Yes	
row_79	Ltf	3035	-4.453547477722168	0.001351126	Yes	
