NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Hmox1	16	2.05072021484375	0.014686776	No	
row_1	Lgals1	45	1.7810896635055542	0.02265349	No	
row_2	Vim	128	1.5209410190582275	0.009731714	No	
row_3	Atf3	161	1.4443888664245605	0.013036806	No	
row_4	Ftl1-ps1	211	1.36098051071167	0.009751081	No	
row_5	Col6a1	246	1.2971687316894531	0.010932674	No	
row_6	Lgals3	344	1.1695560216903687	-0.010529939	No	
row_7	Anxa6	417	1.083254337310791	-0.024350297	No	
row_8	Ctsc	525	0.966245710849762	-0.05120318	No	
row_9	Dusp1	569	0.9346721172332764	-0.056634087	No	
row_10	Gpx1	603	0.8883094191551208	-0.059124276	No	
row_11	Col1a1	643	0.8564211130142212	-0.06396467	No	
row_12	Col1a2	704	0.8069281578063965	-0.07642137	No	
row_13	Wsb1	730	0.7802252173423767	-0.07725551	No	
row_14	Cdkn1a	749	0.7645745873451233	-0.07586629	No	
row_15	Rarres2	848	0.6719588041305542	-0.10255041	No	
row_16	Pim1	859	0.6561885476112366	-0.0995081	No	
row_17	Blnk	895	0.6335071325302124	-0.105177276	No	
row_18	Sh3glb1	1036	0.5451030135154724	-0.14736745	No	
row_19	Cald1	1066	0.529056966304779	-0.15202405	No	
row_20	Plaur	1098	0.503523051738739	-0.15761027	No	
row_21	Dpp3	1120	-0.503629744052887	-0.15979986	No	
row_22	Fbl	1188	-0.5165290236473083	-0.1774826	No	
row_23	Krt8	1193	-0.518530547618866	-0.1737535	No	
row_24	Tgif1	1220	-0.5259391665458679	-0.17742202	No	
row_25	Net1	1229	-0.5279868841171265	-0.17495838	No	
row_26	Maff	1259	-0.5330079197883606	-0.1795762	No	
row_27	Msmo1	1304	-0.5414546132087708	-0.18920454	No	
row_28	Wasl	1306	-0.5416879057884216	-0.18422958	No	
row_29	Nip7	1334	-0.5489384531974792	-0.188012	No	
row_30	Snrpa1	1335	-0.5494334697723389	-0.18262148	No	
row_31	Anxa1	1347	-0.5518553256988525	-0.18094236	No	
row_32	Cldn4	1430	-0.5715347528457642	-0.2031788	No	
row_33	Btg2	1440	-0.5729490518569946	-0.2006136	No	
row_34	Pmaip1	1451	-0.5751277208328247	-0.19836658	No	
row_35	Tmprss4	1517	-0.590937614440918	-0.21464017	No	
row_36	Nr4a1	1632	-0.627126157283783	-0.24719708	No	
row_37	Trip10	1641	-0.6303975582122803	-0.24372868	No	
row_38	Pgk1	1680	-0.642210841178894	-0.25033116	No	
row_39	Txndc5	1761	-0.6745105981826782	-0.2708782	No	
row_40	Lin7c	1853	-0.7080751657485962	-0.29483107	No	
