NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1qb	2	2.291245460510254	0.017453333	Yes	
row_1	C3ar1	4	2.2072079181671143	0.034581702	Yes	
row_2	Apoe	6	2.176579475402832	0.051467672	Yes	
row_3	Ctss	14	2.0878746509552	0.06561079	Yes	
row_4	Trem2	15	2.053086519241333	0.08185953	Yes	
row_5	Hmox1	16	2.05072021484375	0.098089546	Yes	
row_6	Clec12a	19	1.9955353736877441	0.113202535	Yes	
row_7	C1qc	20	1.9880777597427368	0.12893678	Yes	
row_8	Mafb	22	1.9431465864181519	0.14397529	Yes	
row_9	Ms4a6d	27	1.8949761390686035	0.15761216	Yes	
row_10	Lgmn	28	1.87798273563385	0.17247507	Yes	
row_11	C1qa	29	1.8622111082077026	0.18721317	Yes	
row_12	Lpl	34	1.83320152759552	0.20036113	Yes	
row_13	Cd68	36	1.8200488090515137	0.21442541	Yes	
row_14	Ms4a6c	37	1.8190028667449951	0.22882155	Yes	
row_15	Fcgr1	38	1.8175337314605713	0.24320605	Yes	
row_16	Mpeg1	42	1.7993717193603516	0.25642642	Yes	
row_17	Ctsb	46	1.7775893211364746	0.2694744	Yes	
row_18	Lipa	54	1.7211896181106567	0.28071544	Yes	
row_19	Sirpa	56	1.7017710208892822	0.29384363	Yes	
row_20	Psap	59	1.6944637298583984	0.30657384	Yes	
row_21	Ly86	66	1.6772083044052124	0.31780696	Yes	
row_22	Ms4a7	79	1.6233597993850708	0.3265731	Yes	
row_23	Tyrobp	83	1.6178566217422485	0.33835688	Yes	
row_24	Spi1	86	1.6159619092941284	0.35046583	Yes	
row_25	Plin2	90	1.6074748039245605	0.36216745	Yes	
row_26	Fcer1g	95	1.596817970275879	0.3734446	Yes	
row_27	Cd83	101	1.5750173330307007	0.38420907	Yes	
row_28	Fcgr2b	102	1.5718578100204468	0.39664924	Yes	
row_29	Rgs1	105	1.56655752658844	0.40836716	Yes	
row_30	Sdc3	106	1.5638688802719116	0.4207441	Yes	
row_31	Fcgr3	108	1.5617022514343262	0.43276376	Yes	
row_32	Cybb	119	1.5352064371109009	0.44151247	Yes	
row_33	Pltp	133	1.513306736946106	0.44906747	Yes	
row_34	Plek	135	1.50928795337677	0.4606723	Yes	
row_35	Ctsd	136	1.5069302320480347	0.47259858	Yes	
row_36	Cd53	139	1.4883981943130493	0.48369795	Yes	
row_37	Atf3	161	1.4443888664245605	0.48798642	Yes	
row_38	Cfp	168	1.4235994815826416	0.49721238	Yes	
row_39	Hexb	197	1.3790401220321655	0.49860272	Yes	
row_40	Npc2	202	1.3712157011032104	0.5080944	Yes	
row_41	Cd52	233	1.32326340675354	0.508363	Yes	
row_42	Bcl2a1b	241	1.3066433668136597	0.5163232	Yes	
row_43	Ctsz	242	1.3031272888183594	0.52663654	Yes	
row_44	Csf1r	249	1.2922407388687134	0.53482294	Yes	
row_45	Ctsa	302	1.2192492485046387	0.5267854	Yes	
row_46	Lgals3	344	1.1695560216903687	0.522096	Yes	
row_47	Wfdc17	345	1.1691328287124634	0.5313489	Yes	
row_48	H2-DMb1	348	1.1670986413955688	0.53990537	Yes	
row_49	Grn	365	1.1462130546569824	0.54353464	Yes	
