NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cav1	107	1.5638337135314941	-0.009177001	Yes	
row_1	Vim	128	1.5209410190582275	0.010088585	Yes	
row_2	Pltp	133	1.513306736946106	0.03458933	Yes	
row_3	Atf3	161	1.4443888664245605	0.05020025	Yes	
row_4	Cd93	186	1.3980087041854858	0.06602519	Yes	
row_5	Esam	253	1.284963607788086	0.0658352	Yes	
row_6	Msn	280	1.2426962852478027	0.078337245	Yes	
row_7	Thbd	306	1.214572548866272	0.09069437	Yes	
row_8	Cd200	336	1.1795544624328613	0.10111213	Yes	
row_9	Ptprb	337	1.1794569492340088	0.12125324	Yes	
row_10	H2-Q7	347	1.1676205396652222	0.13817412	Yes	
row_11	Fxyd5	377	1.132738471031189	0.14779241	Yes	
row_12	B2m	402	1.097032070159912	0.1584777	Yes	
row_13	Gimap6	403	1.0969570875167847	0.17720999	Yes	
row_14	Egfl7	406	1.0927571058273315	0.19519988	Yes	
row_15	Klf2	412	1.087330937385559	0.21209106	Yes	
row_16	Podxl	420	1.0805237293243408	0.22819531	Yes	
row_17	Rasip1	427	1.0727461576461792	0.24450208	Yes	
row_18	Slfn5	434	1.0659332275390625	0.26069254	Yes	
row_19	Cdh5	455	1.0413554906845093	0.27176842	Yes	
row_20	Mmrn2	473	1.025050163269043	0.28357193	Yes	
row_21	Tmem252	484	1.0076221227645874	0.2974252	Yes	
row_22	Icam1	492	0.9991356730461121	0.31213963	Yes	
row_23	Plvap	512	0.9773504137992859	0.3224579	Yes	
row_24	Sparcl1	566	0.9381952285766602	0.32070577	Yes	
row_25	Aqp1	572	0.9303122162818909	0.3349156	Yes	
row_26	Ctla2a	574	0.9243646264076233	0.35036528	Yes	
row_27	Ehd4	595	0.9006980061531067	0.35903922	Yes	
row_28	Flt1	628	0.8685689568519592	0.36314037	Yes	
row_29	Pecam1	658	0.8449085354804993	0.3678435	Yes	
row_30	Gng11	662	0.8404192328453064	0.38118896	Yes	
row_31	Ramp2	670	0.8333992958068848	0.39307317	Yes	
row_32	Epas1	680	0.8266779184341431	0.4041719	Yes	
row_33	Tmem88	712	0.8010855913162231	0.407456	Yes	
row_34	H2-D1	722	0.7936084270477295	0.41799003	Yes	
row_35	Adamts1	723	0.793441891670227	0.43153933	Yes	
row_36	Eng	733	0.7757278680801392	0.44176802	Yes	
row_37	Scarb1	738	0.7717000842094421	0.45360464	Yes	
row_38	Kdr	748	0.7649204134941101	0.46364877	Yes	
row_39	H2-K1	818	0.691962480545044	0.4523263	No	
row_40	Psmb8	838	0.6783369183540344	0.45753843	No	
row_41	Igfbp7	860	0.6550679206848145	0.4616825	No	
row_42	Plpp3	938	0.6047893166542053	0.44618866	No	
row_43	Timp3	959	0.5964649319648743	0.44966733	No	
row_44	Ecscr	970	0.5868298411369324	0.45633492	No	
row_45	Adgrf5	1082	0.5181968212127686	0.42796063	No	
row_46	Hspb1	1190	-0.5167208313941956	0.4009025	No	
row_47	S100a16	1801	-0.686548113822937	0.20806572	No	
row_48	Hsp90aa1	1965	-0.7453309297561646	0.16613214	No	
row_49	Hes1	2255	-0.895728588104248	0.084513314	No	
row_50	Pim3	2306	-0.9300374388694763	0.08362792	No	
row_51	Ly6a	2366	-0.9791406393051147	0.08056293	No	
row_52	Ly6e	2392	-1.0011298656463623	0.08927518	No	
row_53	Nfkbiz	2444	-1.046603798866272	0.090045	No	
row_54	Id1	2455	-1.055524468421936	0.10471631	No	
row_55	Hspa1b	2761	-1.5126749277114868	0.028267302	No	
row_56	Clu	2876	-1.8743047714233398	0.02204467	No	
row_57	Tshz2	2879	-1.8903778791427612	0.0536552	No	
