NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tyrobp	83	1.6178566217422485	0.004596709	Yes	
row_1	Fcer1g	95	1.596817970275879	0.032868803	Yes	
row_2	Rgs1	105	1.56655752658844	0.06120471	Yes	
row_3	Cd53	139	1.4883981943130493	0.07994446	Yes	
row_4	Evl	204	1.3687094449996948	0.08591432	Yes	
row_5	Spp1	232	1.3269178867340088	0.10343077	Yes	
row_6	Cd52	233	1.32326340675354	0.12991023	Yes	
row_7	Ptprc	255	1.2831698656082153	0.14855929	Yes	
row_8	H2-Q6	272	1.2602767944335938	0.16842358	Yes	
row_9	Hcst	282	1.2416070699691772	0.190257	Yes	
row_10	Ccr2	288	1.2340189218521118	0.21327725	Yes	
row_11	Selplg	332	1.1815818548202515	0.22253066	Yes	
row_12	H2-Q7	347	1.1676205396652222	0.24121019	Yes	
row_13	Fxyd5	377	1.132738471031189	0.2541716	Yes	
row_14	Il2rg	380	1.1278609037399292	0.2760716	Yes	
row_15	B2m	402	1.097032070159912	0.2909959	Yes	
row_16	Gimap6	403	1.0969570875167847	0.3129468	Yes	
row_17	Lcp1	416	1.0840030908584595	0.33062243	Yes	
row_18	Crip1	431	1.0692906379699707	0.3473343	Yes	
row_19	Arhgdib	445	1.0492039918899536	0.3639789	Yes	
row_20	Cotl1	447	1.0488048791885376	0.38463157	Yes	
row_21	Coro1a	522	0.9700441360473633	0.37927714	Yes	
row_22	Cyba	554	0.9469895958900452	0.38785225	Yes	
row_23	Hilpda	636	0.85994952917099	0.37795204	Yes	
row_24	Cenpa	655	0.8472810983657837	0.38888264	Yes	
row_25	Laptm5	659	0.8437128663063049	0.40476194	Yes	
row_26	Irf8	663	0.8395429253578186	0.4205578	Yes	
row_27	Actr3	665	0.8383861780166626	0.43699983	Yes	
row_28	Ets1	671	0.8313988447189331	0.45196337	Yes	
row_29	H2-D1	722	0.7936084270477295	0.45111045	Yes	
row_30	Ifngr1	740	0.7702280282974243	0.46083385	Yes	
row_31	H2-K1	818	0.691962480545044	0.44891077	Yes	
row_32	Psmb8	838	0.6783369183540344	0.456126	Yes	
row_33	Calm2	857	0.6637725234031677	0.46338448	Yes	
row_34	Ostf1	862	0.6543638706207275	0.4751401	Yes	
row_35	Bcl2l11	885	0.6407924294471741	0.48060003	Yes	
row_36	Stk17b	930	0.6094557046890259	0.4780701	Yes	
row_37	S100a10	965	0.5916234850883484	0.47853008	Yes	
row_38	Cfl1	973	0.5813957452774048	0.48782152	Yes	
row_39	Serpinb9	982	0.5750629901885986	0.4966516	Yes	
row_40	Dgat1	987	0.5712258219718933	0.50674355	Yes	
row_41	Sh3bgrl3	1006	0.5598050355911255	0.5119215	Yes	
row_42	Mbnl1	1018	0.5529467463493347	0.51930505	Yes	
row_43	Jak1	1040	0.542898416519165	0.5231407	Yes	
row_44	Litaf	1084	0.5174400806427002	0.5191042	No	
row_45	H3f3b	1262	-0.5337100028991699	0.47054714	No	
row_46	Fosl2	1283	-0.5376604795455933	0.47461268	No	
row_47	Vps37b	2349	-0.961509108543396	0.13742746	No	
row_48	Ly6e	2392	-1.0011298656463623	0.14340457	No	
row_49	Fam107b	2420	-1.0195199251174927	0.15476976	No	
row_50	Ptpn22	2611	-1.2234591245651245	0.11566439	No	
row_51	Nr4a2	2700	-1.3612921237945557	0.1134537	No	
