NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ctss	14	2.0878746509552	0.029805467	Yes	
row_1	Lgmn	28	1.87798273563385	0.05647823	Yes	
row_2	Ms4a6c	37	1.8190028667449951	0.08385054	Yes	
row_3	Mpeg1	42	1.7993717193603516	0.11223768	Yes	
row_4	Napsa	50	1.7581552267074585	0.13893954	Yes	
row_5	Psap	59	1.6944637298583984	0.16425443	Yes	
row_6	Tyrobp	83	1.6178566217422485	0.18328197	Yes	
row_7	Spi1	86	1.6159619092941284	0.20930867	Yes	
row_8	Fcer1g	95	1.596817970275879	0.23301041	Yes	
row_9	Cd83	101	1.5750173330307007	0.25735635	Yes	
row_10	Rgs1	105	1.56655752658844	0.28223208	Yes	
row_11	Plek	135	1.50928795337677	0.29745734	Yes	
row_12	Cd53	139	1.4883981943130493	0.32104185	Yes	
row_13	Cd52	233	1.32326340675354	0.31176773	Yes	
row_14	Bcl2a1b	241	1.3066433668136597	0.33101046	Yes	
row_15	Ctsz	242	1.3031272888183594	0.3525386	Yes	
row_16	Gm2a	274	1.2591054439544678	0.36296117	Yes	
row_17	Lgals3	344	1.1695560216903687	0.35918257	Yes	
row_18	Wfdc17	345	1.1691328287124634	0.37849706	Yes	
row_19	H2-DMb1	348	1.1670986413955688	0.39710838	Yes	
row_20	Alox5ap	375	1.1333991289138794	0.40712816	Yes	
row_21	Cd74	376	1.1330008506774902	0.42584574	Yes	
row_22	Fxyd5	377	1.132738471031189	0.44455898	Yes	
row_23	B2m	402	1.097032070159912	0.45464754	Yes	
row_24	H2-Ab1	404	1.0942904949188232	0.47239083	Yes	
row_25	Lcp1	416	1.0840030908584595	0.4866163	Yes	
row_26	H2-DMa	418	1.0826667547225952	0.50416756	Yes	
row_27	H2-Eb1	425	1.0747504234313965	0.51991415	Yes	
row_28	Crip1	431	1.0692906379699707	0.5359053	Yes	
row_29	Arhgdib	445	1.0492039918899536	0.5488863	Yes	
row_30	Cotl1	447	1.0488048791885376	0.56587815	Yes	
row_31	Lsp1	459	1.0387792587280273	0.57935655	Yes	
row_32	Unc93b1	464	1.037121295928955	0.59515107	Yes	
row_33	H2-Aa	465	1.035446286201477	0.612257	Yes	
row_34	Cxcl16	479	1.0128105878829956	0.62463677	Yes	
row_35	Fth1	503	0.9857916831970215	0.6332224	Yes	
row_36	Coro1a	522	0.9700441360473633	0.64322174	Yes	
row_37	Ctsc	525	0.966245710849762	0.6585149	Yes	
row_38	Cyba	554	0.9469895958900452	0.66478556	Yes	
row_39	Rilpl2	580	0.9182512164115906	0.6715858	Yes	
row_40	Laptm5	659	0.8437128663063049	0.6594111	Yes	
row_41	H2-D1	722	0.7936084270477295	0.65176517	Yes	
row_42	Cdkn1a	749	0.7645745873451233	0.65569186	Yes	
row_43	Ccl6	772	0.7361812591552734	0.66048855	Yes	
row_44	Cst3	782	0.7234262824058533	0.6694268	Yes	
row_45	H2-K1	818	0.691962480545044	0.6691408	Yes	
row_46	Psmb8	838	0.6783369183540344	0.67398626	Yes	
row_47	Actb	856	0.6641097664833069	0.6792663	Yes	
row_48	Pim1	859	0.6561885476112366	0.6894372	Yes	
row_49	Mcl1	861	0.6550523042678833	0.6999241	Yes	
row_50	Cfl1	973	0.5813957452774048	0.67236793	No	
row_51	Picalm	993	0.5676763653755188	0.67538524	No	
row_52	Sh3bgrl3	1006	0.5598050355911255	0.680616	No	
