NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
DESCARTES_ORGANOGENESIS_EPITHELIAL_CELLS	DESCARTES_ORGANOGENESIS_EPITHELIAL_CELLS	Details ...	82	-0.67664874	-3.589764	0.0	0.0	0.0	618	tags=74%, list=20%, signal=91%	
ZHANG_UTERUS_C7_EPITHELIAL2_CELL	ZHANG_UTERUS_C7_EPITHELIAL2_CELL	Details ...	166	-0.40216342	-2.4079368	0.0	0.0	0.0	805	tags=47%, list=26%, signal=60%	
TABULA_MURIS_SENIS_TONGUE_KERATINOCYTE_AGEING	TABULA_MURIS_SENIS_TONGUE_KERATINOCYTE_AGEING	Details ...	18	-0.61113256	-2.172181	0.0	7.614597E-4	0.008	232	tags=44%, list=8%, signal=48%	
ZHANG_UTERUS_C13_EPITHELIAL1_CELL	ZHANG_UTERUS_C13_EPITHELIAL1_CELL	Details ...	80	-0.386368	-2.0159814	0.0	0.0065632467	0.089	946	tags=54%, list=31%, signal=76%	
TABULA_MURIS_SENIS_TONGUE_BASAL_CELL_OF_EPIDERMIS_AGEING	TABULA_MURIS_SENIS_TONGUE_BASAL_CELL_OF_EPIDERMIS_AGEING	Details ...	39	-0.42003742	-1.8912519	0.008264462	0.018335763	0.278	279	tags=28%, list=9%, signal=31%	
ZHANG_UTERUS_C1_REGENERATIVE_UP	ZHANG_UTERUS_C1_REGENERATIVE_UP	Details ...	95	-0.34490868	-1.868492	0.0	0.018494694	0.32	755	tags=44%, list=25%, signal=57%	
DESCARTES_ORGANOGENESIS_HEPATOCYTES	DESCARTES_ORGANOGENESIS_HEPATOCYTES	Details ...	121	-0.30653775	-1.7393923	0.006002401	0.0468591	0.685	797	tags=44%, list=26%, signal=57%	
TABULA_MURIS_SENIS_MAMMARY_GLAND_LUMINAL_EPITHELIAL_CELL_OF_MAMMARY_GLAND_AGEING	TABULA_MURIS_SENIS_MAMMARY_GLAND_LUMINAL_EPITHELIAL_CELL_OF_MAMMARY_GLAND_AGEING	Details ...	116	-0.30294815	-1.7186339	0.0036945813	0.048055615	0.74	308	tags=20%, list=10%, signal=21%	
TABULA_MURIS_SENIS_GONADAL_ADIPOSE_TISSUE_B_CELL_AGEING	TABULA_MURIS_SENIS_GONADAL_ADIPOSE_TISSUE_B_CELL_AGEING	Details ...	26	-0.40508035	-1.5932275	0.04531722	0.10486804	0.965	106	tags=19%, list=3%, signal=20%	
ZHANG_UTERUS_C2_REGENERATIVE_UP	ZHANG_UTERUS_C2_REGENERATIVE_UP	Details ...	23	-0.41233346	-1.5527589	0.05351682	0.12224496	0.989	443	tags=35%, list=15%, signal=40%	
TABULA_MURIS_SENIS_LARGE_INTESTINE_INTESTINAL_CRYPT_STEM_CELL_AGEING	TABULA_MURIS_SENIS_LARGE_INTESTINE_INTESTINAL_CRYPT_STEM_CELL_AGEING	Details ...	89	-0.2620746	-1.4004151	0.08010013	0.27324712	1.0	805	tags=36%, list=26%, signal=47%	
TABULA_MURIS_SENIS_LARGE_INTESTINE_ENTEROCYTE_OF_EPITHELIUM_OF_LARGE_INTESTINE_AGEING	TABULA_MURIS_SENIS_LARGE_INTESTINE_ENTEROCYTE_OF_EPITHELIUM_OF_LARGE_INTESTINE_AGEING	Details ...	215	-0.2136998	-1.3296487	0.06942889	0.36509648	1.0	1091	tags=43%, list=36%, signal=63%	
TABULA_MURIS_SENIS_LARGE_INTESTINE_LARGE_INTESTINE_GOBLET_CELL_AGEING	TABULA_MURIS_SENIS_LARGE_INTESTINE_LARGE_INTESTINE_GOBLET_CELL_AGEING	Details ...	169	-0.21644391	-1.2975113	0.10215664	0.3948916	1.0	1067	tags=43%, list=35%, signal=62%	
TABULA_MURIS_SENIS_SKIN_EPIDERMAL_CELL_AGEING	TABULA_MURIS_SENIS_SKIN_EPIDERMAL_CELL_AGEING	Details ...	159	-0.21699953	-1.2841402	0.1152968	0.3901891	1.0	575	tags=24%, list=19%, signal=28%	
TABULA_MURIS_SENIS_SKIN_BASAL_CELL_OF_EPIDERMIS_AGEING	TABULA_MURIS_SENIS_SKIN_BASAL_CELL_OF_EPIDERMIS_AGEING	Details ...	210	-0.20307966	-1.2468038	0.12666667	0.43293586	1.0	542	tags=21%, list=18%, signal=24%	
TABULA_MURIS_SENIS_MARROW_NAIVE_T_CELL_AGEING	TABULA_MURIS_SENIS_MARROW_NAIVE_T_CELL_AGEING	Details ...	20	-0.33025205	-1.2299395	0.24179104	0.4390114	1.0	78	tags=15%, list=3%, signal=15%	
TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_POLYPEPTIDE_CELL_AGEING	TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_POLYPEPTIDE_CELL_AGEING	Details ...	28	-0.2971969	-1.1937295	0.23857144	0.48275393	1.0	663	tags=36%, list=22%, signal=45%	
TABULA_MURIS_SENIS_MARROW_MACROPHAGE_AGEING	TABULA_MURIS_SENIS_MARROW_MACROPHAGE_AGEING	Details ...	41	-0.25604546	-1.1629422	0.28650904	0.5163786	1.0	135	tags=12%, list=4%, signal=13%	
TABULA_MURIS_SENIS_MARROW_ERYTHROBLAST_AGEING	TABULA_MURIS_SENIS_MARROW_ERYTHROBLAST_AGEING	Details ...	27	-0.2730938	-1.0986705	0.37142858	0.62330824	1.0	338	tags=19%, list=11%, signal=21%	
TABULA_MURIS_SENIS_BLADDER_BLADDER_UROTHELIAL_CELL_AGEING	TABULA_MURIS_SENIS_BLADDER_BLADDER_UROTHELIAL_CELL_AGEING	Details ...	55	-0.2271744	-1.0835311	0.34816754	0.6237359	1.0	545	tags=27%, list=18%, signal=33%	
DESCARTES_ORGANOGENESIS_SENSORY_NEURONS	DESCARTES_ORGANOGENESIS_SENSORY_NEURONS		17	-0.2987336	-1.0784998	0.36391914	0.60408217	1.0	764	tags=41%, list=25%, signal=55%	
TABULA_MURIS_SENIS_SPLEEN_GRANULOCYTE_AGEING	TABULA_MURIS_SENIS_SPLEEN_GRANULOCYTE_AGEING		38	-0.2224102	-0.9848181	0.49651325	0.77504367	1.0	93	tags=8%, list=3%, signal=8%	
TABULA_MURIS_SENIS_HEART_VENTRICULAR_MYOCYTE_AGEING	TABULA_MURIS_SENIS_HEART_VENTRICULAR_MYOCYTE_AGEING		28	-0.23270719	-0.95422316	0.51370853	0.80715865	1.0	426	tags=18%, list=14%, signal=21%	
TABULA_MURIS_SENIS_KIDNEY_KIDNEY_COLLECTING_DUCT_PRINCIPAL_CELL_AGEING	TABULA_MURIS_SENIS_KIDNEY_KIDNEY_COLLECTING_DUCT_PRINCIPAL_CELL_AGEING		96	-0.17176859	-0.9452565	0.5280199	0.7922309	1.0	550	tags=22%, list=18%, signal=26%	
TABULA_MURIS_SENIS_SUBCUTANEOUS_ADIPOSE_TISSUE_EPITHELIAL_CELL_AGEING	TABULA_MURIS_SENIS_SUBCUTANEOUS_ADIPOSE_TISSUE_EPITHELIAL_CELL_AGEING		139	-0.15820804	-0.9260379	0.59128386	0.7992698	1.0	767	tags=28%, list=25%, signal=36%	
DESCARTES_ORGANOGENESIS_STROMAL_CELLS	DESCARTES_ORGANOGENESIS_STROMAL_CELLS		29	-0.21628661	-0.89030427	0.60347325	0.8380737	1.0	1924	tags=86%, list=63%, signal=233%	
TABULA_MURIS_SENIS_LARGE_INTESTINE_SECRETORY_CELL_AGEING	TABULA_MURIS_SENIS_LARGE_INTESTINE_SECRETORY_CELL_AGEING		146	-0.15066396	-0.8810984	0.6693925	0.82406974	1.0	1914	tags=79%, list=63%, signal=202%	
TABULA_MURIS_SENIS_MARROW_PROERYTHROBLAST_AGEING	TABULA_MURIS_SENIS_MARROW_PROERYTHROBLAST_AGEING		16	-0.2474951	-0.8628063	0.6273585	0.82714087	1.0	6	tags=6%, list=0%, signal=6%	
DESCARTES_ORGANOGENESIS_PRIMITIVE_ERYTHROID_LINEAGE	DESCARTES_ORGANOGENESIS_PRIMITIVE_ERYTHROID_LINEAGE		106	-0.12904423	-0.7272798	0.8653611	1.0	1.0	695	tags=25%, list=23%, signal=31%	
DESCARTES_ORGANOGENESIS_SCHWANN_CELL_PRECURSOR	DESCARTES_ORGANOGENESIS_SCHWANN_CELL_PRECURSOR		16	-0.20624572	-0.7047676	0.81510013	1.0	1.0	875	tags=38%, list=29%, signal=52%	
TABULA_MURIS_SENIS_BLADDER_ENDOTHELIAL_CELL_AGEING	TABULA_MURIS_SENIS_BLADDER_ENDOTHELIAL_CELL_AGEING		115	-0.123408824	-0.6945378	0.9001218	0.9831145	1.0	545	tags=18%, list=18%, signal=21%	
TABULA_MURIS_SENIS_KIDNEY_EPITHELIAL_CELL_OF_PROXIMAL_TUBULE_AGEING	TABULA_MURIS_SENIS_KIDNEY_EPITHELIAL_CELL_OF_PROXIMAL_TUBULE_AGEING		67	-0.13155119	-0.6665549	0.90592784	0.97950584	1.0	354	tags=15%, list=12%, signal=17%	
TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_DELTA_CELL_AGEING	TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_DELTA_CELL_AGEING		47	-0.12452278	-0.5870808	0.9378453	1.0	1.0	1016	tags=36%, list=33%, signal=53%	
TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_DUCTAL_CELL_AGEING	TABULA_MURIS_SENIS_PANCREAS_PANCREATIC_DUCTAL_CELL_AGEING		73	-0.08904657	-0.4540981	0.99371856	1.0	1.0	880	tags=27%, list=29%, signal=38%	
DESCARTES_ORGANOGENESIS_CARDIAC_MUSCLE_LINEAGES	DESCARTES_ORGANOGENESIS_CARDIAC_MUSCLE_LINEAGES		19	-0.123847574	-0.44996884	0.9879154	0.9921235	1.0	752	tags=26%, list=25%, signal=35%	
