NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
DESCARTES_ORGANOGENESIS_WHITE_BLOOD_CELLS	DESCARTES_ORGANOGENESIS_WHITE_BLOOD_CELLS	Details ...	216	0.6219268	4.947049	0.0	0.0	0.0	838	tags=77%, list=28%, signal=99%	
ZHANG_UTERUS_C5_MACROPHAGE	ZHANG_UTERUS_C5_MACROPHAGE	Details ...	100	0.67589813	4.700584	0.0	0.0	0.0	554	tags=73%, list=18%, signal=86%	
ZHANG_UTERUS_C12_MONOCYTE	ZHANG_UTERUS_C12_MONOCYTE	Details ...	104	0.6372185	4.365721	0.0	0.0	0.0	665	tags=73%, list=22%, signal=90%	
ZHANG_UTERUS_C9_DENDRITIC_CELL	ZHANG_UTERUS_C9_DENDRITIC_CELL	Details ...	53	0.6999241	4.101417	0.0	0.0	0.0	861	tags=94%, list=28%, signal=129%	
TABULA_MURIS_SENIS_LUNG_ALVEOLAR_MACROPHAGE_AGEING	TABULA_MURIS_SENIS_LUNG_ALVEOLAR_MACROPHAGE_AGEING	Details ...	63	0.60844404	3.8142753	0.0	0.0	0.0	465	tags=63%, list=15%, signal=73%	
TABULA_MURIS_SENIS_BRAIN_MYELOID_MICROGLIAL_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_MYELOID_MICROGLIAL_CELL_AGEING	Details ...	103	0.5088713	3.5570679	0.0	0.0	0.0	1006	tags=81%, list=33%, signal=116%	
TABULA_MURIS_SENIS_BROWN_ADIPOSE_TISSUE_B_CELL_AGEING	TABULA_MURIS_SENIS_BROWN_ADIPOSE_TISSUE_B_CELL_AGEING	Details ...	84	0.5109468	3.4761415	0.0	0.0	0.0	838	tags=69%, list=28%, signal=93%	
TABULA_MURIS_SENIS_KIDNEY_MACROPHAGE_AGEING	TABULA_MURIS_SENIS_KIDNEY_MACROPHAGE_AGEING	Details ...	49	0.5732997	3.4255316	0.0	0.0	0.0	493	tags=59%, list=16%, signal=70%	
TABULA_MURIS_SENIS_MAMMARY_GLAND_T_CELL_AGEING	TABULA_MURIS_SENIS_MAMMARY_GLAND_T_CELL_AGEING	Details ...	126	0.43421224	3.2245588	0.0	0.0	0.0	868	tags=63%, list=29%, signal=85%	
DESCARTES_ORGANOGENESIS_ENDOTHELIAL_CELLS	DESCARTES_ORGANOGENESIS_ENDOTHELIAL_CELLS	Details ...	112	0.44752273	3.0885189	0.0	0.0	0.0	974	tags=75%, list=32%, signal=106%	
ZHANG_UTERUS_C8_NK_CELL	ZHANG_UTERUS_C8_NK_CELL	Details ...	52	0.5231407	3.0571165	0.0	0.0	0.0	1040	tags=85%, list=34%, signal=126%	
TABULA_MURIS_SENIS_SPLEEN_MACROPHAGE_AGEING	TABULA_MURIS_SENIS_SPLEEN_MACROPHAGE_AGEING	Details ...	50	0.51894623	3.019665	0.0	0.0	0.0	724	tags=62%, list=24%, signal=80%	
