GO_term,p_value,Score
nucleic acid metabolic process,7.86E-87,-0.396
RNA metabolic process,5.10E-68,-0.375
RNA processing,6.07E-44,-0.472
mRNA processing,3.31E-29,-0.473
mRNA metabolic process,4.50E-29,-0.43
RNA splicing,1.28E-27,-0.514
DNA metabolic process,8.76E-25,-0.402
chromosome organization,4.27E-23,-0.392
chromatin organization,7.44E-16,-0.363
DNA repair,8.46E-16,-0.411
cell adhesion,1.55E-17,0.375
small molecule catabolic process,8.98E-17,0.423
electron transport chain,1.04E-22,0.638
generation of precursor metabolites and energy,4.40E-25,0.496
oxidation-reduction process,4.73E-30,0.509
