gene_id	state	timepoint	mean_rpkm	gene_name	protein_intensity	scaled_protein_intensity
ENSMUSG00000000001	active	Day-0	7.32052173734803	Gnai3	0.0411015	-0.0171147760732999
ENSMUSG00000000001	quiescence	Day-10	7.04995881979463	Gnai3	-0.0411015	-0.133603091921639
ENSMUSG00000000001	quiescence	Day-3	5.08743631581547	Gnai3	0.101408	0.343928787883805
ENSMUSG00000000088	active	Day-0	12.5843446979818	Cox5a	-1.52126	-1.4640003933873
ENSMUSG00000000088	quiescence	Day-10	0.699920871616945	Cox5a	0.193823	0.888723641385033
ENSMUSG00000000088	quiescence	Day-3	8.57374631864473	Cox5a	-0.498009	-1.60492827323791
ENSMUSG00000000120	active	Day-0	0.0176131258094582	Ngfr	-1.62826	-1.56309190393246
ENSMUSG00000000120	quiescence	Day-10	0.67944591190598	Ngfr	0.329188	1.47779484619363
ENSMUSG00000000120	quiescence	Day-3	5.46191812284237	Ngfr	-0.255067	-0.81506206633515
ENSMUSG00000000127	active	Day-0	2.25313376474337	Fer	-0.203391	-0.243536562446776
ENSMUSG00000000127	active	Day-0	2.25313376474337	Fer	-0.203391	-0.243536562446776
ENSMUSG00000000127	active	Day-0	2.25313376474337	Fer	-0.203391	-0.243536562446776
ENSMUSG00000000127	quiescence	Day-10	1.32286692505966	Fer	-0.0104475	-0.000205325052782173
ENSMUSG00000000127	quiescence	Day-10	1.32286692505966	Fer	-0.0104475	-0.000205325052782173
ENSMUSG00000000127	quiescence	Day-10	1.32286692505966	Fer	-0.0104475	-0.000205325052782173
ENSMUSG00000000127	quiescence	Day-3	1.84062455429785	Fer	0.0830641	0.284288105281358
ENSMUSG00000000127	quiescence	Day-3	1.84062455429785	Fer	0.0830641	0.284288105281358
ENSMUSG00000000127	quiescence	Day-3	1.84062455429785	Fer	0.0830641	0.284288105281358
ENSMUSG00000000148	active	Day-0	4.46032196812537	Brat1	0.614387	0.513798552605541
ENSMUSG00000000148	active	Day-0	4.46032196812537	Brat1	0.614387	0.513798552605541
ENSMUSG00000000148	active	Day-0	4.46032196812537	Brat1	0.614387	0.513798552605541
ENSMUSG00000000148	quiescence	Day-10	2.57548779265156	Brat1	0.00155544	0.0520281646014513
ENSMUSG00000000148	quiescence	Day-10	2.57548779265156	Brat1	0.00155544	0.0520281646014513
ENSMUSG00000000148	quiescence	Day-10	2.57548779265156	Brat1	0.00155544	0.0520281646014513
ENSMUSG00000000148	quiescence	Day-3	1.25629587035337	Brat1	-0.00155544	0.00916846730333752
ENSMUSG00000000148	quiescence	Day-3	1.25629587035337	Brat1	-0.00155544	0.00916846730333752
ENSMUSG00000000148	quiescence	Day-3	1.25629587035337	Brat1	-0.00155544	0.00916846730333752
ENSMUSG00000000149	active	Day-0	8.56327773531764	Gna12	-0.86678	-0.857893740849033
ENSMUSG00000000149	quiescence	Day-10	3.94524334493198	Gna12	0.13095	0.615117658598264
ENSMUSG00000000149	quiescence	Day-3	4.24843458549305	Gna12	-0.153707	-0.485514936848837
ENSMUSG00000000168	active	Day-0	3.80828673914998	Dlat	-0.59318	-0.604515822296182
ENSMUSG00000000168	quiescence	Day-10	1.56817532642054	Dlat	0.192137	0.881386633655507
ENSMUSG00000000168	quiescence	Day-3	3.98807880916955	Dlat	-0.407627	-1.31107341276798
ENSMUSG00000000171	active	Day-0	2.0870799151947	Sdhd	-0.636863	-0.644970162998463
ENSMUSG00000000171	quiescence	Day-10	1.09470254589835	Sdhd	-0.0578432	-0.206458360192936
ENSMUSG00000000171	quiescence	Day-3	10.1114329614285	Sdhd	0.0627985	0.218399487411214
ENSMUSG00000000194	active	Day-0	3.33813911287714	Gpr107	0.440636	0.352889682991226
ENSMUSG00000000194	active	Day-0	3.33813911287714	Gpr107	0.440636	0.352889682991226
ENSMUSG00000000194	quiescence	Day-10	8.69202800666286	Gpr107	-0.254351	-1.06160619383004
ENSMUSG00000000194	quiescence	Day-10	8.69202800666286	Gpr107	-0.254351	-1.06160619383004
ENSMUSG00000000194	quiescence	Day-3	9.34471587536303	Gpr107	0.149233	0.49942002177965
ENSMUSG00000000194	quiescence	Day-3	9.34471587536303	Gpr107	0.149233	0.49942002177965
ENSMUSG00000000253	active	Day-0	0.240597879222329	Gmpr	-1.50327	-1.44734005437134
ENSMUSG00000000253	active	Day-0	0.240597879222329	Gmpr	-1.50327	-1.44734005437134
ENSMUSG00000000253	quiescence	Day-10	0.428174771469728	Gmpr	-0.0137253	-0.0144694080515014
ENSMUSG00000000253	quiescence	Day-10	0.428174771469728	Gmpr	-0.0137253	-0.0144694080515014
ENSMUSG00000000253	quiescence	Day-3	4.1394724048056	Gmpr	0.302975	0.999274350720896
ENSMUSG00000000253	quiescence	Day-3	4.1394724048056	Gmpr	0.302975	0.999274350720896
ENSMUSG00000000278	active	Day-0	3.84011713976939	Scpep1	-0.12451	-0.170485745219556
ENSMUSG00000000278	quiescence	Day-10	26.2500789952249	Scpep1	0.12451	0.587092551968283
ENSMUSG00000000278	quiescence	Day-3	7.30636589619398	Scpep1	-0.195627	-0.6218075144738
ENSMUSG00000000295	active	Day-0	1.10954512837298	Hddc2	-0.451243	-0.473069544424705
ENSMUSG00000000295	active	Day-0	1.10954512837298	Hddc2	-0.451243	-0.473069544424705
ENSMUSG00000000295	quiescence	Day-10	0.792298373028087	Hddc2	0.0449247	0.240759241614397
ENSMUSG00000000295	quiescence	Day-10	0.792298373028087	Hddc2	0.0449247	0.240759241614397
ENSMUSG00000000295	quiescence	Day-3	0.77682131078446	Hddc2	0.00842953	0.0416321433245189
ENSMUSG00000000295	quiescence	Day-3	0.77682131078446	Hddc2	0.00842953	0.0416321433245189
ENSMUSG00000000296	active	Day-0	0.0757034682159308	Tpd52l1	-3.37997	-3.18533106222272
ENSMUSG00000000296	active	Day-0	0.0757034682159308	Tpd52l1	-3.37997	-3.18533106222272
ENSMUSG00000000296	active	Day-0	0.0757034682159308	Tpd52l1	-3.37997	-3.18533106222272
ENSMUSG00000000296	active	Day-0	0.0757034682159308	Tpd52l1	-3.37997	-3.18533106222272
ENSMUSG00000000296	active	Day-0	0.0757034682159308	Tpd52l1	-3.37997	-3.18533106222272
ENSMUSG00000000296	quiescence	Day-10	0.216364924624219	Tpd52l1	0.245997	1.1157705223342
ENSMUSG00000000296	quiescence	Day-10	0.216364924624219	Tpd52l1	0.245997	1.1157705223342
ENSMUSG00000000296	quiescence	Day-10	0.216364924624219	Tpd52l1	0.245997	1.1157705223342
ENSMUSG00000000296	quiescence	Day-10	0.216364924624219	Tpd52l1	0.245997	1.1157705223342
ENSMUSG00000000296	quiescence	Day-10	0.216364924624219	Tpd52l1	0.245997	1.1157705223342
ENSMUSG00000000296	quiescence	Day-3	0.243610691456689	Tpd52l1	-0.400893	-1.28917946673443
ENSMUSG00000000296	quiescence	Day-3	0.243610691456689	Tpd52l1	-0.400893	-1.28917946673443
ENSMUSG00000000296	quiescence	Day-3	0.243610691456689	Tpd52l1	-0.400893	-1.28917946673443
ENSMUSG00000000296	quiescence	Day-3	0.243610691456689	Tpd52l1	-0.400893	-1.28917946673443
ENSMUSG00000000296	quiescence	Day-3	0.243610691456689	Tpd52l1	-0.400893	-1.28917946673443
ENSMUSG00000000308	active	Day-0	0.230956225736832	Ckmt1	0.829222	0.712754857913661
ENSMUSG00000000308	active	Day-0	0.230956225736832	Ckmt1	0.829222	0.712754857913661
ENSMUSG00000000308	active	Day-0	0.230956225736832	Ckmt1	0.829222	0.712754857913661
ENSMUSG00000000308	active	Day-0	0.230956225736832	Ckmt1	0.829222	0.712754857913661
ENSMUSG00000000308	active	Day-0	0.230956225736832	Ckmt1	0.829222	0.712754857913661
ENSMUSG00000000308	active	Day-0	0.230956225736832	Ckmt1	0.829222	0.712754857913661
ENSMUSG00000000308	active	Day-0	0.230956225736832	Ckmt1	0.829222	0.712754857913661
ENSMUSG00000000308	active	Day-0	0.230956225736832	Ckmt1	0.829222	0.712754857913661
ENSMUSG00000000308	quiescence	Day-10	0.0199878824905543	Ckmt1	-0.73277	-3.1435539405395
ENSMUSG00000000308	quiescence	Day-10	0.0199878824905543	Ckmt1	-0.73277	-3.1435539405395
ENSMUSG00000000308	quiescence	Day-10	0.0199878824905543	Ckmt1	-0.73277	-3.1435539405395
ENSMUSG00000000308	quiescence	Day-10	0.0199878824905543	Ckmt1	-0.73277	-3.1435539405395
ENSMUSG00000000308	quiescence	Day-10	0.0199878824905543	Ckmt1	-0.73277	-3.1435539405395
ENSMUSG00000000308	quiescence	Day-10	0.0199878824905543	Ckmt1	-0.73277	-3.1435539405395
ENSMUSG00000000308	quiescence	Day-10	0.0199878824905543	Ckmt1	-0.73277	-3.1435539405395
ENSMUSG00000000308	quiescence	Day-10	0.0199878824905543	Ckmt1	-0.73277	-3.1435539405395
ENSMUSG00000000308	quiescence	Day-3	0.0522800662566636	Ckmt1	0.567293	1.85863936819883
ENSMUSG00000000308	quiescence	Day-3	0.0522800662566636	Ckmt1	0.567293	1.85863936819883
ENSMUSG00000000308	quiescence	Day-3	0.0522800662566636	Ckmt1	0.567293	1.85863936819883
ENSMUSG00000000308	quiescence	Day-3	0.0522800662566636	Ckmt1	0.567293	1.85863936819883
ENSMUSG00000000308	quiescence	Day-3	0.0522800662566636	Ckmt1	0.567293	1.85863936819883
ENSMUSG00000000308	quiescence	Day-3	0.0522800662566636	Ckmt1	0.567293	1.85863936819883
ENSMUSG00000000308	quiescence	Day-3	0.0522800662566636	Ckmt1	0.567293	1.85863936819883
ENSMUSG00000000308	quiescence	Day-3	0.0522800662566636	Ckmt1	0.567293	1.85863936819883
ENSMUSG00000000326	active	Day-0	3.42712982630715	Comt	-0.248734	-0.285528210695833
ENSMUSG00000000326	active	Day-0	3.42712982630715	Comt	-0.248734	-0.285528210695833
ENSMUSG00000000326	quiescence	Day-10	8.66825556969363	Comt	0.0148106	0.109710970874349
ENSMUSG00000000326	quiescence	Day-10	8.66825556969363	Comt	0.0148106	0.109710970874349
ENSMUSG00000000326	quiescence	Day-3	21.5852925084956	Comt	-0.193928	-0.616283633524735
ENSMUSG00000000326	quiescence	Day-3	21.5852925084956	Comt	-0.193928	-0.616283633524735
ENSMUSG00000000340	active	Day-0	2.06149470754831	Dbt	-1.40045	-1.35211959535963
ENSMUSG00000000340	active	Day-0	2.06149470754831	Dbt	-1.40045	-1.35211959535963
ENSMUSG00000000340	active	Day-0	2.06149470754831	Dbt	-1.40045	-1.35211959535963
ENSMUSG00000000340	quiescence	Day-10	1.04829142175149	Dbt	0.12587	0.593010897467782
ENSMUSG00000000340	quiescence	Day-10	1.04829142175149	Dbt	0.12587	0.593010897467782
ENSMUSG00000000340	quiescence	Day-10	1.04829142175149	Dbt	0.12587	0.593010897467782
ENSMUSG00000000340	quiescence	Day-3	0.642004945614394	Dbt	-0.322767	-1.03517197819608
ENSMUSG00000000340	quiescence	Day-3	0.642004945614394	Dbt	-0.322767	-1.03517197819608
ENSMUSG00000000340	quiescence	Day-3	0.642004945614394	Dbt	-0.322767	-1.03517197819608
ENSMUSG00000000355	active	Day-0	8.053594825512	Mcts1	-0.0398312	-0.0920656498630015
ENSMUSG00000000355	quiescence	Day-10	0.577249235480427	Mcts1	0.282667	1.27534826458908
ENSMUSG00000000355	quiescence	Day-3	15.6084940886029	Mcts1	-0.0664406	-0.201789684080444
ENSMUSG00000000378	active	Day-0	3.12511195358725	Ccm2	0.294319	0.217387135809583
ENSMUSG00000000378	active	Day-0	3.12511195358725	Ccm2	0.294319	0.217387135809583
ENSMUSG00000000378	active	Day-0	3.12511195358725	Ccm2	0.294319	0.217387135809583
ENSMUSG00000000378	active	Day-0	3.12511195358725	Ccm2	0.294319	0.217387135809583
ENSMUSG00000000378	active	Day-0	3.12511195358725	Ccm2	0.294319	0.217387135809583
ENSMUSG00000000378	quiescence	Day-10	0.720070589611989	Ccm2	-0.196745	-0.810920744679938
ENSMUSG00000000378	quiescence	Day-10	0.720070589611989	Ccm2	-0.196745	-0.810920744679938
ENSMUSG00000000378	quiescence	Day-10	0.720070589611989	Ccm2	-0.196745	-0.810920744679938
ENSMUSG00000000378	quiescence	Day-10	0.720070589611989	Ccm2	-0.196745	-0.810920744679938
ENSMUSG00000000378	quiescence	Day-10	0.720070589611989	Ccm2	-0.196745	-0.810920744679938
ENSMUSG00000000378	quiescence	Day-3	2.01667076281232	Ccm2	0.0858803	0.293444287464264
ENSMUSG00000000378	quiescence	Day-3	2.01667076281232	Ccm2	0.0858803	0.293444287464264
ENSMUSG00000000378	quiescence	Day-3	2.01667076281232	Ccm2	0.0858803	0.293444287464264
ENSMUSG00000000378	quiescence	Day-3	2.01667076281232	Ccm2	0.0858803	0.293444287464264
ENSMUSG00000000378	quiescence	Day-3	2.01667076281232	Ccm2	0.0858803	0.293444287464264
ENSMUSG00000000384	active	Day-0	5.91122668593937	Tbrg4	0.277076	0.201418585189675
ENSMUSG00000000384	active	Day-0	5.91122668593937	Tbrg4	0.277076	0.201418585189675
ENSMUSG00000000384	active	Day-0	5.91122668593937	Tbrg4	0.277076	0.201418585189675
ENSMUSG00000000384	active	Day-0	5.91122668593937	Tbrg4	0.277076	0.201418585189675
ENSMUSG00000000384	quiescence	Day-10	4.35675944786457	Tbrg4	-0.239318	-0.996186717437419
ENSMUSG00000000384	quiescence	Day-10	4.35675944786457	Tbrg4	-0.239318	-0.996186717437419
ENSMUSG00000000384	quiescence	Day-10	4.35675944786457	Tbrg4	-0.239318	-0.996186717437419
ENSMUSG00000000384	quiescence	Day-10	4.35675944786457	Tbrg4	-0.239318	-0.996186717437419
ENSMUSG00000000384	quiescence	Day-3	1.00769002797915	Tbrg4	0.0313139	0.116035048253511
ENSMUSG00000000384	quiescence	Day-3	1.00769002797915	Tbrg4	0.0313139	0.116035048253511
ENSMUSG00000000384	quiescence	Day-3	1.00769002797915	Tbrg4	0.0313139	0.116035048253511
ENSMUSG00000000384	quiescence	Day-3	1.00769002797915	Tbrg4	0.0313139	0.116035048253511
ENSMUSG00000000399	active	Day-0	2.18346434872577	Ndufa9	-1.15978	-1.12923778374372
ENSMUSG00000000399	active	Day-0	2.18346434872577	Ndufa9	-1.15978	-1.12923778374372
ENSMUSG00000000399	quiescence	Day-10	12.2532097358743	Ndufa9	0.201514	0.922192755529627
ENSMUSG00000000399	quiescence	Day-10	12.2532097358743	Ndufa9	0.201514	0.922192755529627
ENSMUSG00000000399	quiescence	Day-3	14.4001486410022	Ndufa9	-0.528666	-1.70460197438888
ENSMUSG00000000399	quiescence	Day-3	14.4001486410022	Ndufa9	-0.528666	-1.70460197438888
ENSMUSG00000000416	active	Day-0	2.63859874682462	Cttnbp2	-0.735184	-0.73602414812286
ENSMUSG00000000416	active	Day-0	2.63859874682462	Cttnbp2	-0.735184	-0.73602414812286
ENSMUSG00000000416	active	Day-0	2.63859874682462	Cttnbp2	-0.735184	-0.73602414812286
ENSMUSG00000000416	active	Day-0	2.63859874682462	Cttnbp2	-0.735184	-0.73602414812286
ENSMUSG00000000416	quiescence	Day-10	1.29017614220268	Cttnbp2	0.168138	0.776949594212508
ENSMUSG00000000416	quiescence	Day-10	1.29017614220268	Cttnbp2	0.168138	0.776949594212508
ENSMUSG00000000416	quiescence	Day-10	1.29017614220268	Cttnbp2	0.168138	0.776949594212508
ENSMUSG00000000416	quiescence	Day-10	1.29017614220268	Cttnbp2	0.168138	0.776949594212508
ENSMUSG00000000416	quiescence	Day-3	0.780552515366268	Cttnbp2	0.230394	0.763295066928019
ENSMUSG00000000416	quiescence	Day-3	0.780552515366268	Cttnbp2	0.230394	0.763295066928019
ENSMUSG00000000416	quiescence	Day-3	0.780552515366268	Cttnbp2	0.230394	0.763295066928019
ENSMUSG00000000416	quiescence	Day-3	0.780552515366268	Cttnbp2	0.230394	0.763295066928019
ENSMUSG00000000439	active	Day-0	2.79867195650113	Mkrn2	-0.220493	-0.259374534534096
ENSMUSG00000000439	quiescence	Day-10	3.54567143308786	Mkrn2	0.0412941	0.224959870165513
ENSMUSG00000000439	quiescence	Day-3	1.14895201247708	Mkrn2	0.0999851	0.339302578229641
ENSMUSG00000000538	active	Day-0	6.11105462096417	Tom1l2	-1.43034	-1.37980039209043
ENSMUSG00000000538	active	Day-0	6.11105462096417	Tom1l2	-1.43034	-1.37980039209043
ENSMUSG00000000538	active	Day-0	6.11105462096417	Tom1l2	-1.43034	-1.37980039209043
ENSMUSG00000000538	quiescence	Day-10	7.61750332815148	Tom1l2	0.436549	1.94500035440813
ENSMUSG00000000538	quiescence	Day-10	7.61750332815148	Tom1l2	0.436549	1.94500035440813
ENSMUSG00000000538	quiescence	Day-10	7.61750332815148	Tom1l2	0.436549	1.94500035440813
