"","gsc","cb","bam_hs_input","young","wt","ZFRP","Mio","Raptor"
"yellow-g",7.933,6.991,3.473,0.413,9.534,6.30344123563282,2.38706864482977,1.3674786901885
"Duox",2.005,1.951,-0.771,5.486,6.456,3.63495139702212,1.70776072451248,3.35932690850837
"Cp38",10.896,10.095,4.04,4.136,13.122,10.2158099443776,1.2615793180489,1.05395411721604
"CG45084",NA,NA,NA,NA,NA,6.86447835760432,4.11512884112338,5.92030564280617
"wisp",4.206,3.199,3.127,7.48,8.209,5.59965417320678,3.25042481999735,5.04973633344297
"Marf1",4.632,3.223,4.261,7.141,8.618,5.63421922714902,3.52976200989979,4.79927556197149
"otu",5.162,5.787,5.227,7.557,8.342,6.11539073099275,3.28130445283438,5.53484575270796
"Cp7Fb",5.884,5.802,1.746,0.968,9.305,7.20486821893091,2.20110393788925,1.96137684737965
"Muc4B",3.432,3.481,-0.175,0.607,8.321,4.48157341907163,0.362641280279321,0.767027181925233
"CG14834",5.497,4.567,4.423,3.657,8.899,5.9176479844706,1.98558500277181,2.92487903654801
"CG10407",5.569,5.284,4.89,3.676,8.845,5.80625598724209,3.60744119396533,3.32839657228618
"dpr6",0.56,2.04,-0.804,4.036,3.437,2.13586822397896,0.371432226796146,1.21712660362539
"dec-1",NA,NA,NA,NA,NA,8.72576156389786,4.70437660873189,5.81672584589426
"CG31262",2.248,0.96,-1,5.094,5.093,1.88600064642368,1.38570146038678,2.09140514218037
"CG43333",1.372,2.136,-0.808,0.184,5.296,1.61236605597481,0.136281316177764,0.0589538422809649
"CG4009",5.811,5.192,2.577,1.106,8.994,5.66189987095193,0.1337361380705,0.220920781646721
"Cp7Fc",6.337,5.815,3.13,2,10.059,6.58976309744674,0.90950386495763,0.320212172567882
"CG13114",7.034,6.989,2.634,0.299,9.671,5.98748003595825,0.149651494082282,0.228755181338173
"Cad74A",1.343,2.145,-0.76,2.295,5.631,2.12828808259707,0.187059070793141,1.07208472789008
"yellow-g2",6.948,6.358,2.192,0.646,9.432,5.94270988591968,0.232286603407806,0.0820157699958867
"Fcp3C",5.648,3.963,-0.033,2.068,8.845,5.2766957561713,1.14223666298815,1.62029101595901
"Cyp6a19",5.478,1.669,2.092,6.234,9.214,4.06538295688068,3.42047317213779,3.48101554312561
"CG11381",5.69,5.962,2.205,0.405,8.875,6.29701551844049,0.145461482913321,0.0774554010010881
"CG8420",1.949,2.154,-1,2.685,4.522,2.45507752730931,0.989862776752083,1.52074037452357
"Ork1",3.279,2.69,2.068,5.829,6.216,3.68909754411512,3.14718415539039,3.39588169057388
"Obp19c",5.162,4.567,2.334,2.084,8.737,6.69452693557224,0.515767927377398,0.376118613912289
"CG15570",4.623,5.302,-0.221,-0.264,8.56,3.92739193243179,0.0378719844483399,0.0877189932596937
"CG1077",4.552,4.087,0.873,-0.765,7.133,2.62302909977646,0.106735856837645,0.101253370592149
"Cad88C",-0.102,1.824,0.032,1.225,2.686,0.476655202494462,0.0828469553909596,0.3915266030672
"dgo",1.5,3.494,2.77,1.766,2.489,1.96503467974539,1.67645046649442,1.3795293290891
"Hr4",-0.291,1.432,-0.287,0.118,1.887,1.12422912272856,0.528781406114822,1.14038862842202
"zld",1.55,2.41,1.885,4.172,5.688,3.7413835255861,1.67998686020297,2.69101107506086
"CG10163",4.684,3.797,-1,-1,6.997,2.37535873288542,0.431843500313272,0
"CG15820",3.831,0.374,-1,4.962,5.218,2.2581536189696,1.3424196203251,0.86483926528124
"CG6752",0.823,3.158,2.117,3.208,4.051,1.63067639492852,1.44902966703209,1.12274546744895
"CG6201",1.338,1.378,-0.82,3.112,3.388,1.38581018676632,1.08218102692783,1.13638488966977
"ndl",3.34,5.906,3.636,5.327,6.249,3.37360412140627,1.40935074631382,3.30294339681964
"CG14502",0.191,0.305,2.151,1.044,1.812,1.38047281013228,0.605938343833931,1.76059238770167
"narya",NA,NA,NA,NA,NA,2.77735058184802,1.76994886900859,2.30448494256643
"CG14187",4.915,3.476,3.253,-0.501,7.77,4.59329341571874,0,0.0809290110981527
"CR43309",NA,NA,NA,NA,NA,2.0604013868582,1.20138702159565,1.13048386604559
"CG17684",0.064,0.52,-1,0.812,1.502,0.36639528899069,0.225096200938069,0.0401098362072572
"CG13737",2.44,1.58,1.975,-1,4.495,2.86152443612694,0,0
"Mnt",1.663,4.785,2.727,6.096,6.424,4.47164321291715,4.29020116389396,3.76174387196376
"CG15418",2.904,1.185,-1,2.048,5.407,2.40855705600501,0.44122918628852,1.34333722998439
"Dcr-2",3.99,6.562,6.018,6.688,5.926,5.37086177117248,5.59300045871076,4.47451486128657
"CG14053",1.323,-0.425,-1,3.967,3.268,0.689934176753368,0.55988554172917,0.75602322536506
"CR15821",NA,NA,NA,NA,NA,0.523189650881416,0.509572144982906,0.235277911806456
"CG14111",NA,NA,NA,NA,NA,0.676849186543765,0,0
"CG4998",-1,-0.05,-1,0.145,1.064,0.386364988830096,0.318638321906817,0.0600857131445366
"CG46321",NA,NA,NA,NA,NA,0.379693834631995,0.249087131108765,0
