Control,"zfrp8 GKD","mio GKD","nup44a GKD"
58.720000000,16.800000000,34.200000000,56.080000000
66.080000000,16.520000000,37.280000000,65.880000000
75.520000000,30.760000000,36.280000000,75.200000000
100.480000000,33.320000000,46.160000000,38.520000000
91.160000000,31.280000000,38.960000000,44.120000000
115.560000000,31.640000000,35.840000000,47.360000000
54.560000000,30.880000000,31.480000000,66.480000000
81.000000000,46.320000000,36.520000000,48.600000000
68.440000000,38.800000000,16.920000000,43.440000000
52.560000000,40.880000000,18.640000000,29.160000000
53.760000000,22.600000000,17.400000000,44.120000000
82.160000000,26.280000000,21.920000000,39.800000000
75.720000000,20.000000000,15.240000000,38.680000000
67.800000000,25.800000000,20.720000000,43.080000000
56.120000000,22.360000000,20.160000000,30.760000000
78.520000000,36.040000000,18.120000000,34.640000000
63.840000000,49.880000000,19.480000000,29.600000000
47.560000000,28.480000000,19.080000000,22.360000000
65.760000000,38.440000000,20.640000000,34.960000000
56.840000000,53.680000000,23.160000000,31.200000000
