Gene names,Day_00,Day_01,Day_02,Day_03,Day_05,Day_07,Day_10,Day_14,Day_18,Day_21,Max intensity change,Category,,Category,Count
Rrm2,0,-4.06096,-5.65172,-5.49264,-6.14091,-6.555,-6.38031,-7.18176,-6.25618,-9.07955,-9.07955,-4,,-4,50
Uhrf1,0,-2.72231,-4.00349,-3.86616,-5.26548,-7.82726,-5.96592,-5.73595,-5.00189,-7.03266,-7.82726,-4,,-3,321
Mcm5,0,-1.11615,-2.80965,-3.64277,-4.89959,-6.44757,-6.09995,-6.23987,-5.57787,-6.7377,-6.7377,-4,,-2,1329
Nes,0,-0.973715,-2.41682,-4.1747,-4.40186,-6.34105,-6.1863,-6.43535,-6.57612,-6.69939,-6.69939,-4,,-1,965
Pbk,0,-1.79268,-3.91821,-3.80195,-4.56798,-5.9156,-5.39103,-5.30839,-5.23704,-6.65607,-6.65607,-4,,0,861
Mcm3,0,-0.913828,-2.99148,-3.53507,-4.94196,-5.88003,-5.59796,-5.72359,-4.98519,-6.55311,-6.55311,-4,,1,707
Kif11,0,-3.09085,-4.58892,-4.41637,-5.07662,-6.28595,-5.70787,-5.19621,-5.57409,-6.47409,-6.47409,-4,,2,1015
Mcm2,0,-1.06135,-2.69663,-3.25074,-4.46094,-5.73237,-5.42163,-5.49415,-5.26268,-6.20496,-6.20496,-4,,3,469
Ube2c,0,-3.14891,-5.91969,-4.702,-5.4558,-5.31971,-4.91252,-4.51201,-4.32535,-6.17048,-6.17048,-4,,4,54
Aurka,0,-3.37277,-4.80624,-4.79054,-5.11448,-5.93021,-5.28032,-5.12111,-5.52783,-6.14725,-6.14725,-4,,SUM,5771
Trp53i11,0,-0.9981,-2.41357,-3.1627,-4.33841,-4.54832,-4.87593,-5.49129,-5.87175,-6.12983,-6.12983,-4,,,
Prim2,0,-1.61977,-3.1261,-3.05332,-4.34225,-4.22085,-4.13531,-4.97963,-5.90142,-4.5134,-5.90142,-4,,,
Ckap2,0,-2.31152,-3.62022,-3.43914,-4.42144,-4.96184,-5.78121,-5.5156,-5.34907,-5.15523,-5.78121,-4,,,
Akap12,0,-1.2125,-2.26048,-2.65653,-3.16131,-3.81419,-3.95563,-2.4086,-3.32504,-5.66798,-5.66798,-4,,,
Mcm4,0,-1.08996,-2.78816,-3.33516,-4.42259,-5.44007,-5.41492,-5.16297,-5.18832,-5.58729,-5.58729,-4,,,
Vim,0,-0.702984,-1.01376,-2.28123,-1.75372,-4.96864,-3.70644,-4.36145,-5.55125,-4.77095,-5.55125,-4,,,
Ivns1abp,0,-1.41212,-2.55523,-2.4406,-2.7139,-5.53073,-3.45743,-3.72708,-3.37688,-4.0926,-5.53073,-4,,,
Pou3f1,0,-1.74056,-2.99173,-3.59239,-3.86415,-5.45538,-4.45553,-4.04504,-4.20308,-4.79549,-5.45538,-4,,,
Pcna,0,-1.11072,-3.23323,-3.98413,-4.47339,-5.18308,-4.94065,-4.9578,-4.88125,-5.36308,-5.36308,-4,,,
Hirip3,0,-1.40736,-4.20512,-4.02348,-4.49591,-4.76451,-4.88733,-4.64883,-4.63368,-5.25128,-5.25128,-4,,,
Trip13,0,-0.819473,-2.15937,-2.74967,-3.50704,-5.12212,-5.06465,-4.82946,-4.72472,-4.69461,-5.12212,-4,,,
Mest,0,-0.450697,-0.916935,-1.43564,-2.05606,-2.51675,-3.5109,-3.98777,-4.8327,-5.08204,-5.08204,-4,,,
Cdk1,0,-1.41266,-3.40696,-3.4482,-4.21435,-4.74149,-4.55886,-4.56809,-4.5733,-5.06305,-5.06305,-4,,,
Mcm7,0,-1.09331,-2.77416,-3.20946,-4.27234,-4.95277,-4.62985,-4.52689,-4.15897,-4.67337,-4.95277,-4,,,
Tnc,0,-1.23599,-3.14968,-4.3173,-4.26456,-4.47124,-4.93735,-4.11589,-4.02735,-4.2645,-4.93735,-4,,,
Wdhd1,0,-2.26348,-4.40063,-4.32744,-4.57919,-4.92604,-3.61421,-3.75448,-4.87818,-4.35635,-4.92604,-4,,,
Tacc3,0,-1.91649,-4.92169,-3.71916,-3.87602,-4.84349,-4.5601,-3.60644,-3.79255,-4.7007,-4.92169,-4,,,
