"","gsc","cb","bam_hs_input","young","wt","ZFRP","Mio","Raptor"
"Lmpt",3.055,4.913,5.627,5.128,2.932,7.71480204798118,8.09954518071729,7.35666600407287
"Mipp1",5.887,8.005,8.615,8.088,4.316,7.89202237136215,8.54940271563256,7.6375242567521
"Prm",4.052,7.563,7.821,7.139,3.355,8.4813605490922,8.60087185404886,8.43754041439492
"Mlp84B",3.703,6.407,5.954,5.941,2.305,7.22090343911945,7.38027357896935,6.72243646637397
"Mf",5.438,7.634,8.782,7.133,3.306,10.7877197810733,10.5255979684933,9.56181149985192
"CG10433",5.631,6.92,9.13,3.964,3.097,9.17615485229945,8.62657692802805,8.51826847010459
"Zasp66",5.47,7.592,8.938,7.291,3.162,9.35774575945581,9.29279383839319,9.02120623603955
"Mp20",8.36,10.309,11.803,8.906,6.147,11.3336426380464,11.2499863024959,10.330442905947
"wupA",6.812,8.783,10.583,8.414,4.705,10.5873022026023,10.7623567433101,10.0740991392749
"Tm2",6.43,8.5,10.014,8.087,3.89,10.3757212620606,10.3314324560866,10.3336727439593
"Mlc2",7.701,9.619,11.512,9.42,5.269,10.0308139779918,10.420138633351,9.69916083782907
"CG5597",6.029,7.56,8.383,5.706,2.971,8.06182419207598,7.82150837913131,6.95331087613635
"pyd3",4.945,6.692,6.287,4.743,2.559,6.6909988121994,7.77840150431854,5.90360405723991
"Pxn",4.231,8.029,7.885,5.181,1.765,8.61750802151955,8.63875108678687,8.36356668500873
"CG5080",3.721,6.279,5.069,4.787,2.311,6.88698921005016,7.97750201203216,6.41284347554659
"SPARC",7.969,9.339,9.094,8.429,4.931,9.79644685826655,10.0304756138706,9.29388870251257
"CG5612",5.892,8.275,7.993,5.08,4.072,8.0313668414547,7.91323906252327,6.4356943070796
"CG7497",3.89,6.243,5.709,7.018,1.381,5.73096373309201,6.84057563701973,6.00825141721105
"TpnC73F",7.16,9.288,10.691,8.845,4.444,10.6241852541978,10.0778261579454,10.022506830044
"MtnA",9.668,8.081,11.459,7.076,6.141,13.0602330238913,13.387137454184,10.7097944982147
"up",6.702,8.988,10.254,8.643,5.022,11.0635936128993,10.5482597269421,10.7537432459521
"CG1674",2.984,6.418,6.186,5.838,1.572,6.8938865680818,7.49934621898391,6.14876085150616
"regucalcin",6.154,8.173,7.271,6.108,5.482,9.61542778061434,10.3657782747889,8.81485305577405
"Cyp4g15",2.76,4.574,5.325,3.066,-0.349,4.87250130856598,5.10236336813915,4.95419473099181
"CG30076",-0.563,0.558,4.45,4.588,-0.37,5.80765971931169,6.12553931400835,5.51120487585344
"CG8547",3.728,7.195,6.291,6.291,2.557,6.31346659299048,6.64827981175986,6.10700633188841
"CG17224",5.173,5.94,6.573,4.986,3.985,6.97799775900447,7.03371330302569,6.08215880645808
"CG16926",5.701,9.211,7.763,1.724,2.028,8.65998628598075,8.17547702665311,7.41330860739954
"Sr-CI",1.88,5.033,4.77,1.489,-0.317,5.31808360067765,5.90477748866406,3.96296880470213
"Hml",0.326,4.018,3.429,3.062,-0.722,4.48594434599425,5.9484199010825,4.07460492445915
"Gel",4.121,6.723,5.583,5.02,3.942,5.60545398645351,6.80626761632528,5.09830643843218
"Mlc1",6.624,8.691,10.193,8.499,3.908,10.7354696604187,10.8755194786887,10.5552230987448
"Ance",3.739,6.179,7.406,4.136,3.256,6.57670737420108,7.19251945722956,5.63352408234458
"Eip63F-1",2.04,4.051,4.519,2.821,0.662,4.644515452017,5.93841293554125,3.60341430570464
"Neurochondrin",4.311,7.268,6.865,5.77,2.436,6.86061471024199,7.14137420085742,6.52837541852406
